"","timestamp","El.Espinal.Wind.Speed..80.m.","El.Espinal.Wind.Direction..80.m."
"106",2020-04-18 09:00:00,0.8049845,206.56505
"107",2020-04-18 10:00:00,4.3498964,204.44395
"108",2020-04-18 11:00:00,7.8954163,204.22775
"109",2020-04-18 12:00:00,10.296251,216.46924
"110",2020-04-18 13:00:00,10.97262,221.0091
"111",2020-04-18 14:00:00,12.218805,225
"112",2020-04-18 15:00:00,12.7279215,225
"113",2020-04-18 16:00:00,10.464797,229.18492
"114",2020-04-18 17:00:00,8.161764,228.57634
"115",2020-04-18 18:00:00,9.220499,231.3402
"116",2020-04-18 19:00:00,6.3690495,222.7094
"117",2020-04-18 20:00:00,6.989936,214.50853
"118",2020-04-18 21:00:00,4.73506,188.74615
"119",2020-04-18 22:00:00,3.7064266,150.94539
"120",2020-04-18 23:00:00,4.0249224,116.56505
"121",2020-04-19 00:00:00,4.1046314,105.25512
"122",2020-04-19 01:00:00,2.9024127,97.125015
"123",2020-04-19 02:00:00,2.6208394,105.9454
"124",2020-04-19 03:00:00,2.0364676,135
"125",2020-04-19 04:00:00,2.3051248,141.34018
"126",2020-04-19 05:00:00,2.0364676,135
"127",2020-04-19 06:00:00,1.9386592,111.80141
"128",2020-04-19 07:00:00,6.6185193,67.61986
"129",2020-04-19 08:00:00,3.6,36.86989
"130",2020-04-19 09:00:00,0.71999997,360
"131",2020-04-19 10:00:00,3.096837,234.46233
"132",2020-04-19 11:00:00,6.1094027,225
"133",2020-04-19 12:00:00,7.8954163,223.15239
"134",2020-04-19 13:00:00,8.404285,226.73572
"135",2020-04-19 14:00:00,11.304229,232.76517
"136",2020-04-19 15:00:00,11.609651,240.25513
"137",2020-04-19 16:00:00,13.237039,247.61987
"138",2020-04-19 17:00:00,11.966954,254.29138
"139",2020-04-19 18:00:00,10.239453,259.87534
"140",2020-04-19 19:00:00,5.6002855,225
"141",2020-04-19 20:00:00,3.8939953,213.69006
"142",2020-04-19 21:00:00,1.4399999,180
"143",2020-04-19 22:00:00,2.9024127,60.25511
"144",2020-04-19 23:00:00,5.00128,59.74356
"145",2020-04-20 00:00:00,5.154415,65.224846
"146",2020-04-20 01:00:00,4.198285,59.036232
"147",2020-04-20 02:00:00,3.8268526,48.81407
"148",2020-04-20 03:00:00,3.319036,49.398697
"149",2020-04-20 04:00:00,3.8773184,68.19859
"150",2020-04-20 05:00:00,4.452954,75.96376
"151",2020-04-20 06:00:00,4.73506,81.25384
"152",2020-04-20 07:00:00,8.311245,72.34988
"153",2020-04-20 08:00:00,5.815978,68.19859
"154",2020-04-20 09:00:00,0,180
"155",2020-04-20 10:00:00,4.3349743,228.36647
"156",2020-04-20 11:00:00,6.3690495,227.29062
"157",2020-04-20 12:00:00,8.4963045,233.61565
"158",2020-04-20 13:00:00,9.085988,236.30994
"159",2020-04-20 14:00:00,11.435313,241.82141
"160",2020-04-20 15:00:00,11.27553,253.30075
"161",2020-04-20 16:00:00,12.429127,259.992
