location,Samahil,Samahil
lat,20.91842,20.91842
lon,-89.89272,-89.89272
asl,12.776,12.776
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Samahil Wind Speed [80 m],Samahil Wind Direction [80 m]
20200426T0000,12.758432,73.61045
20200426T0100,13.084402,97.90716
20200426T0200,17.0763,124.69515
20200426T0300,18.875126,124.9025
20200426T0400,17.713316,127.56859
20200426T0500,16.135872,128.6598
20200426T0600,14.565548,129.98688
20200426T0700,13.089354,121.50426
20200426T0800,12.181624,124.1597
20200426T0900,11.212135,132.39743
20200426T1000,8.209263,142.12502
20200426T1100,2.3051248,128.6598
20200426T1200,2.8116899,39.805573
20200426T1300,3.4152596,18.434952
20200426T1400,6.379216,16.389526
20200426T1500,12.371645,8.365875
20200426T1600,17.651016,11.76828
20200426T1700,19.809813,19.093475
20200426T1800,17.906157,30.173508
20200426T1900,17.974781,32.735214
20200426T2000,17.673029,33.36635
20200426T2100,16.418526,37.87497
20200426T2200,15.782622,44.999985
20200426T2300,13.684735,54.637527
20200427T0000,11.503113,69.86369
20200427T0100,12.245294,91.68468
20200427T0200,15.2947035,116.56505
20200427T0300,17.377226,129.95755
20200427T0400,16.363178,129.64417
20200427T0500,15.124284,128.23383
20200427T0600,14.386494,121.70142
20200427T0700,13.979872,124.508514
20200427T0800,12.496718,138.50352
20200427T0900,13.246826,137.2026
20200427T1000,11.090103,125.75388
20200427T1100,9.904906,109.09349
20200427T1200,8.28,89.99999
20200427T1300,10.239453,79.87532
20200427T1400,12.0694,72.64597
20200427T1500,15.9134655,52.352364
20200427T1600,19.914215,40.601288
20200427T1700,22.26477,39.09384
20200427T1800,21.129883,45.690277
20200427T1900,20.633371,47.121094
20200427T2000,21.889065,53.695488
20200427T2100,21.749483,61.31385
20200427T2200,18.899143,72.255325
20200427T2300,18.709612,78.90628
20200428T0000,18.391735,86.63353
20200428T0100,18.03237,93.433624
20200428T0200,17.106628,98.471146
20200428T0300,16.520823,101.30993
20200428T0400,15.281989,105.01836
20200428T0500,13.797913,105.12401
20200428T0600,13.450708,105.5241
20200428T0700,13.5515,106.99082
20200428T0800,12.904882,112.98871
20200428T0900,15.315873,119.577835
20200428T1000,16.79314,120.96376
20200428T1100,16.78156,125.39479
20200428T1200,15.986593,125.83765
20200428T1300,15.778516,124.77783
20200428T1400,15.077082,123.31062
20200428T1500,13.849477,117.89726
20200428T1600,14.934577,105.37624
20200428T1700,14.84318,104.03624
20200428T1800,18.692286,105.64224
20200428T1900,20.620806,106.22019
20200428T2000,18.782204,77.828545
20200428T2100,20.991426,84.09385
20200428T2200,19.852295,85.84035
20200428T2300,21.322214,101.68936
20200429T0000,19.930477,110.071526
20200429T0100,19.483284,117.51199
20200429T0200,19.513195,119.87599
