location,Cahuapan,Cahuapan
lat,17.73744,17.73744
lon,-94.57403,-94.57403
asl,34.292,34.292
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Cahuapan Wind Speed [80 m],Cahuapan Wind Direction [80 m]
20200512T1000,7.072878,345.25644
20200512T1100,5.4477882,352.40536
20200512T1200,4.802999,12.994629
20200512T1300,6.6087217,29.357742
20200512T1400,9.085988,33.690063
20200512T1500,14.336861,28.495636
20200512T1600,19.803272,27.030853
20200512T1700,26.886963,26.221954
20200512T1800,27.475807,31.607498
20200512T1900,26.865265,32.412292
20200512T2000,26.072052,35.44571
20200512T2100,24.522314,40.236343
20200512T2200,21.638964,44.32596
20200512T2300,18.218275,52.22432
