location,Atlangatepec,Atlangatepec
lat,19.55228,19.55228
lon,-98.16936,-98.16936
asl,2606.829,2606.829
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Atlangatepec Wind Speed [80 m],Atlangatepec Wind Direction [80 m]
20200426T0000,6.28713,23.629364
20200426T0100,5.00128,59.74356
20200426T0200,23.838959,38.254425
20200426T0300,14.021525,48.122116
20200426T0400,8.4963045,36.38434
20200426T0500,5.0911684,44.999985
20200426T0600,3.2399998,89.99999
20200426T0700,9.227524,20.55603
20200426T0800,11.592895,25.769318
20200426T0900,5.937272,14.03624
20200426T1000,4.829907,26.565033
20200426T1100,3.6,360.0
20200426T1200,5.8048253,352.875
20200426T1300,12.074766,10.30484
20200426T1400,17.068707,27.645966
20200426T1500,16.1198,29.427444
20200426T1600,17.429354,38.290146
20200426T1700,16.199999,36.86989
20200426T1800,13.746156,44.999985
20200426T1900,14.264361,42.954575
20200426T2000,22.915916,43.726974
20200426T2100,18.844202,43.451828
20200426T2200,15.408671,37.40535
20200426T2300,15.683774,31.865982
20200427T0000,15.876775,32.96939
20200427T0100,13.979872,34.508514
20200427T0200,11.966954,43.781113
20200427T0300,11.113451,65.09524
20200427T0400,10.446206,91.97493
20200427T0500,12.768586,111.50143
20200427T0600,11.367109,100.954056
20200427T0700,10.853866,84.289406
20200427T0800,5.95906,64.98311
20200427T0900,4.3349743,85.23635
20200427T1000,6.519877,96.34019
20200427T1100,7.172949,107.52557
20200427T1200,6.12,118.07248
20200427T1300,4.6938257,122.47119
20200427T1400,3.6,126.869896
20200427T1500,2.2768397,108.434944
20200427T1600,5.634891,63.43495
20200427T1700,4.5536795,71.56504
20200427T1800,3.2399998,89.99999
20200427T1900,3.319036,139.3987
20200427T2000,9.387651,57.5288
20200427T2100,7.8954163,46.847595
20200427T2200,4.6102495,51.34018
20200427T2300,4.6938252,175.60129
20200428T0000,5.506941,191.30994
20200428T0100,4.3349743,175.23636
20200428T0200,5.1544156,167.90524
20200428T0300,6.379216,196.38954
20200428T0400,7.8954163,223.15239
20200428T0500,10.144082,242.52557
20200428T0600,10.308831,257.90524
20200428T0700,11.165805,249.22775
20200428T0800,6.9899354,258.11133
20200428T0900,5.2416787,254.0546
20200428T1000,7.5170207,286.69925
20200428T1100,12.768586,319.57394
20200428T1200,18.0,343.7398
20200428T1300,20.883104,0.9877472
20200428T1400,21.38897,6.7661743
20200428T1500,19.562946,12.757523
20200428T1600,17.114204,22.249008
20200428T1700,16.263872,27.699463
