location,Atlangatepec,Atlangatepec
20200428T1800,14.372974,22.067886
20200428T1900,9.885262,10.49147
20200428T2000,10.883676,55.784294
20200428T2100,3.4152596,108.434944
20200428T2200,6.4799995,180.0
20200428T2300,5.1544156,192.09476
20200429T0000,3.319036,220.6013
20200429T0100,2.16,270.0
20200429T0200,2.5455842,278.1301
20200429T0300,2.5455842,261.8699
20200429T0400,1.835647,258.69006
20200429T0500,0.8049845,296.56506
20200429T0600,3.9763298,5.194412
20200429T0700,6.519877,6.340164
20200429T0800,6.4096174,321.84277
20200429T0900,5.692099,304.69516
20200429T1000,7.8625183,285.9454
20200429T1100,8.891344,291.37064
20200429T1200,10.086427,325.1755
20200429T1300,15.629972,352.05652
20200429T1400,18.751125,3.3018646
20200429T1500,22.206486,16.966125
20200429T1600,28.277763,31.464142
20200429T1700,21.461555,22.693771
20200429T1800,22.963936,13.600525
20200429T1900,28.33957,25.588516
20200429T2000,24.912935,37.366653
20200429T2100,24.33664,29.219238
20200429T2200,21.120682,29.623734
20200429T2300,19.586119,36.027374
20200430T0000,22.45315,41.099487
20200430T0100,24.75638,40.872406
20200430T0200,25.809765,30.141388
20200430T0300,28.99062,28.156174
20200430T0400,26.89419,27.937134
20200430T0500,26.081993,26.211365
20200430T0600,25.772078,24.775131
20200430T0700,24.819122,23.962479
20200430T0800,11.720751,47.489548
20200430T0900,15.856354,50.527527
20200430T1000,14.291592,40.914368
20200430T1100,14.689588,36.027374
20200430T1200,14.982228,35.217575
20200430T1300,14.77755,34.07718
20200430T1400,12.10157,30.37912
20200430T1500,9.826088,28.442917
20200430T1600,6.2145634,10.00798
20200430T1700,7.2,360.0
20200430T1800,11.841756,19.536652
20200430T1900,13.246826,42.797394
20200430T2000,20.969807,34.508514
20200430T2100,16.375053,33.3407
20200430T2200,8.669949,41.63353
20200430T2300,6.519877,83.65981
20200501T0000,3.396233,57.994614
20200501T0100,5.95906,334.98312
20200501T0200,8.473393,347.73523
20200501T0300,8.287822,357.51044
20200501T0400,7.342588,348.69006
20200501T0500,7.42159,345.96375
20200501T0600,8.287822,357.51044
20200501T0700,7.69592,10.7842865
20200501T0800,1.484318,345.96375
20200501T0900,1.835647,258.69006
20200501T1000,3.319036,257.4712
20200501T1100,5.0528407,274.08563
20200501T1200,6.379216,286.38956
20200501T1300,7.2805495,278.53076
20200501T1400,7.69592,280.7843
20200501T1500,5.815978,338.1986
20200501T1600,10.883676,34.2157
20200501T1700,15.072783,40.15599
20200501T1800,15.7908325,43.15239
20200501T1900,11.384198,34.69516
20200501T2000,21.413193,296.99585
20200501T2100,16.485485,301.6075
20200501T2200,4.8965297,36.027374
20200501T2300,3.2399998,180.0
20200502T0000,3.8268526,228.81409
20200502T0100,2.52,270.0
20200502T0200,2.8116899,309.80557
20200502T0300,3.319036,282.5288
20200502T0400,3.671294,281.30994
20200502T0500,4.2136917,289.98312
20200502T0600,5.0911684,315.0
20200502T0700,4.6938257,327.5288
20200502T0800,4.510787,241.38954
20200502T0900,3.7064266,240.9454
20200502T1000,5.4477882,262.40536
20200502T1100,8.089993,290.85446
20200502T1200,9.290511,305.5377
20200502T1300,9.957108,310.60132
20200502T1400,9.0,323.13013
20200502T1500,8.209263,344.74487
20200502T1600,9.19939,30.579224
20200502T1700,15.9134655,52.352364
20200502T1800,17.174677,56.976128
20200502T1900,14.799459,48.945175
20200502T2000,9.693296,31.32869
20200502T2100,4.379589,9.462311
20200502T2200,1.484318,345.96375
20200502T2300,1.8,216.8699
20200503T0000,3.4152596,198.43495
20200503T0100,4.802999,192.99461
20200503T0200,7.42159,219.09386
20200503T0300,9.178235,221.82018
20200503T0400,7.4128532,240.9454
20200503T0500,6.8399997,270.0
20200503T0600,6.379216,286.38956
20200503T0700,4.1046314,307.875
20200503T0800,2.968636,345.96375
20200503T0900,2.1897945,350.5377
20200503T1000,3.8773184,338.1986
20200503T1100,4.1046314,322.12503
20200503T1200,5.495161,328.39252
20200503T1300,7.172949,342.47443
20200503T1400,9.36,360.0
20200503T1500,13.1041975,15.945404
20200503T1600,18.359999,28.07248
20200503T1700,23.584808,31.263718
20200503T1800,24.066206,21.960556
20200503T1900,22.881958,24.145538
20200503T2000,16.516901,20.409882
20200503T2100,9.107359,18.434952
20200503T2200,5.0911684,8.130096
20200503T2300,6.0347,17.35402
