location,El Espinal,El Espinal
lat,23.99988,23.99988
lon,-106.87500,-106.87500
asl,91.411,91.411
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Espinal Wind Speed [80 m],El Espinal Wind Direction [80 m]
20200420T0000,1.08,360.0
20200420T0100,0.8049845,26.565033
20200420T0200,0.8049845,26.565033
20200420T0300,1.1384199,18.434952
20200420T0400,1.1384199,18.434952
20200420T0500,1.2979984,33.690063
20200420T0600,4.73506,81.25384
20200420T0700,5.7599998,89.99999
20200420T0800,5.7599998,89.99999
20200420T0900,1.8,143.1301
20200420T1000,4.072935,225.0
20200420T1100,6.3690495,227.29062
20200420T1200,8.669949,228.36647
20200420T1300,8.4963045,233.61565
20200420T1400,10.990322,238.3925
20200420T1500,10.495713,247.83365
20200420T1600,11.525623,255.52971
20200420T1700,11.212135,264.47247
20200420T1800,12.245294,268.3153
20200420T1900,8.669949,265.23636
20200420T2000,9.9571085,257.4712
20200420T2100,8.12197,257.19574
20200420T2200,5.1544156,257.90524
20200420T2300,1.8,233.1301
20200421T0000,1.484318,165.96376
20200421T0100,2.5959969,146.30994
20200421T0200,2.5455842,135.0
20200421T0300,2.8116899,129.80557
20200421T0400,3.096837,125.537674
20200421T0500,3.396233,122.00538
20200421T0600,4.32,89.99999
20200421T0700,5.937272,75.96376
20200421T0800,3.9763298,84.805565
20200421T0900,3.319036,220.6013
20200421T1000,6.696387,233.74615
20200421T1100,7.491114,234.78241
20200421T1200,9.085988,236.30994
20200421T1300,9.387651,237.52881
20200421T1400,10.990322,238.3925
20200421T1500,12.074766,243.43495
20200421T1600,12.10157,247.24902
20200421T1700,10.829959,254.57785
20200421T1800,9.605998,257.00537
20200421T1900,6.989936,214.50853
20200421T2000,6.28713,203.62938
20200421T2100,4.68,180.0
20200421T2200,5.904439,142.4314
20200421T2300,7.127636,135.0
20200422T0000,7.145796,130.91438
20200422T0100,5.991594,122.73523
20200422T0200,4.6938257,122.47119
20200422T0300,4.198285,120.96376
20200422T0400,4.2136917,109.9831
20200422T0500,3.671294,101.30993
20200422T0600,3.671294,101.30993
20200422T0700,4.829907,63.43495
20200422T0800,2.52,89.99999
20200422T0900,5.00128,210.25644
20200422T1000,8.654987,225.0
20200422T1100,8.78872,235.00798
20200422T1200,9.885262,236.88866
20200422T1300,9.826088,241.55707
20200422T1400,11.113451,245.09525
20200422T1500,8.854829,243.43495
20200422T1600,10.966713,246.8014
20200422T1700,10.24578,251.56506
20200422T1800,7.628263,250.70996
20200422T1900,7.289445,237.09476
20200422T2000,6.696387,233.74615
20200422T2100,4.1046314,232.12502
20200422T2200,1.8,216.8699
20200422T2300,0.0,180.0
20200423T0000,1.8,53.130096
20200423T0100,3.219938,63.43495
20200423T0200,3.396233,57.994614
20200423T0300,3.0547013,44.999985
20200423T0400,3.6,36.86989
20200423T0500,4.072935,44.999985
20200423T0600,4.39436,55.007973
20200423T0700,7.8954163,65.772255
20200423T0800,5.5887027,75.06858
20200423T0900,0.5091169,135.0
20200423T1000,4.0249224,243.43495
20200423T1100,6.9247384,242.10274
20200423T1200,9.19939,239.42078
20200423T1300,8.891343,238.24052
20200423T1400,12.7279215,241.26021
20200423T1500,15.7908325,245.77226
20200423T1600,16.854767,250.0169
20200423T1700,15.141414,251.99585
20200423T1800,12.661564,255.17352
20200423T1900,7.7043357,217.40535
20200423T2000,6.6087217,209.35776
20200423T2100,5.4477882,187.59465
20200423T2200,4.510787,151.38954
20200423T2300,4.072935,135.0
20200424T0000,3.319036,130.60129
20200424T0100,2.9024127,119.74488
20200424T0200,3.0758414,110.556046
20200424T0300,3.396233,122.00538
20200424T0400,3.8939953,123.69006
20200424T0500,4.198285,120.96376
20200424T0600,4.3498964,114.44395
20200424T0700,5.154415,65.224846
20200424T0800,2.8116899,50.194427
20200424T0900,2.7416782,246.8014
20200424T1000,6.792466,237.99463
20200424T1100,8.39657,239.03624
20200424T1200,10.383987,236.30994
20200424T1300,9.585739,235.71313
20200424T1400,10.685391,237.38075
20200424T1500,11.753877,242.65013
20200424T1600,12.43434,247.89056
20200424T1700,10.041354,255.46555
20200424T1800,8.669949,265.23636
20200424T1900,7.10031,239.53445
20200424T2000,6.696387,233.74615
20200424T2100,3.563818,225.0
20200424T2200,2.16,180.0
20200424T2300,2.0991426,149.03624
20200425T0000,1.5273507,135.0
20200425T0100,0.5091169,135.0
20200425T0200,0.35999998,89.99999
20200425T0300,0.35999998,89.99999
20200425T0400,1.08,89.99999
20200425T0500,1.08,89.99999
20200425T0600,1.609969,116.56505
20200425T0700,3.9763298,84.805565
20200425T0800,1.9386592,158.1986
20200425T0900,6.618519,225.0
20200425T1000,9.220499,231.3402
20200425T1100,8.942214,229.8991
20200425T1200,9.504272,232.69606
20200425T1300,8.4963045,233.61565
20200425T1400,8.891343,238.24052
20200425T1500,7.5942082,238.57043
20200425T1600,9.021574,241.38954
20200425T1700,8.557102,247.75098
20200425T1800,7.754637,248.1986
20200425T1900,6.28713,246.37064
20200425T2000,5.495161,238.3925
20200425T2100,2.5959969,236.30994
20200425T2200,0.35999998,360.0
20200425T2300,2.2768397,18.434952
20200426T0000,2.9024127,7.125
20200426T0100,2.52,360.0
20200426T0200,0.8049845,333.43497
20200426T0300,1.8,180.0
20200426T0400,4.5536795,161.56505
20200426T0500,6.763786,154.79887
20200426T0600,7.7879906,146.30994
20200426T0700,3.96,89.99999
20200426T0800,0.35999998,180.0
20200426T0900,4.3349743,228.36647
20200426T1000,7.8954163,226.84761
20200426T1100,8.654987,225.0
20200426T1200,9.931042,226.46881
20200426T1300,8.669949,228.36647
20200426T1400,10.009036,232.30576
20200426T1500,9.449572,229.63547
20200426T1600,10.703569,227.72632
20200426T1700,9.178235,228.17984
20200426T1800,9.220499,231.3402
20200426T1900,7.289445,237.09476
20200426T2000,4.8965297,233.97263
20200426T2100,1.8,180.0
20200426T2200,3.671294,101.30993
20200426T2300,4.379589,99.46232
20200427T0000,4.452954,104.03624
20200427T0100,4.2136917,109.9831
20200427T0200,3.219938,116.56505
20200427T0300,2.0991426,120.96376
20200427T0400,1.484318,104.03624
20200427T0500,1.08,89.99999
20200427T0600,2.16,89.99999
20200427T0700,3.2599385,96.34019
20200427T0800,4.0249224,100.30484
20200427T0900,2.5455842,171.8699
20200427T1000,5.495161,211.6075
20200427T1100,7.7043357,217.40535
20200427T1200,9.422101,226.54816
20200427T1300,9.449572,229.63547
20200427T1400,11.304229,232.76517
20200427T1500,11.090103,234.24612
20200427T1600,11.609651,240.25513
20200427T1700,10.30883,245.22485
20200427T1800,10.931203,252.75854
20200427T1900,9.422101,263.41806
20200427T2000,10.464798,266.0548
20200427T2100,7.92,270.0
20200427T2200,4.379589,279.46234
20200427T2300,0.71999997,360.0
