location,Cahuapan,Cahuapan
lat,17.73744,17.73744
lon,-94.57403,-94.57403
asl,34.292,34.292
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Cahuapan Wind Speed [80 m],Cahuapan Wind Direction [80 m]
20200426T0000,4.8965297,323.97263
20200426T0100,7.928177,320.52753
20200426T0200,8.217153,331.1892
20200426T0300,10.594036,350.2176
20200426T0400,13.684735,1.507431
20200426T0500,14.973576,9.688782
20200426T0600,17.298738,12.01149
20200426T0700,28.449112,1.4502106
20200426T0800,18.25026,345.1414
20200426T0900,10.195057,317.86243
20200426T1000,5.8048253,277.125
20200426T1100,3.8773184,291.8014
20200426T1200,11.841756,19.536652
20200426T1300,25.729298,17.927917
20200426T1400,38.046055,6.519806
20200426T1500,43.135452,6.7098236
20200426T1600,44.067295,4.6858826
20200426T1700,42.99099,4.803482
20200426T1800,40.06365,4.122299
20200426T1900,35.78697,5.194412
20200426T2000,23.675303,8.74614
20200426T2100,18.998314,9.81929
20200426T2200,18.72,360.0
20200426T2300,15.84409,358.69806
20200427T0000,20.523157,344.74487
20200427T0100,20.364674,351.8699
20200427T0200,20.519999,360.0
20200427T0300,20.211363,4.085617
20200427T0400,19.493261,4.236374
20200427T0500,18.228943,350.90973
20200427T0600,14.658676,335.32312
20200427T0700,9.085988,303.69006
20200427T0800,11.019764,308.3675
20200427T0900,10.195057,317.86243
20200427T1000,18.430452,347.5926
20200427T1100,21.485697,351.32684
20200427T1200,20.907913,357.03906
20200427T1300,23.266697,8.00473
20200427T1400,26.717722,14.03624
20200427T1500,30.911821,14.845444
20200427T1600,32.79361,17.241455
20200427T1700,36.204617,19.15561
20200427T1800,37.16902,21.595291
20200427T1900,34.292717,26.834045
20200427T2000,25.872456,31.920853
20200427T2100,23.363974,33.690063
20200427T2200,20.140705,28.855652
20200427T2300,18.998316,27.050598
20200428T0000,17.884428,40.100906
20200428T0100,18.171976,56.30993
20200428T0200,14.973577,62.818893
20200428T0300,7.9932966,54.16234
20200428T0400,5.0528407,355.91437
20200428T0500,7.7043357,322.59467
20200428T0600,10.948973,316.3322
20200428T0700,11.720751,312.51044
20200428T0800,6.4096174,308.15723
20200428T0900,6.792466,302.00537
20200428T1000,4.198285,329.03625
20200428T1100,4.2136917,19.983109
20200428T1200,6.6087217,29.357742
20200428T1300,9.585739,34.286865
20200428T1400,11.4862,32.195724
20200428T1500,13.979872,34.508514
20200428T1600,18.043148,28.610443
20200428T1700,24.967499,24.717422
20200428T1800,25.772078,28.354965
20200428T1900,25.264202,32.78427
20200428T2000,21.407139,47.726303
20200428T2100,20.87379,57.680374
20200428T2200,16.610792,60.101105
20200428T2300,10.495713,67.83366
20200429T0000,3.219938,63.43495
20200429T0100,0.8049845,26.565033
20200429T0200,1.08,360.0
20200429T0300,1.484318,345.96375
20200429T0400,1.4399999,360.0
20200429T0500,1.8,53.130096
20200429T0600,2.9024127,82.874985
20200429T0700,2.8799999,89.99999
20200429T0800,5.3999996,216.8699
20200429T0900,6.792466,212.00539
20200429T1000,8.14587,225.0
20200429T1100,12.783802,212.34744
20200429T1200,17.555307,208.1416
20200429T1300,19.513195,209.87599
20200429T1400,17.477621,212.38068
20200429T1500,15.496736,210.73549
20200429T1600,13.0447235,207.97948
20200429T1700,9.178235,205.55997
20200429T1800,6.28713,336.37064
20200429T1900,20.163212,1.0230255
20200429T2000,19.483284,27.511993
20200429T2100,11.269782,26.565033
20200429T2200,7.2359104,5.7105865
20200429T2300,9.007196,2.2906036
20200430T0000,11.879999,360.0
20200430T0100,13.339445,3.09404
20200430T0200,15.188415,5.440323
20200430T0300,18.486622,6.7098236
20200430T0400,20.316889,7.125
20200430T0500,21.707731,5.7105865
20200430T0600,22.7057,357.2737
20200430T0700,25.0064,337.12634
20200430T0800,14.84318,345.96375
20200430T0900,25.364037,6.519806
20200430T1000,24.64094,11.802444
20200430T1100,23.749088,14.03624
20200430T1200,28.528723,10.175507
20200430T1300,35.39186,9.366501
20200430T1400,40.323215,7.6960297
20200430T1500,41.982853,5.906128
20200430T1600,39.609814,7.8355103
20200430T1700,40.186382,9.79985
20200430T1800,38.351406,9.72757
20200430T1900,35.747112,9.272583
20200430T2000,33.033802,20.409882
20200430T2100,28.512817,24.623566
20200430T2200,24.162947,24.655884
20200430T2300,21.933426,23.198593
