location,Cahuapan,Cahuapan
20200501T0000,19.694992,18.10376
20200501T0100,17.581125,10.619659
20200501T0200,15.188415,5.440323
20200501T0300,13.698934,356.98724
20200501T0400,12.682018,353.4802
20200501T0500,13.084402,352.09283
20200501T0600,14.77755,357.2073
20200501T0700,15.484185,358.6678
20200501T0800,11.27553,343.30075
20200501T0900,12.6462,4.8990936
20200501T1000,14.154915,7.3057404
20200501T1100,17.651016,11.76828
20200501T1200,22.61419,13.815018
20200501T1300,25.071096,15.832382
20200501T1400,27.558228,19.85521
20200501T1500,31.765793,23.36911
20200501T1600,33.50128,28.217346
20200501T1700,34.76377,31.879593
20200501T1800,33.56312,35.39479
20200501T1900,32.49785,39.155426
20200501T2000,27.504093,37.019867
20200501T2100,24.522314,40.236343
20200501T2200,20.746122,38.659805
20200501T2300,20.26899,33.40782
20200502T0000,20.00512,30.256424
20200502T0100,19.734436,38.333344
20200502T0200,19.881649,47.93567
20200502T0300,17.654688,50.792786
20200502T0400,13.276144,49.398697
20200502T0500,11.246759,39.805573
20200502T0600,9.504272,37.30394
20200502T0700,8.0899935,32.275635
20200502T0800,8.825508,11.76828
20200502T0900,10.233123,39.2894
20200502T1000,10.44,43.602814
20200502T1100,10.587918,35.311203
20200502T1200,12.72283,25.114822
20200502T1300,15.94601,28.30075
20200502T1400,19.64228,26.095428
20200502T1500,27.416782,23.198593
20200502T1600,30.77737,24.166626
20200502T1700,32.209442,25.132935
20200502T1800,32.058197,24.550446
20200502T1900,32.36398,25.709946
20200502T2000,28.512817,24.623566
20200502T2100,26.434887,29.357742
20200502T2200,23.773632,32.005356
20200502T2300,21.120682,29.623734
20200503T0000,18.678415,27.552795
20200503T0100,16.992609,36.38434
20200503T0200,15.379206,32.57405
20200503T0300,13.905509,21.250488
20200503T0400,13.722565,4.513962
20200503T0500,14.512064,352.875
20200503T0600,15.484185,342.4076
20200503T0700,14.512064,330.25513
20200503T0800,11.966954,313.78113
20200503T0900,11.631956,291.8014
20200503T1000,8.217153,298.8108
20200503T1100,5.634891,333.43497
20200503T1200,8.4042845,9.865799
20200503T1300,13.237039,22.380127
20200503T1400,18.86139,23.629364
20200503T1500,25.44566,25.114822
20200503T1600,28.657898,26.886932
20200503T1700,30.430117,25.95877
20200503T1800,29.462873,26.878128
20200503T1900,27.852928,26.896225
20200503T2000,25.11758,27.29956
20200503T2100,22.73707,23.317688
20200503T2200,20.188908,21.99112
20200503T2300,18.03237,26.053482
