location,Amalia,Amalia
lat,28.99988,28.99988
lon,-111.09375,-111.09375
asl,162.812,162.812
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Amalia Wind Speed [80 m],Amalia Wind Direction [80 m]
20200420T0000,7.2805495,261.46924
20200420T0100,5.937272,255.96376
20200420T0200,4.1046314,254.74487
20200420T0300,2.0991426,239.03624
20200420T0400,1.1384199,161.56505
20200420T0500,2.6208394,74.054596
20200420T0600,4.0249224,63.43495
20200420T0700,4.6800003,67.380135
20200420T0800,3.396233,57.994614
20200420T0900,1.4399999,89.99999
20200420T1000,3.6179552,185.71059
20200420T1100,7.5942082,211.42957
20200420T1200,10.44,223.60281
20200420T1300,13.551501,230.38931
20200420T1400,16.075521,235.95407
20200420T1500,18.847641,241.47688
20200420T1600,20.288164,242.52557
20200420T1700,21.603,246.4253
20200420T1800,21.407139,250.34618
20200420T1900,21.758419,253.66397
20200420T2000,22.963936,260.98068
20200420T2100,22.7057,267.27368
20200420T2200,18.014393,272.29062
20200420T2300,11.901798,273.46823
20200421T0000,7.5942073,275.44034
20200421T0100,5.0528407,274.08563
20200421T0200,3.319036,282.5288
20200421T0300,2.8116899,309.80557
20200421T0400,2.5455842,351.8699
20200421T0500,4.0249224,10.30484
20200421T0600,4.6938252,4.398697
20200421T0700,3.396233,32.005356
20200421T0800,1.484318,14.03624
20200421T0900,1.08,270.0
20200421T1000,4.5536795,251.56506
20200421T1100,9.0,253.7398
20200421T1200,13.661038,251.56506
20200421T1300,18.671474,250.86636
20200421T1400,22.657131,252.42874
20200421T1500,25.417631,254.389
20200421T1600,26.6327,256.71515
20200421T1700,27.534704,258.69006
20200421T1800,33.847656,268.78113
20200421T1900,30.676142,274.03772
20200421T2000,28.054604,278.85797
20200421T2100,26.987997,279.21103
20200421T2200,23.936617,282.15494
20200421T2300,18.64369,280.008
20200422T0000,13.039754,276.34018
20200422T0100,9.746631,274.2364
20200422T0200,7.5942073,275.44034
20200422T0300,6.379216,286.38956
20200422T0400,5.1165614,309.2894
20200422T0500,5.154415,335.22485
20200422T0600,8.404285,313.26428
20200422T0700,7.9932966,324.16235
20200422T0800,4.8965297,323.97263
20200422T0900,6.489992,303.69006
20200422T1000,10.948973,297.40756
20200422T1100,14.168641,297.2161
20200422T1200,15.617529,295.97443
20200422T1300,17.399586,294.44397
20200422T1400,19.008547,294.62357
20200422T1500,20.447239,296.11392
20200422T1600,21.434364,299.14807
20200422T1700,21.67487,302.10626
20200422T1800,25.862436,308.78436
20200422T1900,25.759504,296.56506
20200422T2000,30.737339,288.43497
20200422T2100,31.89608,286.38956
20200422T2200,28.348713,287.7447
20200422T2300,20.523157,291.61478
20200423T0000,13.708391,293.1986
20200423T0100,9.659814,296.56506
20200423T0200,7.145796,310.91437
20200423T0300,7.5170207,343.30075
20200423T0400,8.049845,10.30484
20200423T0500,7.9932966,35.837646
20200423T0600,10.041354,14.534454
20200423T0700,8.049845,26.565033
20200423T0800,5.8048253,29.744873
20200423T0900,5.4833565,23.198593
20200423T1000,5.8048253,7.125
20200423T1100,4.3349743,355.23636
20200423T1200,3.0547013,315.0
20200423T1300,6.2145634,280.008
20200423T1400,10.239453,280.1247
20200423T1500,14.145756,284.74356
20200423T1600,16.516901,286.46002
20200423T1700,18.079027,282.65256
20200423T1800,27.645092,261.76437
20200423T1900,31.667723,261.50146
20200423T2000,33.933697,265.74115
20200423T2100,32.039997,270.0
20200423T2200,25.199999,270.0
20200423T2300,14.471821,264.28943
20200424T0000,9.178235,258.69006
20200424T0100,6.2145634,259.992
20200424T0200,3.9763298,264.80557
20200424T0300,1.08,270.0
20200424T0400,1.4399999,89.99999
20200424T0500,3.96,89.99999
20200424T0600,5.8603754,42.510437
20200424T0700,5.506941,78.69006
20200424T0800,3.4152596,108.434944
20200424T0900,4.39436,145.00798
20200424T1000,5.7599998,180.0
20200424T1100,7.4128532,209.05461
20200424T1200,10.009036,232.30576
20200424T1300,13.70839,240.0685
20200424T1400,16.92383,246.16125
20200424T1500,19.93048,253.20163
20200424T1600,21.749481,257.57407
20200424T1700,23.087763,259.2157
20200424T1800,25.509243,261.0694
20200424T1900,28.467329,256.84247
20200424T2000,31.491255,259.46082
20200424T2100,30.703587,265.29214
20200424T2200,27.36947,268.49255
20200424T2300,19.083395,268.91907
20200425T0000,11.212135,264.47247
20200425T0100,7.172949,252.47443
20200425T0200,5.00128,239.74356
20200425T0300,3.096837,234.46233
20200425T0400,0.35999998,180.0
20200425T0500,1.8,89.99999
20200425T0600,2.5455842,44.999985
20200425T0700,2.7416782,66.8014
20200425T0800,2.3051248,51.34018
20200425T0900,1.4399999,360.0
20200425T1000,2.4149535,296.56506
20200425T1100,5.3999996,270.0
20200425T1200,7.92,270.0
20200425T1300,9.726665,272.1211
20200425T1400,11.212135,275.52753
20200425T1500,13.797912,277.49585
20200425T1600,15.5843,276.6325
20200425T1700,18.057508,274.5739
20200425T1800,25.651104,265.1696
20200425T1900,32.24161,263.58917
20200425T2000,36.78347,266.63354
20200425T2100,34.92,270.0
20200425T2200,23.042812,269.10483
20200425T2300,12.7279215,261.8699
20200426T0000,7.771331,256.6075
20200426T0100,5.0528407,265.91437
20200426T0200,2.968636,284.03625
20200426T0300,2.2768397,341.56506
20200426T0400,1.8,36.86989
20200426T0500,2.9024127,82.874985
20200426T0600,1.609969,63.43495
20200426T0700,3.7585104,106.69924
20200426T0800,2.8116899,129.80557
20200426T0900,4.3349743,175.23636
20200426T1000,6.830519,198.43495
20200426T1100,9.686609,221.98721
20200426T1200,13.0447235,242.02054
20200426T1300,17.31746,249.30457
20200426T1400,20.176065,254.47589
20200426T1500,22.61419,256.185
20200426T1600,24.288662,258.02386
20200426T1700,25.420181,257.73523
20200426T1800,28.036118,257.3914
20200426T1900,30.911821,255.15454
20200426T2000,34.22841,255.37914
20200426T2100,32.335934,258.43988
20200426T2200,25.922499,260.40686
20200426T2300,15.629971,255.32361
20200427T0000,8.587338,236.97614
20200427T0100,8.089993,200.85446
20200427T0200,9.779817,186.3402
20200427T0300,10.805999,178.09085
20200427T0400,11.252519,172.64761
20200427T0500,10.041354,165.46555
20200427T0600,8.854829,153.43495
20200427T0700,7.8954163,136.84761
20200427T0800,5.692099,124.69515
20200427T0900,6.6087217,150.64224
20200427T1000,9.3876505,175.60129
20200427T1100,11.720751,190.61966
20200427T1200,14.512064,203.38522
20200427T1300,18.079027,215.27243
20200427T1400,21.142147,222.92996
20200427T1500,24.014996,229.86452
20200427T1600,25.364037,235.40771
20200427T1700,25.944988,240.9454
20200427T1800,24.675106,246.8014
20200427T1900,23.933908,254.29138
20200427T2000,22.963936,260.98068
20200427T2100,17.28,270.0
20200427T2200,9.114471,279.09027
20200427T2300,4.379589,279.46234
