"","timestamp","Villa.Tecolutilla.Wind.Speed..80.m.","Villa.Tecolutilla.Wind.Direction..80.m."
"105",2020-04-18 08:00:00,11.298495,149.34933
"106",2020-04-18 09:00:00,9.3876505,175.60129
"107",2020-04-18 10:00:00,12.24,208.0725
"108",2020-04-18 11:00:00,12.229406,222.61406
"109",2020-04-18 12:00:00,9.339208,242.44719
"110",2020-04-18 13:00:00,6.792466,302.00537
"111",2020-04-18 14:00:00,15.84,360
"112",2020-04-18 15:00:00,23.97989,7.765167
"113",2020-04-18 16:00:00,24.216522,5.1173096
"114",2020-04-18 17:00:00,25.764534,15.395554
"115",2020-04-18 18:00:00,23.241617,16.189209
"116",2020-04-18 19:00:00,23.507753,27.349869
"117",2020-04-18 20:00:00,24.312662,27.323883
"118",2020-04-18 21:00:00,22.406927,46.30194
"119",2020-04-18 22:00:00,21.67487,57.893738
"120",2020-04-18 23:00:00,23.006226,69.86369
"121",2020-04-19 00:00:00,22.42427,84.47246
"122",2020-04-19 01:00:00,17.731598,95.82633
"123",2020-04-19 02:00:00,8.427383,109.9831
"124",2020-04-19 03:00:00,2.1897945,189.46233
"125",2020-04-19 04:00:00,4.802999,257.00537
"126",2020-04-19 05:00:00,5.634891,243.43495
"127",2020-04-19 06:00:00,4.32,180
"128",2020-04-19 07:00:00,9.220499,128.6598
"129",2020-04-19 08:00:00,10.195057,137.8624
"130",2020-04-19 09:00:00,10.1887,147.99461
"131",2020-04-19 10:00:00,9.360001,202.61987
"132",2020-04-19 11:00:00,14.84318,219.09386
"133",2020-04-19 12:00:00,18.581022,215.53769
"134",2020-04-19 13:00:00,18.971008,213.38852
"135",2020-04-19 14:00:00,16.489416,216.11934
"136",2020-04-19 15:00:00,4.829907,206.56505
"137",2020-04-19 16:00:00,5.4477882,82.40536
"138",2020-04-19 17:00:00,11.043261,70.97439
"139",2020-04-19 18:00:00,12.682018,83.480194
"140",2020-04-19 19:00:00,9.931042,133.53119
"141",2020-04-19 20:00:00,30.54701,188.1301
"142",2020-04-19 21:00:00,27.908709,186.66666
"143",2020-04-19 22:00:00,28.948118,201.13983
"144",2020-04-19 23:00:00,36.08091,204.77515
"145",2020-04-20 00:00:00,34.358788,215.18875
"146",2020-04-20 01:00:00,35.647274,218.02722
"147",2020-04-20 02:00:00,35.71265,217.21645
"148",2020-04-20 03:00:00,36.288643,216.52885
"149",2020-04-20 04:00:00,35.452232,212.56044
"150",2020-04-20 05:00:00,34.793587,208.4212
"151",2020-04-20 06:00:00,34.651752,203.90205
"152",2020-04-20 07:00:00,32.44996,199.44003
"153",2020-04-20 08:00:00,15.856356,182.60257
"154",2020-04-20 09:00:00,23.444265,183.52145
"155",2020-04-20 10:00:00,26.437336,186.25403
"156",2020-04-20 11:00:00,29.01743,191.44934
"157",2020-04-20 12:00:00,26.980793,198.6767
"158",2020-04-20 13:00:00,14.007655,205.90651
"159",2020-04-20 14:00:00,12.303366,20.556046
"160",2020-04-20 15:00:00,26.980793,31.35707
"161",2020-04-20 16:00:00,23.847115,28.886566
"162",2020-04-20 17:00:00,26.826641,40.100906
"163",2020-04-20 18:00:00,23.441502,42.510437
