location,Atlangatepec,Atlangatepec
lat,19.55228,19.55228
lon,-98.16936,-98.16936
asl,2606.829,2606.829
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Atlangatepec Wind Speed [80 m],Atlangatepec Wind Direction [80 m]
20200512T0900,4.829907,243.43495
20200512T1000,6.4799995,270.0
20200512T1100,10.24578,288.43494
20200512T1200,7.968939,288.43497
20200512T1300,7.6367526,278.1301
20200512T1400,6.489992,273.17984
20200512T1500,7.4128532,240.9454
20200512T1600,9.290511,234.46233
20200512T1700,8.654987,225.0
20200512T1800,8.913181,226.63658
20200512T1900,6.3690495,222.7094
20200512T2000,6.9153743,218.65982
20200512T2100,10.009036,217.69424
20200512T2200,10.931203,197.24146
20200512T2300,17.654688,177.66269
