location,El Nuevo Mercurio,El Nuevo Mercurio
20200428T0100,21.94524,131.0091
20200428T0200,22.26477,140.90614
20200428T0300,21.26744,146.04094
20200428T0400,19.770523,146.88866
20200428T0500,18.79255,143.56914
20200428T0600,17.713316,142.43141
20200428T0700,16.199999,143.1301
20200428T0800,17.902534,164.84593
20200428T0900,12.682018,173.4802
20200428T1000,8.473393,192.26477
20200428T1100,7.928177,219.47246
20200428T1200,8.217153,241.18921
20200428T1300,9.346143,254.35776
20200428T1400,9.605998,257.00537
20200428T1500,10.538843,262.14667
20200428T1600,11.5199995,270.0
20200428T1700,11.525623,284.47028
20200428T1800,11.592895,295.76935
20200428T1900,12.031756,308.92755
20200428T2000,16.78156,305.3948
20200428T2100,16.923828,330.70865
20200428T2200,17.731598,354.17365
20200428T2300,14.830076,5.5721893
20200429T0000,10.24578,18.434952
20200429T0100,6.9153743,38.659805
20200429T0200,4.5536795,71.56504
20200429T0300,4.0249224,116.56505
20200429T0400,5.692099,145.30484
20200429T0500,6.763786,154.79887
20200429T0600,6.9527545,158.7495
20200429T0700,6.6185193,157.61987
20200429T0800,9.565437,109.798874
20200429T0900,7.42159,112.83366
20200429T1000,4.6800003,112.61986
20200429T1100,2.968636,75.96376
20200429T1200,10.990322,31.607498
20200429T1300,20.945072,24.362442
20200429T1400,21.068459,19.983109
20200429T1500,21.518847,17.525558
20200429T1600,22.206486,16.966125
20200429T1700,23.565567,18.711731
20200429T1800,24.535526,22.425842
20200429T1900,27.381306,28.249725
20200429T2000,28.33957,64.411476
20200429T2100,27.952787,82.6004
20200429T2200,29.162226,90.70731
20200429T2300,29.301878,95.64055
20200430T0000,27.607563,102.04257
20200430T0100,23.000591,107.30053
20200430T0200,15.509274,111.80141
20200430T0300,12.287555,121.82744
20200430T0400,11.720751,137.48955
20200430T0500,10.948973,152.59242
20200430T0600,10.028439,158.9625
20200430T0700,8.557102,157.75098
20200430T0800,7.42159,165.96376
20200430T0900,7.771331,166.6075
20200430T1000,6.28713,156.37062
20200430T1100,5.3999996,143.1301
20200430T1200,5.0911684,135.0
20200430T1300,3.8939953,123.69006
20200430T1400,3.2599385,96.34019
20200430T1500,2.5455842,81.869896
20200430T1600,3.2599385,83.65981
20200430T1700,3.319036,77.47118
20200430T1800,3.7585104,73.30075
20200430T1900,5.506941,78.69006
20200430T2000,15.408671,37.40535
20200430T2100,12.10157,59.620865
20200430T2200,14.404499,88.5679
20200430T2300,15.379206,106.31385
20200501T0000,15.077082,123.31062
20200501T0100,17.377226,140.04245
20200501T0200,19.64228,153.90457
20200501T0300,21.218632,165.25644
20200501T0400,19.652176,171.57303
20200501T0500,17.581125,169.38034
20200501T0600,16.279802,161.96571
20200501T0700,15.463246,155.22485
20200501T0800,14.255272,135.0
20200501T0900,11.525623,141.34018
20200501T1000,9.227524,159.44395
20200501T1100,6.8399997,180.0
20200501T1200,4.198285,239.03624
20200501T1300,3.5455887,293.9625
20200501T1400,3.319036,310.60132
20200501T1500,2.4149535,333.43497
20200501T1600,1.8,323.13013
20200501T1700,1.8,323.13013
20200501T1800,1.8,360.0
20200501T1900,1.484318,14.03624
20200501T2000,8.759178,9.462311
20200501T2100,7.5685663,25.34616
20200501T2200,7.42159,67.166336
20200501T2300,9.72,89.99999
20200502T0000,11.304229,99.162346
20200502T0100,11.966953,111.161255
20200502T0200,13.217443,119.35774
20200502T0300,15.530151,134.0608
20200502T0400,17.414474,150.25511
20200502T0500,18.11841,159.04422
20200502T0600,18.448023,162.97948
20200502T0700,16.766108,165.06857
20200502T0800,9.826088,151.55707
20200502T0900,9.19939,149.42078
20200502T1000,8.699793,155.55605
20200502T1100,7.072878,165.25644
20200502T1200,3.9763298,185.19443
20200502T1300,1.609969,333.43497
20200502T1400,7.2805495,8.530762
20200502T1500,9.885262,10.49147
20200502T1600,10.308831,12.094757
20200502T1700,11.525623,14.470276
20200502T1800,12.0694,17.35402
20200502T1900,11.165805,20.772247
20200502T2000,11.440979,24.145538
20200502T2100,14.277983,33.690063
20200502T2200,15.072783,49.843994
20200502T2300,16.171976,73.17859
20200503T0000,15.496736,92.662994
20200503T0100,13.661038,108.434944
20200503T0200,11.792404,121.26373
20200503T0300,11.246759,129.80557
20200503T0400,11.304229,142.76517
20200503T0500,12.7279215,151.26021
20200503T0600,12.72283,154.88516
20200503T0700,12.397806,154.179
20200503T0800,12.397806,154.179
20200503T0900,9.83268,156.2505
20200503T1000,5.04,180.0
20200503T1100,2.7416782,246.8014
20200503T1200,7.968939,341.56506
20200503T1300,14.759999,360.0
20200503T1400,16.93531,2.4366455
20200503T1500,18.72,360.0
20200503T1600,20.163212,358.977
20200503T1700,20.519999,360.0
20200503T1800,20.883104,0.9877472
20200503T1900,22.033648,4.6858826
20200503T2000,24.216522,11.142868
20200503T2100,28.236486,19.358978
20200503T2200,27.41678,29.931503
20200503T2300,19.09358,45.763885
