location,El Nuevo Mercurio,El Nuevo Mercurio
lat,24.33321,24.33321
lon,-102.18750,-102.18750
asl,1852.524,1852.524
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Nuevo Mercurio Wind Speed [80 m],El Nuevo Mercurio Wind Direction [80 m]
20200426T0000,38.378433,126.224945
20200426T0100,30.978828,141.13222
20200426T0200,23.993399,152.2815
20200426T0300,17.709658,153.43495
20200426T0400,10.799999,143.1301
20200426T0500,8.089993,110.854454
20200426T0600,9.007196,87.70938
20200426T0700,4.379589,99.46232
20200426T0800,6.28713,113.62937
20200426T0900,4.6938257,122.47119
20200426T1000,8.714677,128.29016
20200426T1100,12.599998,126.869896
20200426T1200,12.181624,124.1597
20200426T1300,10.685391,122.61925
20200426T1400,8.217153,118.81079
20200426T1500,7.072878,104.74355
20200426T1600,6.130579,93.366455
20200426T1700,5.8048253,82.874985
20200426T1800,5.5887027,75.06858
20200426T1900,7.42159,75.96376
20200426T2000,7.5170207,106.69924
20200426T2100,16.311613,112.036224
20200426T2200,21.485697,121.29304
20200426T2300,25.02971,130.33315
20200427T0000,25.264202,139.0445
20200427T0100,22.9724,147.80426
20200427T0200,19.64228,153.90457
20200427T0300,18.359999,151.9275
20200427T0400,15.9134655,142.35239
20200427T0500,15.30741,131.18591
20200427T0600,14.57889,122.90524
20200427T0700,13.896187,106.55707
20200427T0800,7.8625183,164.0546
20200427T0900,9.36,180.0
20200427T1000,8.647496,182.38594
20200427T1100,11.609651,187.12502
20200427T1200,13.276144,192.52881
20200427T1300,11.113451,204.90477
20200427T1400,7.491114,234.78241
20200427T1500,7.5599995,270.0
20200427T1600,10.137692,286.50436
20200427T1700,12.245293,294.30457
20200427T1800,12.904882,300.1414
20200427T1900,11.609651,299.74487
20200427T2000,7.208994,2.8624115
20200427T2100,9.422101,43.451828
20200427T2200,13.722565,85.48601
20200427T2300,17.298738,102.011475
20200428T0000,20.456745,118.36904
