"","timestamp","Amalia.Wind.Speed..80.m.","Amalia.Wind.Direction..80.m."
"107",2020-04-18 10:00:00,12.9249525,192.875
"108",2020-04-18 11:00:00,17.555307,208.1416
"109",2020-04-18 12:00:00,22.392464,216.50143
"110",2020-04-18 13:00:00,26.478971,226.10172
"111",2020-04-18 14:00:00,29.088802,233.55556
"112",2020-04-18 15:00:00,30.190672,239.15341
"113",2020-04-18 16:00:00,29.462873,243.12186
"114",2020-04-18 17:00:00,28.36471,246.0375
"115",2020-04-18 18:00:00,27.908709,239.79677
"116",2020-04-18 19:00:00,25.842384,251.31265
"117",2020-04-18 20:00:00,26.079508,263.65982
"118",2020-04-18 21:00:00,25.922499,270.79572
"119",2020-04-18 22:00:00,23.857979,275.19443
"120",2020-04-18 23:00:00,20.240196,275.10217
"121",2020-04-19 00:00:00,14.417988,272.8624
"122",2020-04-19 01:00:00,9.72,270
"123",2020-04-19 02:00:00,6.849467,266.9872
"124",2020-04-19 03:00:00,5.0528407,265.91437
"125",2020-04-19 04:00:00,3.6,270
"126",2020-04-19 05:00:00,2.0991426,300.96378
"127",2020-04-19 06:00:00,1.4399999,360
"128",2020-04-19 07:00:00,4.3498964,65.55604
"129",2020-04-19 08:00:00,3.2399998,89.99999
"130",2020-04-19 09:00:00,3.5455887,113.96249
"131",2020-04-19 10:00:00,4.3498964,155.55605
"132",2020-04-19 11:00:00,6.130579,183.36646
"133",2020-04-19 12:00:00,9.028754,203.49857
"134",2020-04-19 13:00:00,11.681987,213.69006
"135",2020-04-19 14:00:00,14.512064,223.99492
"136",2020-04-19 15:00:00,16.704155,232.88315
"137",2020-04-19 16:00:00,18.671474,236.00354
"138",2020-04-19 17:00:00,20.68356,238.52316
"139",2020-04-19 18:00:00,24.774696,234.46233
"140",2020-04-19 19:00:00,25.809765,239.85861
"141",2020-04-19 20:00:00,24.162947,245.3441
"142",2020-04-19 21:00:00,21.218632,255.25644
"143",2020-04-19 22:00:00,16.981165,265.1355
"144",2020-04-19 23:00:00,11.165805,268.1524
"145",2020-04-20 00:00:00,6.87779,263.991
"146",2020-04-20 01:00:00,3.2599385,263.65982
"147",2020-04-20 02:00:00,0.5091169,225
"148",2020-04-20 03:00:00,1.2979984,123.69006
"149",2020-04-20 04:00:00,1.8,89.99999
"150",2020-04-20 05:00:00,2.6208394,74.054596
"151",2020-04-20 06:00:00,6.12,89.99999
"152",2020-04-20 07:00:00,6.130579,86.63353
"153",2020-04-20 08:00:00,3.0758414,69.443954
"154",2020-04-20 09:00:00,2.7416782,156.8014
"155",2020-04-20 10:00:00,8.557102,194.62088
"156",2020-04-20 11:00:00,12.783802,212.34744
"157",2020-04-20 12:00:00,15.072783,220.156
"158",2020-04-20 13:00:00,17.84816,228.2705
"159",2020-04-20 14:00:00,19.8,233.1301
"160",2020-04-20 15:00:00,21.67487,237.89374
"161",2020-04-20 16:00:00,23.219301,240.25513
