"","timestamp","√.lvaro.Obreg√≥n.Wind.Speed..80.m.","√.lvaro.Obreg√≥n.Wind.Direction..80.m."
"106",2020-04-18 09:00:00,21.413193,116.995834
"107",2020-04-18 10:00:00,21.746502,109.3348
"108",2020-04-18 11:00:00,23.933907,111.161255
"109",2020-04-18 12:00:00,25.282152,109.9831
"110",2020-04-18 13:00:00,26.758923,109.653824
"111",2020-04-18 14:00:00,26.64,108.92464
"112",2020-04-18 15:00:00,26.64,108.92464
"113",2020-04-18 16:00:00,25.729298,107.92791
"114",2020-04-18 17:00:00,25.277023,107.4027
"115",2020-04-18 18:00:00,24.975283,105.03781
"116",2020-04-18 19:00:00,23.749088,104.03624
"117",2020-04-18 20:00:00,24.087738,99.46232
"118",2020-04-18 21:00:00,22.007162,93.751724
"119",2020-04-18 22:00:00,20.188908,93.06648
"120",2020-04-18 23:00:00,18.532133,97.815285
"121",2020-04-19 00:00:00,18.079027,102.65255
"122",2020-04-19 01:00:00,20.431387,104.2811
"123",2020-04-19 02:00:00,20.037485,107.78389
"124",2020-04-19 03:00:00,17.654688,110.282555
"125",2020-04-19 04:00:00,16.516901,110.409874
"126",2020-04-19 05:00:00,15.379206,110.556046
"127",2020-04-19 06:00:00,15.509274,111.80141
"128",2020-04-19 07:00:00,15.978484,112.52056
"129",2020-04-19 08:00:00,17.072504,114.9439
"130",2020-04-19 09:00:00,23.358425,114.59012
"131",2020-04-19 10:00:00,25.478743,113.304886
"132",2020-04-19 11:00:00,27.890127,113.58703
"133",2020-04-19 12:00:00,29.354902,113.10632
"134",2020-04-19 13:00:00,29.882166,111.92958
"135",2020-04-19 14:00:00,29.414444,111.54097
"136",2020-04-19 15:00:00,29.035288,109.55824
"137",2020-04-19 16:00:00,27.09822,109.39781
"138",2020-04-19 17:00:00,25.516865,106.38954
"139",2020-04-19 18:00:00,24.288662,101.97613
"140",2020-04-19 19:00:00,23.936617,102.15494
"141",2020-04-19 20:00:00,25.323128,104.82648
"142",2020-04-19 21:00:00,23.510508,101.48199
"143",2020-04-19 22:00:00,21.41319,106.60698
"144",2020-04-19 23:00:00,20.94507,118.76764
"145",2020-04-20 00:00:00,19.734436,128.33334
"146",2020-04-20 01:00:00,17.581125,132.51044
"147",2020-04-20 02:00:00,15.30741,131.18591
"148",2020-04-20 03:00:00,14.77755,124.077194
"149",2020-04-20 04:00:00,12.074766,116.56505
"150",2020-04-20 05:00:00,11.177405,104.93142
"151",2020-04-20 06:00:00,11.609651,97.125015
"152",2020-04-20 07:00:00,11.525623,91.7899
"153",2020-04-20 08:00:00,11.792404,102.33909
"154",2020-04-20 09:00:00,14.973576,99.68878
"155",2020-04-20 10:00:00,14.05845,92.93567
"156",2020-04-20 11:00:00,14.685176,78.69006
"157",2020-04-20 12:00:00,15.629971,75.3236
"158",2020-04-20 13:00:00,17.555305,74.53877
"159",2020-04-20 14:00:00,17.811815,75.96376
"160",2020-04-20 15:00:00,19.296133,75.96376
"161",2020-04-20 16:00:00,19.48661,78.27489
"162",2020-04-20 17:00:00,19.839235,78.48617
"163",2020-04-20 18:00:00,19.70815,80.537674
"164",2020-04-20 19:00:00,19.881649,84.805565
"165",2020-04-20 20:00:00,25.929996,91.59113
"166",2020-04-20 21:00:00,25.264202,94.08562
"167",2020-04-20 22:00:00,20.929596,93.945175
"168",2020-04-20 23:00:00,15.546833,95.31454
"169",2020-04-21 00:00:00,10.853866,84.289406
"170",2020-04-21 01:00:00,9,53.130096
"171",2020-04-21 02:00:00,10.182337,44.999985
"172",2020-04-21 03:00:00,11.019764,51.632507
"173",2020-04-21 04:00:00,10.464797,63.43495
"174",2020-04-21 05:00:00,10.990322,58.392494
"175",2020-04-21 06:00:00,12.682018,55.4077
"176",2020-04-21 07:00:00,11.384198,55.304832
"177",2020-04-21 08:00:00,11.298495,67.52056
"178",2020-04-21 09:00:00,13.493999,80.78897
"179",2020-04-21 10:00:00,15.137133,87.27369
"180",2020-04-21 11:00:00,15.484185,88.66778
"181",2020-04-21 12:00:00,16.199999,89.99999
"182",2020-04-21 13:00:00,18.0036,91.14575
"183",2020-04-21 14:00:00,19.083395,91.08092
"184",2020-04-21 15:00:00,21.24,89.99999
"185",2020-04-21 16:00:00,22.3229,89.07595
"186",2020-04-21 17:00:00,23.051247,88.21008
"187",2020-04-21 18:00:00,23.039999,89.99999
"188",2020-04-21 19:00:00,21.96295,90.939186
"189",2020-04-21 20:00:00,21.26744,92.910835
