location,El Nuevo Mercurio,El Nuevo Mercurio
lat,24.33321,24.33321
lon,-102.18750,-102.18750
asl,1852.524,1852.524
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Nuevo Mercurio Wind Speed [80 m],El Nuevo Mercurio Wind Direction [80 m]
20200427T0800,16.700275,97.431404
20200427T0900,17.106628,98.471146
20200427T1000,12.313894,127.874985
20200427T1100,10.144082,152.52557
20200427T1200,9.255571,166.50427
20200427T1300,6.519877,173.6598
20200427T1400,3.96,180.0
20200427T1500,3.0547013,225.0
20200427T1600,2.5455842,261.8699
20200427T1700,1.8,323.13013
20200427T1800,3.6179552,354.28943
20200427T1900,5.04,360.0
20200427T2000,6.6185193,22.380127
20200427T2100,9.726664,51.009003
20200427T2200,11.792404,77.66091
20200427T2300,14.869351,96.95296
