location,Armadillo de los Infante,Armadillo de los Infante
lat,22.33321,22.33321
lon,-100.78125,-100.78125
asl,1821.990,1821.990
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Armadillo de los Infante Wind Speed [80 m],Armadillo de los Infante Wind Direction [80 m]
20200503T0800,3.2399998,270.0
20200503T0900,4.0249224,296.56506
20200503T1000,3.0547013,315.0
20200503T1100,2.1897945,9.462311
20200503T1200,3.4152596,71.56504
20200503T1300,5.771239,86.42367
20200503T1400,7.2805495,81.46923
20200503T1500,12.413476,73.141594
20200503T1600,16.87398,78.929794
20200503T1700,22.725668,86.36704
20200503T1800,28.551426,95.063614
20200503T1900,36.58918,103.079124
20200503T2000,27.553526,107.48799
20200503T2100,19.93048,106.79836
20200503T2200,16.167967,101.56012
20200503T2300,12.57426,103.24051
