location,Álvaro Obregón,Álvaro Obregón
lat,18.27971,18.27971
lon,-88.62193,-88.62193
asl,32.946,32.946
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Álvaro Obregón Wind Speed [80 m],Álvaro Obregón Wind Direction [80 m]
20200427T1000,17.731598,95.82633
20200427T1100,20.188908,93.06648
20200427T1200,21.316135,94.844
20200427T1300,22.782625,95.44032
20200427T1400,22.862125,97.236916
20200427T1500,22.461807,96.44159
20200427T1600,21.67487,94.76365
20200427T1700,21.288757,93.87852
20200427T1800,20.532627,92.009544
20200427T1900,19.803272,91.04162
20200427T2000,19.523155,95.29008
20200427T2100,18.775301,94.398705
20200427T2200,18.94024,81.25384
20200427T2300,19.829433,74.19748
