"","timestamp","Atlangatepec.Wind.Speed..80.m.","Atlangatepec.Wind.Direction..80.m."
"107",2020-04-18 10:00:00,5.3999996,216.8699
"108",2020-04-18 11:00:00,5.3999996,216.8699
"109",2020-04-18 12:00:00,2.2768397,198.43495
"110",2020-04-18 13:00:00,2.7416782,156.8014
"111",2020-04-18 14:00:00,5.3517847,160.34618
"112",2020-04-18 15:00:00,8.473393,167.73523
"113",2020-04-18 16:00:00,7.5685663,177.27368
"114",2020-04-18 17:00:00,4.0249224,153.43495
"115",2020-04-18 18:00:00,8.287822,177.51045
"116",2020-04-18 19:00:00,12.371645,188.36589
"117",2020-04-18 20:00:00,6.87779,96.009
"118",2020-04-18 21:00:00,6.4799995,89.99999
"119",2020-04-18 22:00:00,7.145796,139.08562
"120",2020-04-18 23:00:00,12.682018,186.5198
"121",2020-04-19 00:00:00,32.730316,209.66672
"122",2020-04-19 01:00:00,25.43802,206.92767
"123",2020-04-19 02:00:00,25.44566,205.11484
"124",2020-04-19 03:00:00,22.73707,203.3177
"125",2020-04-19 04:00:00,18.947083,218.82983
"126",2020-04-19 05:00:00,13.276144,220.6013
"127",2020-04-19 06:00:00,11.525623,218.65982
"128",2020-04-19 07:00:00,10.685391,212.61925
"129",2020-04-19 08:00:00,10.009036,232.30576
"130",2020-04-19 09:00:00,8.287822,235.61966
"131",2020-04-19 10:00:00,12.979984,266.8202
"132",2020-04-19 11:00:00,13.202726,295.86633
"133",2020-04-19 12:00:00,9.885262,303.11136
"134",2020-04-19 13:00:00,7.7879906,303.69006
"135",2020-04-19 14:00:00,6.193674,305.5377
"136",2020-04-19 15:00:00,5.0142193,291.0375
"137",2020-04-19 16:00:00,3.8268526,311.1859
"138",2020-04-19 17:00:00,3.396233,32.005356
"139",2020-04-19 18:00:00,5.6233797,219.80557
"140",2020-04-19 19:00:00,7.5685663,205.34618
"141",2020-04-19 20:00:00,11.91812,115.01689
"142",2020-04-19 21:00:00,12.538134,140.82634
"143",2020-04-19 22:00:00,13.049689,155.55605
"144",2020-04-19 23:00:00,19.443333,178.93909
"145",2020-04-20 00:00:00,25.509243,188.93059
"146",2020-04-20 01:00:00,22.89611,196.44038
"147",2020-04-20 02:00:00,15.7908325,204.22775
"148",2020-04-20 03:00:00,12.4811535,213.23172
"149",2020-04-20 04:00:00,9.178235,228.17984
"150",2020-04-20 05:00:00,7.7043357,232.59465
"151",2020-04-20 06:00:00,3.8939953,236.30994
"152",2020-04-20 07:00:00,3.96,360
"153",2020-04-20 08:00:00,3.563818,225
"154",2020-04-20 09:00:00,4.3349743,221.63354
