location,Cahuapan,Cahuapan
lat,17.73744,17.73744
lon,-94.57403,-94.57403
asl,34.292,34.292
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Cahuapan Wind Speed [80 m],Cahuapan Wind Direction [80 m]
20200420T0000,43.319836,195.42216
20200420T0100,44.36187,195.05122
20200420T0200,44.87888,193.92477
20200420T0300,43.928844,192.78346
20200420T0400,43.70257,191.4025
20200420T0500,42.57295,191.21492
20200420T0600,40.456375,191.80988
20200420T0700,42.366966,192.26477
20200420T0800,42.876286,193.10278
20200420T0900,46.193764,194.90265
20200420T1000,47.33007,194.98756
20200420T1100,47.67792,194.87569
20200420T1200,46.63494,195.21632
20200420T1300,46.193764,194.90265
20200420T1400,45.057564,194.81346
20200420T1500,43.573387,194.83994
20200420T1600,41.835964,195.47133
20200420T1700,40.89606,196.36108
20200420T1800,40.98312,198.43495
20200420T1900,39.27961,197.60463
20200420T2000,35.406506,198.98763
20200420T2100,32.69664,200.62988
20200420T2200,31.311722,197.39333
20200420T2300,30.625402,197.79599
20200421T0000,29.714724,199.09349
20200421T0100,30.085318,201.0375
20200421T0200,30.29566,200.15761
20200421T0300,30.421598,200.79411
20200421T0400,30.351225,202.30621
20200421T0500,29.49804,203.7495
20200421T0600,28.220417,203.29457
20200421T0700,14.869351,173.04704
20200421T0800,6.151683,200.55605
20200421T0900,6.9899354,191.88866
20200421T1000,7.5942082,211.42957
20200421T1100,7.42159,219.09386
20200421T1200,5.937272,194.03624
20200421T1300,5.3999996,180.0
20200421T1400,4.896529,162.89728
20200421T1500,3.8939953,146.30994
20200421T1600,3.5455887,113.96249
20200421T1700,9.793059,36.027374
20200421T1800,27.231804,24.193207
20200421T1900,22.17144,32.39984
20200421T2000,10.315115,29.24881
20200421T2100,5.1165614,309.2894
20200421T2200,8.473393,282.26477
20200421T2300,13.324863,268.45184
20200422T0000,13.358861,255.96376
20200422T0100,9.504273,245.37643
20200422T0200,4.510787,208.61046
20200422T0300,7.42159,202.83365
20200422T0400,12.096214,216.52885
20200422T0500,14.480773,214.87534
20200422T0600,17.477621,212.38068
20200422T0700,20.304129,217.07307
20200422T0800,11.113451,204.90477
20200422T0900,13.570615,201.8014
20200422T1000,14.021525,209.19748
20200422T1100,13.527572,205.20113
20200422T1200,11.720751,190.61966
20200422T1300,11.525623,178.21008
20200422T1400,12.522619,161.56505
20200422T1500,12.783802,170.27242
20200422T1600,14.404499,181.4321
20200422T1700,18.947083,194.30028
20200422T1800,30.267845,206.86981
20200422T1900,34.177254,203.59482
20200422T2000,21.897945,207.40758
20200422T2100,28.387545,192.45
20200422T2200,27.553526,197.488
20200422T2300,30.513052,199.29004
20200423T0000,33.47032,198.8247
20200423T0100,35.772484,200.62354
20200423T0200,38.251587,198.0939
20200423T0300,40.35213,195.52411
20200423T0400,41.312252,192.58296
20200423T0500,40.186382,189.79985
20200423T0600,38.89666,187.98012
20200423T0700,37.579926,184.94597
20200423T0800,18.228943,170.90973
20200423T0900,29.88217,179.30972
20200423T1000,48.175476,189.46233
20200423T1100,54.646526,191.01384
20200423T1200,55.422462,191.23694
20200423T1300,54.716446,191.38387
20200423T1400,55.14114,191.67674
20200423T1500,54.863102,192.12102
20200423T1600,54.049175,193.4809
20200423T1700,53.87265,194.31483
20200423T1800,51.08703,195.11348
20200423T1900,48.63332,194.13911
20200423T2000,41.48912,210.79324
20200423T2100,43.791447,206.3544
20200423T2200,42.505924,207.21611
20200423T2300,44.12754,205.10161
20200424T0000,42.518116,205.0462
20200424T0100,42.5044,206.131
20200424T0200,41.750687,209.43849
20200424T0300,41.140926,212.85573
20200424T0400,38.342957,214.28688
20200424T0500,35.362556,215.46988
20200424T0600,32.651028,214.2157
20200424T0700,29.651413,209.05461
20200424T0800,17.462784,188.29715
20200424T0900,17.771753,186.98106
20200424T1000,16.516901,200.40988
20200424T1100,20.456745,208.36905
20200424T1200,23.893261,210.8157
20200424T1300,25.567604,212.34744
20200424T1400,23.584808,211.26373
20200424T1500,20.316889,209.74487
20200424T1600,14.386494,211.70143
20200424T1700,2.9024127,299.74487
20200424T1800,7.928178,2.6025543
20200424T1900,7.9932976,352.23483
20200424T2000,11.885453,1.7356873
20200424T2100,11.183201,3.6913757
20200424T2200,10.08,360.0
20200424T2300,10.799999,360.0
