location,Cahuapan,Cahuapan
20200425T0000,10.853866,354.28943
20200425T0100,5.692099,325.30484
20200425T0200,8.049845,206.56505
20200425T0300,22.450264,195.8192
20200425T0400,25.759504,206.56505
20200425T0500,24.48,208.0725
20200425T0600,22.380884,205.7407
20200425T0700,19.586117,197.10272
20200425T0800,8.209263,195.25513
20200425T0900,10.805999,178.09085
20200425T1000,7.9526596,174.80557
20200425T1100,5.3999996,180.0
20200425T1200,3.2399998,180.0
20200425T1300,1.08,180.0
20200425T1400,0.0,180.0
20200425T1500,3.7585104,16.69925
20200425T1600,18.25026,22.011276
20200425T1700,36.2243,26.565033
20200425T1800,32.553635,29.11615
20200425T1900,28.460497,34.69516
20200425T2000,19.191748,23.198578
20200425T2100,9.686609,41.987198
20200425T2200,7.172949,72.47443
20200425T2300,2.9024127,82.874985
20200426T0000,3.2599385,276.34018
20200426T0100,10.703569,289.6538
20200426T0200,13.049689,294.44397
20200426T0300,11.298495,300.6507
20200426T0400,10.799999,323.13013
20200426T0500,15.141414,331.607
20200426T0600,22.450264,344.18082
20200426T0700,28.449112,1.4502106
20200426T0800,11.879999,270.0
20200426T0900,14.917212,250.25317
20200426T1000,16.862455,253.8866
20200426T1100,15.84409,268.69806
20200426T1200,19.803272,297.03088
20200426T1300,21.096123,323.32565
20200426T1400,24.187069,4.2678986
20200426T1500,35.50155,353.59564
20200426T1600,35.39186,350.63348
20200426T1700,35.346058,356.4965
20200426T1800,35.64727,358.84268
20200426T1900,31.526215,6.556946
20200426T2000,23.675303,8.74614
20200426T2100,18.998314,9.81929
20200426T2200,18.72,360.0
20200426T2300,15.84409,358.69806
20200427T0000,20.523157,344.74487
20200427T0100,20.364674,351.8699
20200427T0200,20.519999,360.0
20200427T0300,20.211363,4.085617
20200427T0400,19.493261,4.236374
20200427T0500,18.228943,350.90973
20200427T0600,14.658676,335.32312
20200427T0700,9.085988,303.69006
20200427T0800,6.130579,266.63354
20200427T0900,4.73506,278.74615
20200427T1000,7.5599995,360.0
20200427T1100,12.57426,13.240509
20200427T1200,18.214718,18.434952
20200427T1300,24.482647,17.102722
20200427T1400,28.038431,15.642242
20200427T1500,31.104082,16.127563
20200427T1600,32.559605,18.034286
20200427T1700,34.94968,18.621567
20200427T1800,34.895866,21.801407
20200427T1900,33.50128,28.217346
20200427T2000,28.373846,35.70668
20200427T2100,24.75638,40.872406
20200427T2200,21.479664,39.55966
20200427T2300,17.713316,37.568573
