location,Samahil,Samahil
lat,20.91842,20.91842
lon,-89.89272,-89.89272
asl,12.776,12.776
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Samahil Wind Speed [80 m],Samahil Wind Direction [80 m]
20200427T1100,12.387348,125.537674
20200427T1200,9.983106,115.64101
20200427T1300,9.605998,102.99461
20200427T1400,10.440001,89.99999
20200427T1500,12.594856,59.036255
20200427T1600,18.59845,42.646698
20200427T1700,22.148046,44.34146
20200427T1800,20.188908,50.063614
20200427T1900,19.107151,47.290604
20200427T2000,18.075441,45.806915
20200427T2100,16.992609,53.61563
20200427T2200,14.973577,62.818893
20200427T2300,14.799459,71.565056
