"","timestamp","El.Nuevo.Mercurio.Wind.Speed..80.m.","El.Nuevo.Mercurio.Wind.Direction..80.m."
"106",2020-04-18 09:00:00,6.924738,171.02737
"107",2020-04-18 10:00:00,8.311245,197.65013
"108",2020-04-18 11:00:00,11.681987,213.69006
"109",2020-04-18 12:00:00,16.29174,225
"110",2020-04-18 13:00:00,20.929594,229.18492
"111",2020-04-18 14:00:00,26.596178,230.49232
"112",2020-04-18 15:00:00,29.96662,231.3402
"113",2020-04-18 16:00:00,32.61727,232.62419
"114",2020-04-18 17:00:00,33.24888,236.482
"115",2020-04-18 18:00:00,32.417995,240.01837
"116",2020-04-18 19:00:00,32.042023,242.57126
"117",2020-04-18 20:00:00,33.672993,263.86273
"118",2020-04-18 21:00:00,32.68871,258.5663
"119",2020-04-18 22:00:00,34.22841,255.37914
"120",2020-04-18 23:00:00,37.346416,252.61304
"121",2020-04-19 00:00:00,37.483242,253.82785
"122",2020-04-19 01:00:00,33.82659,253.30075
"123",2020-04-19 02:00:00,27.943514,255.06857
"124",2020-04-19 03:00:00,22.35481,255.06857
"125",2020-04-19 04:00:00,18.861387,256.75946
"126",2020-04-19 05:00:00,16.167967,258.43988
"127",2020-04-19 06:00:00,13.708391,256.3287
"128",2020-04-19 07:00:00,11.841756,250.46335
"129",2020-04-19 08:00:00,4.39436,235.00798
"130",2020-04-19 09:00:00,3.0758414,200.55605
"131",2020-04-19 10:00:00,9.422101,263.41806
"132",2020-04-19 11:00:00,16.575644,267.51044
"133",2020-04-19 12:00:00,23.042812,270.89517
"134",2020-04-19 13:00:00,27.059933,273.8141
"135",2020-04-19 14:00:00,28.19285,275.1282
"136",2020-04-19 15:00:00,28.227306,275.85602
"137",2020-04-19 16:00:00,27.153164,276.08853
"138",2020-04-19 17:00:00,25.509243,278.9306
"139",2020-04-19 18:00:00,23.863409,281.30994
"140",2020-04-19 19:00:00,22.314194,287.85034
"141",2020-04-19 20:00:00,21.313093,322.54944
"142",2020-04-19 21:00:00,15.137133,334.65384
"143",2020-04-19 22:00:00,10.805998,330.01837
"144",2020-04-19 23:00:00,9.449572,310.36456
"145",2020-04-20 00:00:00,10.137692,286.50436
"146",2020-04-20 01:00:00,11.879999,270
"147",2020-04-20 02:00:00,10.182337,261.8699
"148",2020-04-20 03:00:00,8.427383,250.0169
"149",2020-04-20 04:00:00,6.1305785,229.76364
"150",2020-04-20 05:00:00,5.6002855,225
"151",2020-04-20 06:00:00,4.6102495,218.65982
"152",2020-04-20 07:00:00,4.6800003,202.61987
"153",2020-04-20 08:00:00,10.464797,296.56506
"154",2020-04-20 09:00:00,5.937272,284.03625
"155",2020-04-20 10:00:00,6.792466,302.00537
"156",2020-04-20 11:00:00,7.2,306.8699
"157",2020-04-20 12:00:00,6.9247384,297.89728
"158",2020-04-20 13:00:00,8.12197,282.80426
"159",2020-04-20 14:00:00,10.182337,278.1301
"160",2020-04-20 15:00:00,10.948973,279.46234
"161",2020-04-20 16:00:00,11.090103,283.13403
"162",2020-04-20 17:00:00,11.503113,290.1363
"163",2020-04-20 18:00:00,10.948973,297.40756
"164",2020-04-20 19:00:00,10.296251,306.46924
"165",2020-04-20 20:00:00,16.039202,350.9605
"166",2020-04-20 21:00:00,16.575644,2.4895477
"167",2020-04-20 22:00:00,11.966953,6.9112244
"168",2020-04-20 23:00:00,6.519877,6.340164
"169",2020-04-21 00:00:00,2.968636,14.03624
"170",2020-04-21 01:00:00,1.0182338,44.999985
"171",2020-04-21 02:00:00,0.35999998,180
"172",2020-04-21 03:00:00,2.16,180
"173",2020-04-21 04:00:00,3.671294,191.30994
"174",2020-04-21 05:00:00,4.68,180
"175",2020-04-21 06:00:00,6.28713,166.75948
"176",2020-04-21 07:00:00,7.968939,161.56505
"177",2020-04-21 08:00:00,9.360001,157.38013
"178",2020-04-21 09:00:00,10.028439,158.9625
"179",2020-04-21 10:00:00,5.154415,155.22485
"180",2020-04-21 11:00:00,2.2768397,161.56505
"181",2020-04-21 12:00:00,0.35999998,180
"182",2020-04-21 13:00:00,1.484318,194.03624
"183",2020-04-21 14:00:00,3.8939953,213.69006
"184",2020-04-21 15:00:00,6.1305785,229.76364
"185",2020-04-21 16:00:00,7.729527,242.24146
"186",2020-04-21 17:00:00,8.089993,249.14554
"187",2020-04-21 18:00:00,8.225035,246.8014
"188",2020-04-21 19:00:00,8.089993,249.14554
"189",2020-04-21 20:00:00,7.5942073,275.44034
"190",2020-04-21 21:00:00,7.10031,300.46555
"191",2020-04-21 22:00:00,3.096837,305.5377
"192",2020-04-21 23:00:00,2.7416782,156.8014
"193",2020-04-20 00:00:00,5.1165614,320.7106
"194",2020-04-20 01:00:00,5.6920996,288.43497
