location,Playa Novillero,Playa Novillero
lat,22.33321,22.33321
lon,-105.46875,-105.46875
asl,129.187,129.187
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Playa Novillero Wind Speed [80 m],Playa Novillero Wind Direction [80 m]
20200426T0000,9.449572,107.74467
20200426T0100,9.178235,101.30993
20200426T0200,8.647496,92.38594
20200426T0300,7.5685663,87.27369
20200426T0400,7.6367526,81.869896
20200426T0500,7.69592,79.2157
20200426T0600,6.638072,49.398697
20200426T0700,6.9153743,51.34018
20200426T0800,6.9153743,51.34018
20200426T0900,1.8,360.0
20200426T1000,3.2599385,263.65982
20200426T1100,5.6920996,251.56506
20200426T1200,8.854829,243.43495
20200426T1300,10.805998,240.01837
20200426T1400,13.53236,241.38954
20200426T1500,13.089354,238.49574
20200426T1600,13.979872,235.49149
20200426T1700,12.313894,232.12502
20200426T1800,12.819235,231.84277
20200426T1900,7.7043357,232.59465
20200426T2000,7.289445,237.09476
20200426T2100,2.0991426,239.03624
20200426T2200,3.2399998,89.99999
20200426T2300,5.4477882,82.40536
20200427T0000,6.2145634,79.99202
20200427T0100,6.489992,70.55996
20200427T0200,6.763786,64.79888
20200427T0300,7.10031,59.534447
20200427T0400,7.7879906,56.30993
20200427T0500,7.491114,54.782394
20200427T0600,7.9932966,54.16234
20200427T0700,10.587917,72.18111
20200427T0800,7.968939,71.56504
20200427T0900,1.8,89.99999
20200427T1000,3.0547013,225.0
20200427T1100,6.12,241.92752
20200427T1200,9.83268,246.2505
20200427T1300,11.113451,245.09525
20200427T1400,14.33234,244.72229
20200427T1500,15.459054,242.24146
20200427T1600,16.1198,240.57254
20200427T1700,11.885453,234.86581
20200427T1800,11.983188,237.26477
20200427T1900,6.989936,235.49149
20200427T2000,6.792466,237.99463
20200427T2100,3.319036,229.39871
20200427T2200,1.835647,168.69006
20200427T2300,4.1046314,105.25512
20200428T0000,5.1544156,102.09476
20200428T0100,5.3999996,89.99999
20200428T0200,6.0347,72.64597
20200428T0300,6.12,61.927513
20200428T0400,6.297428,59.036255
20200428T0500,6.297428,59.036255
20200428T0600,6.989936,55.491463
20200428T0700,9.605998,77.00538
20200428T0800,7.968939,71.56504
20200428T0900,2.52,89.99999
20200428T1000,3.0758414,200.55605
20200428T1100,5.0911684,225.0
20200428T1200,9.0,233.1301
20200428T1300,10.685391,237.38075
20200428T1400,15.315873,240.42216
20200428T1500,16.610792,240.1011
20200428T1600,17.906157,239.82648
20200428T1700,13.397612,239.30028
20200428T1800,12.7279215,241.26021
20200428T1900,6.792466,237.99463
20200428T2000,5.95906,244.98311
20200428T2100,1.8,233.1301
20200428T2200,0.71999997,89.99999
20200428T2300,3.4152596,71.56504
20200429T0000,5.5887027,75.06858
20200429T0100,6.151683,69.443954
20200429T0200,6.28713,66.37062
20200429T0300,5.815978,68.19859
20200429T0400,6.12,61.927513
20200429T0500,6.297428,59.036255
20200429T0600,6.696387,53.746155
20200429T0700,10.495713,67.83366
20200429T0800,6.830519,71.56504
20200429T0900,1.8,89.99999
20200429T1000,3.319036,229.39871
20200429T1100,5.991594,237.26477
20200429T1200,9.659814,243.43495
20200429T1300,10.163227,247.0679
20200429T1400,11.440979,245.85446
20200429T1500,10.805998,240.01837
20200429T1600,12.287555,238.17256
20200429T1700,10.990322,238.3925
20200429T1800,11.4862,237.80426
20200429T1900,5.4833565,246.8014
20200429T2000,6.12,241.92752
20200429T2100,4.829907,206.56505
20200429T2200,5.4119864,176.18593
20200429T2300,5.692099,145.30484
20200430T0000,6.638072,130.60129
20200430T0100,6.792466,122.00538
20200430T0200,6.151683,110.556046
20200430T0300,5.7599998,89.99999
20200430T0400,5.937272,75.96376
20200430T0500,5.8048253,60.25511
20200430T0600,6.9153743,51.34018
20200430T0700,7.729527,62.241455
20200430T0800,2.7416782,66.8014
20200430T0900,1.8,233.1301
20200430T1000,3.8939953,236.30994
20200430T1100,5.1919937,236.30994
20200430T1200,9.659814,243.43495
20200430T1300,11.770403,246.57132
20200430T1400,14.986553,245.89777
20200430T1500,14.81259,244.05771
20200430T1600,16.434305,241.18921
20200430T1700,15.575981,236.30994
20200430T1800,16.870138,230.19443
20200430T1900,5.815978,201.8014
20200430T2000,7.9932966,234.16235
20200430T2100,6.2145634,259.992
20200430T2200,4.73506,278.74615
