location,Playa Novillero,Playa Novillero
20200430T2300,2.8116899,320.19443
20200501T0000,3.9763298,5.194412
20200501T0100,5.1919937,33.690063
20200501T0200,5.3517847,42.27368
20200501T0300,5.3517847,42.27368
20200501T0400,5.6233797,50.194427
20200501T0500,5.6233797,50.194427
20200501T0600,6.1305785,49.76364
20200501T0700,7.42159,67.166336
20200501T0800,3.319036,49.398697
20200501T0900,0.5091169,315.0
20200501T1000,4.452954,255.96376
20200501T1100,6.638072,257.4712
20200501T1200,10.587917,252.18112
20200501T1300,12.768586,248.49857
20200501T1400,17.25373,246.64444
20200501T1500,18.03237,243.9465
20200501T1600,19.33639,241.04901
20200501T1700,12.88981,234.09029
20200501T1800,12.387348,234.46233
20200501T1900,6.1094027,225.0
20200501T2000,6.8777895,222.8789
20200501T2100,4.198285,210.96376
20200501T2200,2.6208394,195.9454
20200501T2300,1.2979984,123.69006
20200502T0000,2.8799999,89.99999
20200502T0100,4.73506,81.25384
20200502T0200,4.896529,72.89727
20200502T0300,4.6800003,67.380135
20200502T0400,4.6800003,67.380135
20200502T0500,4.6800003,67.380135
20200502T0600,5.00128,59.74356
20200502T0700,7.2805495,81.46923
20200502T0800,2.16,89.99999
20200502T0900,2.5959969,213.69006
20200502T1000,5.495161,238.3925
20200502T1100,6.439876,243.43495
20200502T1200,9.504273,245.37643
20200502T1300,10.144082,242.52557
20200502T1400,12.7279215,241.26021
20200502T1500,12.10157,239.62088
20200502T1600,12.979984,236.30994
20200502T1700,11.480557,228.81409
20200502T1800,11.200571,225.0
20200502T1900,9.19939,210.57922
20200502T2000,8.891344,201.37062
20200502T2100,7.208994,182.86241
20200502T2200,5.937272,165.96376
20200502T2300,6.3690495,137.2906
20200503T0000,7.7879906,123.69006
20200503T0100,8.891344,111.37062
20200503T0200,8.557102,104.620865
20200503T0300,7.5170207,106.69924
20200503T0400,6.830519,108.434944
20200503T0500,5.937272,104.03624
20200503T0600,5.506941,101.30993
20200503T0700,5.4477882,97.59464
20200503T0800,2.968636,104.03624
20200503T0900,2.52,180.0
20200503T1000,4.8965297,216.02737
20200503T1100,6.1305785,220.23636
20200503T1200,9.449572,229.63547
20200503T1300,10.233123,230.7106
20200503T1400,12.096214,233.47115
20200503T1500,11.212135,227.60257
20200503T1600,11.720751,222.51045
20200503T1700,10.990322,211.6075
20200503T1800,11.753877,207.34988
20200503T1900,9.779817,186.3402
20200503T2000,9.36,180.0
20200503T2100,8.209263,164.74487
20200503T2200,7.9036193,149.93141
20200503T2300,8.14587,135.0
