location,Atlangatepec,Atlangatepec
20200422T1800,19.386593,201.8014
20200422T1900,24.288662,191.97614
20200422T2000,16.78156,202.71442
20200422T2100,21.178896,211.79892
20200422T2200,19.513195,209.87599
20200422T2300,18.089775,211.1593
20200423T0000,23.143827,195.33328
20200423T0100,20.545246,191.11304
20200423T0200,17.873556,207.59729
20200423T0300,17.377226,219.95755
20200423T0400,16.323528,221.42366
20200423T0500,12.261157,220.23636
20200423T0600,7.9036193,239.93141
20200423T0700,16.343367,277.59464
20200423T0800,12.984975,223.87671
20200423T0900,8.913181,223.36343
20200423T1000,10.390226,255.96376
20200423T1100,14.33234,295.2777
20200423T1200,11.113451,335.09525
20200423T1300,8.707238,352.875
20200423T1400,7.5685663,2.7262878
20200423T1500,10.948973,27.407562
20200423T1600,22.039528,38.367477
20200423T1700,28.449112,38.3201
20200423T1800,17.673029,33.36635
20200423T1900,16.075521,55.954063
20200423T2000,3.0758414,159.44395
20200423T2100,2.16,360.0
20200423T2200,4.73506,351.25385
20200423T2300,0.35999998,360.0
20200424T0000,16.676977,166.26373
20200424T0100,23.042812,179.10483
20200424T0200,20.519999,180.0
20200424T0300,17.373497,185.94687
20200424T0400,19.483284,196.09082
20200424T0500,18.919704,201.19406
20200424T0600,15.937878,198.43495
20200424T0700,12.43434,202.10945
20200424T0800,6.151683,200.55605
20200424T0900,4.6800003,202.61987
20200424T1000,6.12,208.0725
20200424T1100,5.8048253,209.74489
20200424T1200,3.396233,212.00539
20200424T1300,3.096837,234.46233
20200424T1400,1.0182338,225.0
20200424T1500,1.835647,78.69006
20200424T1600,2.9024127,60.25511
20200424T1700,6.9153743,51.34018
20200424T1800,9.085988,56.30993
20200424T1900,8.161764,48.576324
20200424T2000,16.039202,44.090607
20200424T2100,10.829959,74.577835
20200424T2200,7.342588,78.69006
20200424T2300,5.0142193,21.037506
20200425T0000,3.5455887,156.0375
20200425T0100,16.946787,167.73523
20200425T0200,27.047956,189.9638
20200425T0300,22.91026,188.1301
20200425T0400,17.651016,168.2317
20200425T0500,15.141414,151.60698
20200425T0600,12.496718,138.50352
20200425T0700,12.7279215,151.26021
20200425T0800,6.12,180.0
20200425T0900,4.896529,197.10272
20200425T1000,6.28713,203.62938
20200425T1100,5.2416787,195.9454
20200425T1200,2.0991426,149.03624
20200425T1300,4.1046314,105.25512
20200425T1400,5.4119864,86.18592
20200425T1500,12.88981,54.09027
20200425T1600,24.184391,45.60309
20200425T1700,14.021525,60.802513
20200425T1800,15.192682,53.673157
20200425T1900,13.237039,67.61986
20200425T2000,11.525623,14.470276
20200425T2100,15.575981,56.30993
20200425T2200,5.1919937,213.69006
20200425T2300,19.134262,221.18593
20200426T0000,11.570515,185.35582
20200426T0100,10.00256,120.25643
20200426T0200,11.901798,86.53177
20200426T0300,25.741888,47.834106
20200426T0400,12.496718,41.49646
20200426T0500,5.00128,30.256424
20200426T0600,4.896529,17.102722
20200426T0700,9.227524,20.55603
20200426T0800,13.891522,31.218384
20200426T0900,10.009036,37.69423
20200426T1000,8.12197,12.804245
20200426T1100,11.165805,20.772247
20200426T1200,14.982228,35.217575
20200426T1300,18.079027,35.272415
20200426T1400,20.3774,32.005356
20200426T1500,10.30883,24.775131
20200426T1600,19.171478,34.286865
20200426T1700,16.418526,37.87497
20200426T1800,12.261157,49.76364
20200426T1900,11.770403,66.571304
20200426T2000,22.915916,43.726974
20200426T2100,18.844202,43.451828
20200426T2200,15.408671,37.40535
20200426T2300,15.683774,31.865982
20200427T0000,15.876775,32.96939
20200427T0100,13.979872,34.508514
20200427T0200,11.966954,43.781113
20200427T0300,11.113451,65.09524
20200427T0400,10.446206,91.97493
20200427T0500,12.768586,111.50143
20200427T0600,11.367109,100.954056
20200427T0700,10.853866,84.289406
20200427T0800,9.693296,68.19859
20200427T0900,5.6920996,71.56504
20200427T1000,7.42159,104.03624
20200427T1100,4.8965297,143.97263
20200427T1200,5.2416787,164.0546
20200427T1300,6.5693827,170.53767
20200427T1400,7.2,180.0
20200427T1500,8.4042845,189.86581
20200427T1600,6.162207,186.70984
20200427T1700,7.628263,199.29004
20200427T1800,13.237039,202.38013
20200427T1900,18.214718,198.43495
20200427T2000,22.26477,194.03624
20200427T2100,19.9954,166.46414
20200427T2200,16.595179,130.60129
20200427T2300,10.195057,132.13759
