location,Atlangatepec,Atlangatepec
lat,19.55228,19.55228
lon,-98.16936,-98.16936
asl,2606.829,2606.829
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Atlangatepec Wind Speed [80 m],Atlangatepec Wind Direction [80 m]
20200420T0000,17.373497,185.94687
20200420T0100,17.076298,198.43495
20200420T0200,13.849477,207.89728
20200420T0300,11.753876,220.03026
20200420T0400,8.4963045,233.61565
20200420T0500,4.3498964,245.55606
20200420T0600,2.7416782,23.198593
20200420T0700,3.96,360.0
20200420T0800,11.165805,358.1524
20200420T0900,9.19939,329.42078
20200420T1000,11.609651,330.25513
20200420T1100,9.36,360.0
20200420T1200,8.557102,22.249008
20200420T1300,8.0899935,32.275635
20200420T1400,6.4096174,38.157227
20200420T1500,6.8777895,47.121094
20200420T1600,9.793059,53.97262
20200420T1700,10.182337,81.869896
20200420T1800,9.3669195,92.2026
20200420T1900,6.297428,120.963745
20200420T2000,6.9153743,141.34018
20200420T2100,5.815978,158.1986
20200420T2200,9.0,163.73979
20200420T2300,10.685391,147.38075
20200421T0000,13.237039,157.61987
20200421T0100,11.966953,173.08878
20200421T0200,7.5599995,180.0
20200421T0300,5.7599998,180.0
20200421T0400,4.3349743,175.23636
20200421T0500,3.0758414,159.44395
20200421T0600,1.9386592,158.1986
20200421T0700,1.4399999,180.0
20200421T0800,5.4477882,187.59465
20200421T0900,4.379589,189.46233
20200421T1000,4.0249224,169.69516
20200421T1100,4.6102495,128.6598
20200421T1200,7.69592,100.784294
20200421T1300,8.311245,94.96974
20200421T1400,8.707238,82.874985
20200421T1500,9.793058,72.89727
20200421T1600,9.793058,72.89727
20200421T1700,9.028754,94.57392
20200421T1800,10.587918,144.68878
20200421T1900,14.512064,172.87498
20200421T2000,14.764389,88.60281
20200421T2100,8.311245,94.96974
20200421T2200,2.5455842,98.1301
20200421T2300,0.35999998,180.0
20200422T0000,15.484185,215.53769
20200422T0100,27.553524,208.90918
20200422T0200,27.219902,200.1126
20200422T0300,22.881958,204.14554
20200422T0400,24.590923,197.90445
20200422T0500,25.0064,202.87367
20200422T0600,23.34455,206.56505
20200422T0700,20.188908,211.13898
20200422T0800,12.181625,198.97041
20200422T0900,14.986553,204.10223
20200422T1000,17.414474,209.74489
20200422T1100,16.179987,212.27565
20200422T1200,12.313894,217.87498
20200422T1300,8.913181,223.36343
20200422T1400,8.435069,219.80557
20200422T1500,12.413477,209.53879
20200422T1600,16.904673,206.56505
20200422T1700,18.455048,200.55605
