location,Villa Tecolutilla,Villa Tecolutilla
lat,18.32237,18.32237
lon,-93.32785,-93.32785
asl,7.067,7.067
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Villa Tecolutilla Wind Speed [80 m],Villa Tecolutilla Wind Direction [80 m]
20200505T0000,25.809765,67.011284
20200505T0100,25.40743,69.253914
20200505T0200,24.144167,69.9439
20200505T0300,20.620806,73.77981
20200505T0400,15.629972,82.056526
20200505T0500,9.659814,116.56505
20200505T0600,9.504273,155.37643
20200505T0700,3.8939953,146.30994
20200505T0800,6.193674,144.46231
20200505T0900,7.9036193,149.93141
20200505T1000,7.145796,139.08562
20200505T1100,8.766573,109.17901
20200505T1200,12.224107,103.62699
20200505T1300,14.973576,99.68878
20200505T1400,14.869351,83.047035
20200505T1500,20.304129,37.07306
20200505T1600,27.598173,30.579224
20200505T1700,29.6383,40.07289
20200505T1800,27.609911,39.7099
20200505T1900,26.42753,37.80652
20200505T2000,23.993399,27.71849
20200505T2100,20.08916,36.25383
20200505T2200,20.523157,37.87497
20200505T2300,22.159746,46.97493
20200506T0000,26.178707,58.495735
20200506T0100,26.903828,65.49259
20200506T0200,20.94507,61.232346
20200506T0300,20.3774,57.994614
20200506T0400,16.704155,52.88314
20200506T0500,14.081477,57.5288
20200506T0600,10.028439,68.96249
20200506T0700,5.506941,101.30993
20200506T0800,2.1897945,170.53767
20200506T0900,5.1544156,102.09476
20200506T1000,4.6938252,85.60129
20200506T1100,5.6233797,230.19443
20200506T1200,4.6800003,292.61987
20200506T1300,6.9247384,332.10272
20200506T1400,6.162207,353.29016
20200506T1500,4.8965297,323.97263
20200506T1600,7.4128532,330.94543
20200506T1700,8.891344,338.6294
20200506T1800,11.159999,360.0
20200506T1900,13.207634,17.44719
20200506T2000,10.799999,360.0
20200506T2100,15.281989,15.018356
20200506T2200,18.03237,26.053482
20200506T2300,23.675303,44.38394
20200507T0000,30.77105,61.336037
20200507T0100,30.378967,49.325043
20200507T0200,28.165257,54.887978
20200507T0300,26.368616,57.82878
20200507T0400,23.928492,44.999985
20200507T0500,19.770523,33.111343
20200507T0600,20.00512,30.256424
20200507T0700,20.00512,30.256424
20200507T0800,16.766108,75.06858
20200507T0900,20.418695,80.86982
20200507T1000,17.057314,82.725
20200507T1100,17.25373,66.64443
20200507T1200,19.602652,44.25592
20200507T1300,23.469128,32.47119
20200507T1400,23.710857,30.068573
20200507T1500,25.944988,29.05458
20200507T1600,27.21038,25.887024
20200507T1700,29.301876,26.250244
20200507T1800,28.84721,29.124039
20200507T1900,27.859905,32.868683
20200507T2000,27.162708,34.74318
20200507T2100,23.469128,41.268585
20200507T2200,20.620804,45.70732
20200507T2300,21.142147,47.070007
20200508T0000,21.94524,48.990906
20200508T0100,19.914215,49.398697
20200508T0200,16.870138,50.194427
20200508T0300,16.595179,49.398697
20200508T0400,13.830749,51.34018
20200508T0500,10.44,46.397186
20200508T0600,9.931042,46.468796
20200508T0700,11.440978,77.27564
20200508T0800,16.62249,107.650116
20200508T0900,20.991426,112.16634
20200508T1000,18.331741,109.50244
20200508T1100,17.163355,99.65989
20200508T1200,17.373497,95.94686
20200508T1300,15.188415,84.55967
20200508T1400,16.299694,46.789917
20200508T1500,26.405453,25.866348
20200508T1600,28.51282,37.30394
20200508T1700,27.06472,28.610443
20200508T1800,25.809765,30.141388
20200508T1900,27.288855,36.41638
20200508T2000,20.898613,42.20729
20200508T2100,22.66857,57.319443
20200508T2200,24.967497,61.587326
20200508T2300,27.416782,66.8014
20200509T0000,27.766712,76.504265
20200509T0100,23.157824,78.3407
20200509T0200,22.086521,70.97439
20200509T0300,23.042812,61.032333
20200509T0400,22.9724,57.80426
20200509T0500,21.129885,66.92959
20200509T0600,20.172853,92.0454
20200509T0700,20.730501,110.323135
20200509T0800,5.692099,124.69515
20200509T0900,1.9386592,68.19859
20200509T1000,5.2416787,344.0546
20200509T1100,6.618519,315.0
20200509T1200,11.609651,330.25513
20200509T1300,15.175612,337.6938
20200509T1400,13.797912,352.50415
20200509T1500,14.003029,342.03088
20200509T1600,15.94601,331.69925
20200509T1700,21.479664,320.44034
20200509T1800,17.22742,333.9704
20200509T1900,18.514643,333.43497
20200509T2000,20.730501,339.67688
20200509T2100,17.727943,330.8324
20200509T2200,25.284714,331.97552
20200509T2300,26.368616,345.77405
20200510T0000,23.377836,350.24756
20200510T0100,26.437336,353.74597
20200510T0200,23.803596,356.5318
20200510T0300,19.829433,3.122116
20200510T0400,16.56,360.0
20200510T0500,15.893093,346.90814
20200510T0600,15.509274,338.1986
20200510T0700,12.979984,326.30994
20200510T0800,15.696165,323.39294
20200510T0900,16.870138,320.19443
20200510T1000,17.884428,319.8991
20200510T1100,19.95972,320.85602
20200510T1200,22.97522,324.5667
20200510T1300,27.859905,327.13132
20200510T1400,30.141266,330.67953
20200510T1500,32.714474,335.9735
20200510T1600,31.65135,340.74072
20200510T1700,30.385365,346.29303
20200510T1800,27.288855,351.65613
20200510T1900,24.522316,356.63354
20200510T2000,20.545246,348.88696
20200510T2100,16.700275,352.5686
20200510T2200,15.5843,353.3675
20200510T2300,16.09969,349.69516
20200511T0000,16.766108,345.0686
20200511T0100,17.76081,342.29956
20200511T0200,18.861387,346.7595
20200511T0300,17.935081,349.5923
20200511T0400,16.09969,349.69516
20200511T0500,16.676977,346.26373
20200511T0600,16.676977,346.26373
20200511T0700,14.561099,351.46924
20200511T0800,14.332341,348.40784
20200511T0900,14.799459,355.81506
20200511T1000,14.081478,4.398697
20200511T1100,14.205182,8.74614
20200511T1200,14.205182,8.74614
20200511T1300,18.129137,6.8427734
20200511T1400,21.897945,9.462311
20200511T1500,23.441502,10.619659
20200511T1600,24.64094,11.802444
20200511T1700,25.516865,16.389526
