location,Villa Tecolutilla,Villa Tecolutilla
20200511T1800,24.315327,25.42688
20200511T1900,24.651457,28.810776
20200511T2000,22.782625,31.42955
20200511T2100,21.385939,36.09828
20200511T2200,19.513195,37.504135
20200511T2300,19.174856,39.66783
20200512T0000,18.391737,40.236343
20200512T0100,18.161278,39.36931
20200512T0200,17.654688,39.2072
20200512T0300,17.429354,38.290146
20200512T0400,15.629971,38.45369
20200512T0500,14.186923,35.70668
20200512T0600,12.819235,38.157227
20200512T0700,11.246759,39.805573
20200512T0800,9.931042,46.468796
20200512T0900,9.290511,54.46232
20200512T1000,9.021574,61.38954
20200512T1100,8.435069,50.194427
20200512T1200,9.693296,31.32869
20200512T1300,15.315873,23.552261
20200512T1400,19.255793,20.806778
20200512T1500,21.659916,21.447723
20200512T1600,22.553934,24.519638
20200512T1700,24.162947,24.655884
20200512T1800,24.33664,29.219238
20200512T1900,25.77962,35.909714
20200512T2000,25.582806,39.2894
20200512T2100,26.518099,41.69812
20200512T2200,26.230639,43.33165
20200512T2300,26.28,48.887894
