location,Villa Tecolutilla,Villa Tecolutilla
lat,18.32237,18.32237
lon,-93.32785,-93.32785
asl,7.067,7.067
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Villa Tecolutilla Wind Speed [80 m],Villa Tecolutilla Wind Direction [80 m]
20200503T1000,6.792466,147.99461
20200503T1100,3.7585104,106.69924
20200503T1200,5.5887027,75.06858
20200503T1300,10.787993,25.709946
20200503T1400,17.673029,356.4965
20200503T1500,24.490587,358.3153
20200503T1600,26.576681,8.569138
20200503T1700,28.241076,11.023453
20200503T1800,27.558228,19.85521
20200503T1900,26.674032,21.370605
20200503T2000,27.381308,24.880356
20200503T2100,29.515608,30.004913
20200503T2200,27.959743,34.508514
20200503T2300,24.951921,43.830856
