location,Samahil,Samahil
lat,20.91842,20.91842
lon,-89.89272,-89.89272
asl,12.776,12.776
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Samahil Wind Speed [80 m],Samahil Wind Direction [80 m]
20200505T0000,13.849477,117.89726
20200505T0100,18.581022,125.537674
20200505T0200,18.58451,121.53479
20200505T0300,18.089775,121.159294
20200505T0400,17.782686,121.759476
20200505T0500,16.485485,121.6075
20200505T0600,15.315873,119.577835
20200505T0700,14.84318,112.83366
20200505T0800,15.315873,119.577835
20200505T0900,16.489416,126.11934
20200505T1000,15.072783,130.15599
20200505T1100,14.565548,129.98688
20200505T1200,12.181624,124.1597
20200505T1300,10.30883,114.77514
20200505T1400,10.24578,108.434944
20200505T1500,9.47012,98.74616
20200505T1600,9.36,89.99999
20200505T1700,11.592894,53.841812
20200505T1800,16.418526,37.87497
20200505T1900,20.466246,39.2894
20200505T2000,23.051247,51.34018
20200505T2100,21.767351,55.784294
20200505T2200,18.35647,64.440025
20200505T2300,15.379206,73.68614
20200506T0000,13.679999,89.99999
20200506T0100,14.168641,117.21611
20200506T0200,16.299694,133.21008
20200506T0300,16.87398,123.69006
20200506T0400,15.459054,117.75854
20200506T0500,14.707222,111.54097
20200506T0600,13.5515,106.99082
20200506T0700,12.57426,103.24051
20200506T0800,11.440978,102.72436
20200506T0900,12.413476,106.8584
20200506T1000,10.636766,113.96249
20200506T1100,8.766573,109.17901
20200506T1200,7.2,89.99999
20200506T1300,8.287822,55.61966
20200506T1400,10.086427,34.824493
20200506T1500,15.379206,20.556046
20200506T1600,20.140705,24.274445
20200506T1700,21.096123,36.674347
20200506T1800,20.12461,42.82524
20200506T1900,20.633371,47.121094
20200506T2000,25.984919,47.245728
20200506T2100,23.83624,64.98311
20200506T2200,17.917007,67.55725
20200506T2300,14.973577,62.818893
20200507T0000,13.70839,60.06849
20200507T0100,13.70839,60.06849
20200507T0200,13.0447235,62.020523
20200507T0300,12.55879,62.70043
20200507T0400,13.202726,64.13365
20200507T0500,12.397806,64.17901
20200507T0600,12.7279215,61.2602
20200507T0700,12.783802,57.652542
20200507T0800,13.18308,55.007973
20200507T0900,14.982228,54.782394
20200507T1000,15.7908325,46.847595
20200507T1100,18.584509,45.784805
20200507T1200,20.620804,45.70732
20200507T1300,22.183128,48.28923
20200507T1400,22.218153,49.600082
20200507T1500,22.406927,46.30194
20200507T1600,21.638964,45.67404
20200507T1700,22.657131,44.356247
20200507T1800,22.406927,46.30194
20200507T1900,23.1774,46.888184
20200507T2000,22.392464,53.49855
20200507T2100,21.578989,62.152412
20200507T2200,20.858265,68.7495
20200507T2300,20.176065,74.47588
20200508T0000,19.416653,79.31509
20200508T0100,18.486622,83.29016
20200508T0200,16.954432,86.34777
