location,Samahil,Samahil
20200508T0300,15.84409,88.69804
20200508T0400,14.759999,89.99999
20200508T0500,13.679999,89.99999
20200508T0600,13.004921,94.76365
20200508T0700,12.287555,95.04245
20200508T0800,13.363711,94.63546
20200508T0900,14.332341,101.59217
20200508T1000,13.570615,111.80141
20200508T1100,13.363711,117.255325
20200508T1200,11.983188,122.73523
20200508T1300,10.990322,121.6075
20200508T1400,11.019764,128.36748
20200508T1500,10.464797,130.81508
20200508T1600,10.739832,129.55966
20200508T1700,12.4811535,123.231705
20200508T1800,11.792404,121.26373
20200508T1900,11.753877,117.34987
20200508T2000,16.831684,41.53177
20200508T2100,16.055355,42.27368
20200508T2200,13.37825,66.194046
20200508T2300,12.599999,89.99999
20200509T0000,11.165805,110.772255
20200509T0100,11.183201,123.17851
20200509T0200,11.923557,118.88658
20200509T0300,14.707222,111.54097
20200509T0400,16.62249,107.650116
20200509T0500,15.463244,102.09476
20200509T0600,15.496736,92.662994
20200509T0700,16.215992,92.5448
20200509T0800,14.408997,102.99461
20200509T0900,14.118243,109.35899
20200509T1000,13.708391,113.19859
20200509T1100,17.0763,124.69515
20200509T1200,17.57744,124.99202
20200509T1300,15.379206,122.57405
20200509T1400,17.283749,125.67641
20200509T1500,18.875126,124.9025
20200509T1600,18.0,126.869896
20200509T1700,16.80857,133.26428
20200509T1800,15.530151,134.0608
20200509T1900,15.782622,135.0
20200509T2000,11.659777,81.11935
20200509T2100,12.0694,72.64597
20200509T2200,14.05845,92.93567
20200509T2300,13.979871,101.88866
20200510T0000,12.015589,98.61565
20200510T0100,8.350138,97.431404
20200510T0200,7.5599995,89.99999
20200510T0300,7.5170207,106.69924
20200510T0400,8.049845,116.56505
20200510T0500,5.8603754,132.51044
20200510T0600,6.4096174,141.84277
20200510T0700,7.24486,116.56505
20200510T0800,6.489992,146.30994
20200510T0900,5.00128,149.74356
20200510T1000,1.0182338,135.0
20200510T1100,1.609969,26.565033
20200510T1200,3.096837,35.53766
20200510T1300,3.7064266,29.05458
20200510T1400,6.9899354,11.888657
20200510T1500,9.605998,12.994629
20200510T1600,12.303366,20.556046
20200510T1700,16.75064,28.217346
20200510T1800,19.272614,32.79953
20200510T1900,19.586119,36.027374
20200510T2000,17.388409,27.09555
20200510T2100,16.375053,33.3407
20200510T2200,14.480773,34.87532
20200510T2300,13.584932,32.005356
20200511T0000,13.363711,27.255325
20200511T0100,13.849477,27.897263
20200511T0200,14.20062,30.465546
20200511T0300,14.336861,28.495636
20200511T0400,14.182355,23.962494
20200511T0500,13.905509,21.250488
20200511T0600,14.986553,24.102219
20200511T0700,16.09969,26.565033
20200511T0800,15.124284,38.23381
20200511T0900,16.08761,40.46222
20200511T1000,17.174677,33.023865
20200511T1100,19.083395,35.78897
20200511T1200,19.296135,36.656097
20200511T1300,20.969807,34.508514
20200511T1400,22.104116,37.05652
20200511T1500,24.569836,39.05313
20200511T1600,24.72495,42.04921
20200511T1700,25.264202,40.955505
20200511T1800,25.476198,42.70938
20200511T1900,24.184391,45.60309
20200511T2000,22.218153,49.600082
20200511T2100,20.08916,53.746155
20200511T2200,18.472595,56.929314
20200511T2300,17.595861,59.237274
20200512T0000,15.459054,62.241455
20200512T0100,13.684735,63.43495
20200512T0200,12.55879,62.70043
20200512T0300,12.413477,60.46122
20200512T0400,11.983188,57.26477
20200512T0500,11.4862,57.80426
20200512T0600,10.990322,58.392494
20200512T0700,10.315115,60.751175
20200512T0800,10.163227,67.067894
20200512T0900,14.458382,71.113914
20200512T1000,14.003029,72.03086
20200512T1100,12.57426,76.75948
20200512T1200,11.304229,80.83765
20200512T1300,10.308831,77.905235
20200512T1400,9.885262,79.50852
20200512T1500,10.163227,67.067894
20200512T1600,11.681987,56.30993
20200512T1700,13.493999,43.919083
20200512T1800,15.349684,39.289413
20200512T1900,17.429354,38.290146
20200512T2000,17.072504,42.436203
20200512T2100,15.349684,50.71057
20200512T2200,13.363711,62.74466
20200512T2300,14.205182,81.25384
