location,Amalia,Amalia
lat,28.99988,28.99988
lon,-111.09375,-111.09375
asl,162.812,162.812
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Amalia Wind Speed [80 m],Amalia Wind Direction [80 m]
20200426T0000,7.968939,251.56506
20200426T0100,5.0142193,248.9625
20200426T0200,2.2768397,251.56506
20200426T0300,0.0,180.0
20200426T0400,2.1897945,80.537674
20200426T0500,2.9024127,82.874985
20200426T0600,4.32,89.99999
20200426T0700,5.0911684,98.1301
20200426T0800,4.6800003,112.61986
20200426T0900,3.7585104,163.30075
20200426T1000,5.315336,208.30077
20200426T1100,8.209263,232.12502
20200426T1200,12.397806,244.17902
20200426T1300,16.73516,251.1753
20200426T1400,19.137648,253.61046
20200426T1500,21.518847,252.47443
20200426T1600,22.206486,253.03384
20200426T1700,23.34455,252.96223
20200426T1800,28.036118,257.3914
20200426T1900,30.911821,255.15454
20200426T2000,34.22841,255.37914
20200426T2100,32.335934,258.43988
20200426T2200,25.922499,260.40686
20200426T2300,15.629971,255.32361
20200427T0000,8.587338,236.97614
20200427T0100,8.089993,200.85446
20200427T0200,9.779817,186.3402
20200427T0300,10.805999,178.09085
20200427T0400,11.252519,172.64761
20200427T0500,10.041354,165.46555
20200427T0600,10.966713,156.8014
20200427T0700,9.021574,151.38954
20200427T0800,6.297428,149.03624
20200427T0900,8.557102,165.37912
20200427T1000,10.799999,180.0
20200427T1100,13.661038,198.43495
20200427T1200,15.807239,210.06859
20200427T1300,18.723461,217.9716
20200427T1400,21.142147,227.07004
20200427T1500,22.89611,233.31029
20200427T1600,23.584808,238.73627
20200427T1700,23.83624,244.98311
20200427T1800,27.055143,244.79889
20200427T1900,24.1388,252.64598
20200427T2000,23.023119,260.09583
20200427T2100,18.36353,268.8767
20200427T2200,10.08,270.0
20200427T2300,6.2145634,259.992
20200428T0000,4.6800003,247.38014
20200428T0100,3.396233,237.99463
20200428T0200,1.5273507,225.0
20200428T0300,1.08,89.99999
20200428T0400,3.219938,63.43495
20200428T0500,5.315336,61.699234
20200428T0600,6.830519,71.56504
20200428T0700,6.638072,77.47118
20200428T0800,5.04,89.99999
20200428T0900,4.829907,116.56505
20200428T1000,6.0347,162.64597
20200428T1100,7.8625183,195.9454
20200428T1200,9.793059,216.02737
20200428T1300,12.229406,227.38594
20200428T1400,14.277983,236.30994
20200428T1500,16.09969,243.43495
20200428T1600,17.873554,251.2001
20200428T1700,19.296133,255.96376
20200428T1800,26.758923,252.78394
20200428T1900,27.943514,255.06857
20200428T2000,29.59235,260.1939
20200428T2100,26.28,270.0
20200428T2200,15.273505,278.1301
20200428T2300,9.605998,282.99463
20200429T0000,6.5693827,279.46234
20200429T0100,4.802999,282.99463
20200429T0200,2.968636,284.03625
20200429T0300,1.9386592,338.1986
20200429T0400,2.4149535,26.565033
20200429T0500,3.8268526,48.81407
20200429T0600,3.8268526,48.81407
20200429T0700,4.896529,72.89727
20200429T0800,3.7585104,73.30075
20200429T0900,2.6208394,105.9454
20200429T1000,2.1897945,189.46233
20200429T1100,5.692099,235.30484
20200429T1200,10.137692,253.49564
20200429T1300,13.849476,261.02737
20200429T1400,15.517629,266.0091
20200429T1500,16.563911,268.75464
20200429T1600,17.28,270.0
20200429T1700,20.163212,271.02304
20200429T1800,27.25559,257.79953
20200429T1900,30.599998,261.20258
20200429T2000,34.217045,271.80875
20200429T2100,33.39473,281.1888
20200429T2200,23.933908,285.70865
20200429T2300,15.542662,283.39252
20200430T0000,10.1376915,276.1155
20200430T0100,6.8399997,270.0
20200430T0200,3.319036,257.4712
20200430T0300,1.08,180.0
20200430T0400,3.5455887,113.96249
20200430T0500,4.896529,107.10272
20200430T0600,2.8116899,50.194427
20200430T0700,0.71999997,360.0
20200430T0800,1.08,270.0
20200430T0900,3.5455887,246.0375
20200430T1000,5.8048253,240.25513
20200430T1100,9.339208,242.44719
20200430T1200,12.397806,244.17902
20200430T1300,16.42247,243.99666
20200430T1400,19.161337,244.39783
20200430T1500,21.749481,245.55606
20200430T1600,22.881958,245.85446
20200430T1700,23.73271,247.71442
20200430T1800,21.461555,247.30621
20200430T1900,23.452555,252.1213
20200430T2000,25.14852,256.7595
20200430T2100,23.441502,259.38034
20200430T2200,17.581125,259.38034
20200430T2300,10.587917,252.18112
20200501T0000,6.489992,236.30994
20200501T0100,5.904439,232.43141
20200501T0200,4.6102495,231.3402
20200501T0300,2.9024127,209.74489
20200501T0400,2.4149535,153.43495
20200501T0500,4.6938257,122.47119
20200501T0600,4.379589,99.46232
20200501T0700,7.342588,101.30993
20200501T0800,6.9527545,111.2505
20200501T0900,9.178235,131.82016
20200501T1000,12.904882,157.01128
20200501T1100,17.771753,173.01894
20200501T1200,20.929596,183.94519
20200501T1300,23.83896,194.87569
20200501T1400,25.671307,202.24902
20200501T1500,27.06472,208.61046
20200501T1600,26.66188,214.54837
20200501T1700,25.41763,217.51912
20200501T1800,26.87491,219.01941
20200501T1900,22.45315,221.0995
20200501T2000,19.35314,223.49257
20200501T2100,11.457958,223.72697
20200501T2200,7.24486,206.56505
20200501T2300,6.162207,186.70984
20200502T0000,5.4477882,172.40535
20200502T0100,5.0142193,158.9625
20200502T0200,4.39436,145.00798
20200502T0300,4.510787,118.61046
20200502T0400,5.1544156,102.09476
20200502T0500,6.519877,96.34019
20200502T0600,10.495713,112.16634
20200502T0700,10.041354,104.534454
20200502T0800,9.449572,107.74467
20200502T0900,14.003028,136.04163
20200502T1000,18.057508,156.50143
20200502T1100,21.03152,173.11827
20200502T1200,22.725668,183.63295
20200502T1300,25.14852,193.24052
20200502T1400,26.208395,200.9245
20200502T1500,27.381306,208.24974
20200502T1600,25.77962,215.90973
20200502T1700,24.703974,223.22853
20200502T1800,23.233252,229.39871
20200502T1900,22.476227,238.09189
20200502T2000,22.218153,243.01978
20200502T2100,15.827721,252.80145
20200502T2200,7.928178,267.39746
20200502T2300,3.6,270.0
20200503T0000,1.08,270.0
20200503T0100,0.35999998,360.0
20200503T0200,1.0182338,44.999985
20200503T0300,1.9386592,68.19859
20200503T0400,3.4152596,71.56504
20200503T0500,4.829907,63.43495
20200503T0600,5.634891,63.43495
20200503T0700,6.28713,66.37062
20200503T0800,4.510787,61.38954
20200503T0900,2.16,89.99999
20200503T1000,4.73506,171.25385
20200503T1100,9.449572,197.74467
20200503T1200,12.979984,213.69006
20200503T1300,16.299694,226.78992
20200503T1400,18.581022,234.46233
20200503T1500,21.261345,241.69925
20200503T1600,22.26477,247.16635
20200503T1700,22.768398,251.56506
20200503T1800,22.180206,256.86597
20200503T1900,23.319553,261.11935
20200503T2000,23.78453,267.39743
20200503T2100,19.45333,272.1211
20200503T2200,10.086427,272.0454
20200503T2300,6.4799995,270.0
