location,Armadillo de los Infante,Armadillo de los Infante
lat,22.33321,22.33321
lon,-100.78125,-100.78125
asl,1821.990,1821.990
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Armadillo de los Infante Wind Speed [80 m],Armadillo de los Infante Wind Direction [80 m]
20200420T0000,14.512064,133.9949
20200420T0100,12.984975,133.8767
20200420T0200,9.957108,139.39871
20200420T0300,7.653705,138.81407
20200420T0400,5.495161,148.3925
20200420T0500,4.379589,189.46233
20200420T0600,4.6938257,237.52881
20200420T0700,3.0547013,225.0
20200420T0800,2.968636,255.96376
20200420T0900,3.2399998,270.0
20200420T1000,1.484318,284.03625
20200420T1100,0.8049845,333.43497
20200420T1200,0.71999997,360.0
20200420T1300,1.4399999,360.0
20200420T1400,1.2979984,326.30994
20200420T1500,0.8049845,296.56506
20200420T1600,0.71999997,360.0
20200420T1700,4.0249224,79.695145
20200420T1800,10.105681,94.08562
20200420T1900,22.734219,100.954056
20200420T2000,38.175278,105.87117
20200420T2100,36.834526,111.80141
20200420T2200,24.014996,113.875275
20200420T2300,16.45007,113.19859
20200421T0000,11.043261,109.025604
20200421T0100,7.342588,101.30993
20200421T0200,4.3349743,85.23635
20200421T0300,3.096837,54.46232
20200421T0400,2.2768397,18.434952
20200421T0500,2.5455842,351.8699
20200421T0600,2.5959969,326.30994
20200421T0700,3.7585104,106.69924
20200421T0800,2.8799999,270.0
20200421T0900,1.8,270.0
20200421T1000,1.609969,153.43495
20200421T1100,3.5455887,113.96249
20200421T1200,6.6185193,112.380135
20200421T1300,10.495713,112.16634
20200421T1400,12.245293,114.30454
20200421T1500,13.905509,111.2505
20200421T1600,16.645864,111.571304
20200421T1700,21.288757,108.74134
20200421T1800,25.161398,109.21267
20200421T1900,31.421213,108.01977
20200421T2000,25.620771,109.70798
20200421T2100,20.49156,108.434944
20200421T2200,17.208603,105.78075
20200421T2300,14.84318,104.03624
20200422T0000,12.9249525,102.87499
20200422T0100,10.182337,98.1301
20200422T0200,7.92,89.99999
20200422T0300,6.8399997,89.99999
20200422T0400,5.0528407,94.08562
20200422T0500,4.2136917,109.9831
20200422T0600,3.319036,139.3987
20200422T0700,2.8799999,180.0
20200422T0800,3.8939953,213.69006
20200422T0900,5.1165614,230.7106
20200422T1000,5.991594,237.26477
20200422T1100,7.968939,251.56506
20200422T1200,9.422101,263.41806
20200422T1300,10.086427,272.0454
20200422T1400,9.885262,280.4915
20200422T1500,9.826088,278.42697
20200422T1600,10.1376915,276.1155
