location,Álvaro Obregón,Álvaro Obregón
20200430T2300,10.233123,50.7106
20200501T0000,10.823973,86.18592
20200501T0100,9.793058,107.10272
20200501T0200,7.2805495,98.53076
20200501T0300,6.130579,86.63353
20200501T0400,7.24486,63.43495
20200501T0500,8.669949,48.366455
20200501T0600,10.009036,52.305756
20200501T0700,9.793059,53.97262
20200501T0800,11.304229,350.83765
20200501T0900,9.255571,13.495728
20200501T1000,8.287822,55.61966
20200501T1100,9.255571,76.504265
20200501T1200,11.525623,75.52971
20200501T1300,14.759999,77.31962
20200501T1400,16.808569,80.134186
20200501T1500,18.228943,80.90972
20200501T1600,19.245697,82.47618
20200501T1700,20.523155,88.99491
20200501T1800,20.316889,97.125015
20200501T1900,21.829777,103.348724
20200501T2000,24.023088,119.63838
20200501T2100,19.652176,118.442924
20200501T2200,13.979872,124.508514
20200501T2300,8.534353,117.64597
20200502T0000,5.8603754,79.38034
20200502T0100,7.8954163,46.847595
20200502T0200,9.0,53.130096
20200502T0300,10.30883,65.224846
20200502T0400,11.525623,75.52971
20200502T0500,11.525623,75.52971
20200502T0600,10.829959,74.577835
20200502T0700,10.483357,74.054596
20200502T0800,9.0,89.99999
20200502T0900,13.849476,98.97262
20200502T1000,16.263872,95.079605
20200502T1100,16.981165,94.86451
20200502T1200,18.486622,96.70984
20200502T1300,20.364674,98.1301
20200502T1400,21.349546,95.80673
20200502T1500,22.782625,95.44032
20200502T1600,22.862125,97.236916
20200502T1700,23.441502,100.61965
20200502T1800,23.83896,104.87568
20200502T1900,22.61419,103.81502
20200502T2000,20.780453,104.03624
20200502T2100,19.13426,101.94417
20200502T2200,16.62249,94.96974
20200502T2300,14.417988,92.862404
20200503T0000,12.620554,93.27049
20200503T0100,11.570515,95.35582
20200503T0200,10.948973,99.46232
20200503T0300,10.483357,105.9454
20200503T0400,9.793058,107.10272
20200503T0500,9.449572,107.74467
20200503T0600,9.9571085,102.52881
20200503T0700,10.182337,98.1301
20200503T0800,14.494192,104.381386
20200503T0900,15.978486,104.34933
20200503T1000,16.071491,105.59281
20200503T1100,17.309973,106.92751
20200503T1200,16.279802,108.03428
20200503T1300,16.279802,108.03428
20200503T1400,16.862455,106.11341
20200503T1500,18.161278,103.76078
20200503T1600,19.13426,101.94417
20200503T1700,19.770523,100.49147
20200503T1800,20.008356,98.27589
20200503T1900,19.602652,97.38604
20200503T2000,18.64369,100.00798
20200503T2100,18.0036,101.534615
20200503T2200,16.263872,95.079605
20200503T2300,15.4800005,89.99999
