location,Álvaro Obregón,Álvaro Obregón
lat,18.27971,18.27971
lon,-88.62193,-88.62193
asl,32.946,32.946
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Álvaro Obregón Wind Speed [80 m],Álvaro Obregón Wind Direction [80 m]
20200426T0000,15.629972,97.943474
20200426T0100,15.629972,97.943474
20200426T0200,14.685176,101.30993
20200426T0300,15.542662,103.392494
20200426T0400,16.327497,104.03624
20200426T0500,15.192682,103.70696
20200426T0600,15.03835,101.04093
20200426T0700,20.188908,93.06648
20200426T0800,23.584808,102.33909
20200426T0900,25.071096,105.83238
20200426T1000,24.72495,106.05998
20200426T1100,23.157824,101.659294
20200426T1200,24.280659,105.47863
20200426T1300,24.975283,105.03781
20200426T1400,25.323128,104.82648
20200426T1500,25.699057,101.30993
20200426T1600,25.812277,98.01709
20200426T1700,25.050413,97.431404
20200426T1800,23.857979,95.19443
20200426T1900,22.7057,92.72631
20200426T2000,22.461807,96.44159
20200426T2100,22.691425,91.8183
20200426T2200,20.883104,89.01224
20200426T2300,20.5484,93.01279
20200427T0000,17.873556,99.2726
20200427T0100,13.979871,101.88866
20200427T0200,12.324414,96.70984
20200427T0300,8.311245,85.03026
20200427T0400,7.968939,71.56504
20200427T0500,8.707237,60.25511
20200427T0600,9.826088,61.557068
20200427T0700,9.826088,61.557068
20200427T0800,16.09969,100.30484
20200427T0900,18.228943,99.09027
20200427T1000,17.771753,96.98105
20200427T1100,20.674158,97.00127
20200427T1200,21.626984,92.862404
20200427T1300,23.78453,92.60256
20200427T1400,24.50381,92.52611
20200427T1500,24.850431,91.66028
20200427T1600,23.762726,90.86805
20200427T1700,23.411074,88.2376
20200427T1800,22.42427,84.47246
20200427T1900,21.791153,82.40536
20200427T2000,21.99538,111.104836
20200427T2100,21.322214,101.68936
20200427T2200,18.775301,94.398705
20200427T2300,16.203999,88.72697
20200428T0000,14.512064,82.874985
20200428T0100,13.556282,79.28687
20200428T0200,13.849476,81.02737
20200428T0300,13.722565,85.48601
20200428T0400,15.119999,89.99999
20200428T0500,13.698934,93.01279
20200428T0600,12.682018,96.5198
20200428T0700,11.252519,97.35238
20200428T0800,9.028754,85.42608
20200428T0900,18.35647,101.30993
20200428T1000,20.431387,104.2811
20200428T1100,21.313093,105.67952
20200428T1200,21.829777,103.348724
20200428T1300,23.087763,100.784294
20200428T1400,23.863409,101.30993
20200428T1500,24.149532,100.30484
20200428T1600,23.377836,99.75242
20200428T1700,22.91026,98.1301
20200428T1800,22.461807,96.44159
20200428T1900,21.349546,95.80673
20200428T2000,22.314194,107.85032
20200428T2100,20.265795,102.308014
20200428T2200,17.518356,99.46232
20200428T2300,15.517629,93.990906
20200429T0000,13.679999,89.99999
20200429T0100,13.324863,91.54815
20200429T0200,12.605142,91.63657
20200429T0300,13.32,89.99999
20200429T0400,14.417988,87.137596
20200429T0500,14.044615,88.53119
20200429T0600,14.417988,92.862404
20200429T0700,14.440443,94.28915
20200429T0800,12.849528,101.30993
20200429T0900,19.721298,111.412964
20200429T1000,21.273533,113.96249
20200429T1100,21.897945,117.40757
20200429T1200,21.30093,120.465546
20200429T1300,20.608229,117.012665
20200429T1400,19.130875,109.798874
20200429T1500,20.620806,106.22019
20200429T1600,21.41319,106.60698
20200429T1700,23.749088,104.03624
20200429T1800,23.313995,103.392494
20200429T1900,21.829777,103.348724
20200429T2000,23.936617,102.15494
20200429T2100,26.299719,109.17901
20200429T2200,23.806318,110.353226
20200429T2300,17.76081,107.700424
20200430T0000,11.384199,108.434944
20200430T0100,4.829907,116.56505
20200430T0200,1.8,89.99999
20200430T0300,1.8,36.86989
20200430T0400,3.7585104,73.30075
20200430T0500,5.0911684,81.869896
20200430T0600,5.6920996,108.434944
20200430T0700,4.0249224,116.56505
20200430T0800,5.4477882,82.40536
20200430T0900,8.825508,101.76829
20200430T1000,8.209263,105.25512
20200430T1100,6.489992,93.179825
20200430T1200,6.9899354,78.11134
20200430T1300,9.826088,61.557068
20200430T1400,11.753877,62.65013
20200430T1500,14.48972,63.43495
20200430T1600,15.137133,64.65382
20200430T1700,15.778518,62.85031
20200430T1800,17.068707,62.354027
20200430T1900,18.25026,75.14138
20200430T2000,20.380579,72.525215
20200430T2100,16.327497,104.03624
20200430T2200,11.592894,53.841812
