location,Playa Novillero,Playa Novillero
lat,22.33321,22.33321
lon,-105.46875,-105.46875
asl,129.187,129.187
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Playa Novillero Wind Speed [80 m],Playa Novillero Wind Direction [80 m]
20200512T0800,7.8954163,65.772255
20200512T0900,1.1384199,71.56504
20200512T1000,3.396233,237.99463
20200512T1100,5.95906,244.98311
20200512T1200,9.693296,248.1986
20200512T1300,11.298495,247.52057
20200512T1400,14.84318,247.16635
20200512T1500,15.978484,247.47943
20200512T1600,17.447933,248.1986
20200512T1700,14.372974,247.9321
20200512T1800,12.904882,247.01129
20200512T1900,8.707237,240.25513
20200512T2000,6.8777895,227.1211
20200512T2100,4.452954,194.03624
20200512T2200,3.5455887,156.0375
20200512T2300,4.8965297,126.027374
