location,Playa Novillero,Playa Novillero
20200424T2200,0.35999998,270.0
20200424T2300,1.609969,26.565033
20200425T0000,2.6208394,74.054596
20200425T0100,2.8799999,89.99999
20200425T0200,2.9024127,97.125015
20200425T0300,3.6179552,84.289406
20200425T0400,4.896529,72.89727
20200425T0500,5.154415,65.224846
20200425T0600,6.6087217,60.64225
20200425T0700,8.557102,67.75098
20200425T0800,5.6920996,71.56504
20200425T0900,0.71999997,89.99999
20200425T1000,3.096837,234.46233
20200425T1100,4.6800003,247.38014
20200425T1200,7.754637,248.1986
20200425T1300,8.534353,242.35403
20200425T1400,10.948973,242.59244
20200425T1500,10.805998,240.01837
20200425T1600,12.287555,238.17256
20200425T1700,11.090103,234.24612
20200425T1800,11.753876,229.96974
20200425T1900,5.991594,237.26477
20200425T2000,5.8048253,240.25513
20200425T2100,2.5959969,213.69006
20200425T2200,2.8116899,140.19443
20200425T2300,4.6800003,112.61986
20200426T0000,5.8048253,119.74488
20200426T0100,5.634891,116.56505
20200426T0200,4.6938252,94.398705
20200426T0300,4.452954,75.96376
20200426T0400,5.1919937,56.30993
20200426T0500,5.6233797,50.194427
20200426T0600,6.638072,49.398697
20200426T0700,6.12,61.927513
20200426T0800,4.3498964,65.55604
20200426T0900,1.08,89.99999
20200426T1000,2.5959969,213.69006
20200426T1100,4.1046314,217.87498
20200426T1200,6.9153743,231.3402
20200426T1300,8.4963045,233.61565
20200426T1400,11.681987,236.30994
20200426T1500,12.387348,234.46233
20200426T1600,14.186923,234.2933
20200426T1700,12.768586,229.57393
20200426T1800,13.044722,230.59933
20200426T1900,7.7043357,232.59465
20200426T2000,7.289445,237.09476
20200426T2100,2.0991426,239.03624
20200426T2200,3.2399998,89.99999
20200426T2300,5.4477882,82.40536
20200427T0000,6.2145634,79.99202
20200427T0100,6.489992,70.55996
20200427T0200,6.763786,64.79888
20200427T0300,7.10031,59.534447
20200427T0400,7.7879906,56.30993
20200427T0500,7.491114,54.782394
20200427T0600,7.9932966,54.16234
20200427T0700,7.7879906,56.30993
20200427T0800,7.491114,54.782394
20200427T0900,1.1384199,18.434952
20200427T1000,3.671294,258.69006
20200427T1100,5.95906,244.98311
20200427T1200,9.511088,240.52411
20200427T1300,10.990322,238.3925
20200427T1400,13.281023,237.17145
20200427T1500,12.783802,237.65256
20200427T1600,13.584932,237.99463
20200427T1700,12.594856,239.03625
20200427T1800,12.904882,239.85861
20200427T1900,10.587918,234.68878
20200427T2000,8.913181,223.36343
20200427T2100,6.12,208.0725
20200427T2200,3.96,180.0
20200427T2300,4.072935,135.0
