location,Playa Novillero,Playa Novillero
lat,22.33321,22.33321
lon,-105.46875,-105.46875
asl,129.187,129.187
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Playa Novillero Wind Speed [80 m],Playa Novillero Wind Direction [80 m]
20200420T0000,6.489992,109.44003
20200420T0100,6.28713,103.24051
20200420T0200,5.4119864,93.81408
20200420T0300,5.04,89.99999
20200420T0400,5.0911684,81.869896
20200420T0500,4.802999,77.00538
20200420T0600,6.1305785,40.236343
20200420T0700,5.6233797,50.194427
20200420T0800,5.495161,58.392494
20200420T0900,0.71999997,270.0
20200420T1000,4.379589,260.5377
20200420T1100,5.937272,255.96376
20200420T1200,9.107359,251.56506
20200420T1300,10.703569,250.34618
20200420T1400,14.707222,248.45903
20200420T1500,14.182355,246.0375
20200420T1600,12.879752,243.43495
20200420T1700,11.609651,240.25513
20200420T1800,12.287555,238.17256
20200420T1900,8.714677,218.29016
20200420T2000,8.217153,208.81079
20200420T2100,5.771239,183.57634
20200420T2200,5.0142193,158.9625
20200420T2300,5.904439,127.56859
20200421T0000,7.24486,116.56505
20200421T0100,7.754637,111.80141
20200421T0200,7.771331,103.392494
20200421T0300,6.87779,96.009
20200421T0400,6.849467,86.98721
20200421T0500,6.9899354,78.11134
20200421T0600,7.2,53.130096
20200421T0700,10.028439,68.96249
20200421T0800,7.8625183,74.054596
20200421T0900,2.52,89.99999
20200421T1000,2.6208394,195.9454
20200421T1100,5.1165614,230.7106
20200421T1200,9.085988,236.30994
20200421T1300,10.883676,235.7843
20200421T1400,13.281023,237.17145
20200421T1500,12.682018,235.40771
20200421T1600,13.979872,235.49149
20200421T1700,12.313894,232.12502
20200421T1800,12.261157,229.76364
20200421T1900,7.145796,220.91438
20200421T2000,7.491114,215.21759
20200421T2100,5.0142193,201.0375
20200421T2200,3.0758414,159.44395
20200421T2300,3.5455887,113.96249
20200422T0000,3.6179552,95.71059
20200422T0100,3.6,89.99999
20200422T0200,3.9763298,84.805565
20200422T0300,4.1046314,74.74488
20200422T0400,4.829907,63.43495
20200422T0500,5.1919937,56.30993
20200422T0600,5.6233797,50.194427
20200422T0700,6.725354,74.47588
20200422T0800,3.9763298,84.805565
20200422T0900,1.8,180.0
20200422T1000,4.6102495,218.65982
20200422T1100,5.6233797,230.19443
20200422T1200,8.39657,239.03624
20200422T1300,9.693296,238.67131
20200422T1400,12.413477,240.46121
20200422T1500,12.904882,239.85861
20200422T1600,14.386494,238.29858
20200422T1700,12.88981,234.09029
20200422T1800,12.031756,231.07246
20200422T1900,5.3517847,227.72632
20200422T2000,5.1919937,213.69006
20200422T2100,3.0758414,200.55605
20200422T2200,1.08,180.0
20200422T2300,1.0182338,44.999985
20200423T0000,2.8116899,39.805573
20200423T0100,3.8268526,41.18593
20200423T0200,4.6938257,32.47119
20200423T0300,5.1165614,39.2894
20200423T0400,5.8603754,42.510437
20200423T0500,5.991594,57.26477
20200423T0600,5.8048253,60.25511
20200423T0700,9.021574,61.38954
20200423T0800,6.9527545,68.7495
20200423T0900,1.484318,104.03624
20200423T1000,4.072935,225.0
20200423T1100,5.692099,235.30484
20200423T1200,9.585739,235.71313
20200423T1300,11.090103,234.24612
20200423T1400,12.88981,234.09029
20200423T1500,12.313894,232.12502
20200423T1600,13.18308,235.00798
20200423T1700,12.287555,238.17256
20200423T1800,12.181624,235.8403
20200423T1900,6.1305785,229.76364
20200423T2000,7.386582,223.02507
20200423T2100,4.510787,208.61046
20200423T2200,3.0758414,159.44395
20200423T2300,4.3498964,114.44395
20200424T0000,5.815978,111.80141
20200424T0100,6.151683,110.556046
20200424T0200,5.8603754,100.61965
20200424T0300,5.3999996,89.99999
20200424T0400,5.5887027,75.06858
20200424T0500,5.4833565,66.8014
20200424T0600,5.95906,64.98311
20200424T0700,9.47012,81.25384
20200424T0800,7.92,89.99999
20200424T0900,3.5455887,113.96249
20200424T1000,3.671294,191.30994
20200424T1100,5.8603754,222.51045
20200424T1200,9.585739,235.71313
20200424T1300,10.883676,235.7843
20200424T1400,13.281023,237.17145
20200424T1500,12.682018,235.40771
20200424T1600,13.584932,237.99463
20200424T1700,12.181624,235.8403
20200424T1800,12.096214,233.47115
20200424T1900,5.1919937,236.30994
20200424T2000,4.8433046,228.01279
20200424T2100,1.8,233.1301
