"","timestamp","Cahuapan.Wind.Speed..80.m.","Cahuapan.Wind.Direction..80.m."
"106",2020-04-18 09:00:00,11.165805,181.84761
"107",2020-04-18 10:00:00,14.561099,188.53076
"108",2020-04-18 11:00:00,17.992796,199.88516
"109",2020-04-18 12:00:00,18.043148,208.61046
"110",2020-04-18 13:00:00,16.1198,209.42746
"111",2020-04-18 14:00:00,15.629971,208.92642
"112",2020-04-18 15:00:00,14.168641,207.21611
"113",2020-04-18 16:00:00,11.435313,208.17859
"114",2020-04-18 17:00:00,5.4833565,246.8014
"115",2020-04-18 18:00:00,14.404499,1.4320831
"116",2020-04-18 19:00:00,20.617662,12.094757
"117",2020-04-18 20:00:00,14.578888,20.224854
"118",2020-04-18 21:00:00,10.041354,14.534454
"119",2020-04-18 22:00:00,7.968939,341.56506
"120",2020-04-18 23:00:00,9.19939,300.57922
"121",2020-04-19 00:00:00,10.440001,270
"122",2020-04-19 01:00:00,11.681987,236.30994
"123",2020-04-19 02:00:00,16.610792,209.8989
"124",2020-04-19 03:00:00,21.629978,198.43495
"125",2020-04-19 04:00:00,22.884789,199.29004
"126",2020-04-19 05:00:00,21.518847,197.52557
"127",2020-04-19 06:00:00,20.724247,197.1759
"128",2020-04-19 07:00:00,20.082708,194.53445
"129",2020-04-19 08:00:00,8.854829,153.43495
"130",2020-04-19 09:00:00,12.496719,168.36636
"131",2020-04-19 10:00:00,18.416384,184.4846
"132",2020-04-19 11:00:00,30.821548,194.19855
"133",2020-04-19 12:00:00,40.77546,193.79086
"134",2020-04-19 13:00:00,45.685966,192.28395
"135",2020-04-19 14:00:00,46.283455,188.94946
"136",2020-04-19 15:00:00,47.110508,186.58194
"137",2020-04-19 16:00:00,47.684715,184.76364
"138",2020-04-19 17:00:00,47.033417,185.71059
"139",2020-04-19 18:00:00,45.414253,187.7447
"140",2020-04-19 19:00:00,43.632824,190.93909
"141",2020-04-19 20:00:00,41.046314,201.61478
"142",2020-04-19 21:00:00,41.93961,191.88866
"143",2020-04-19 22:00:00,39.125893,192.75754
