location,Armadillo de los Infante,Armadillo de los Infante
lat,22.33321,22.33321
lon,-100.78125,-100.78125
asl,1821.990,1821.990
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Armadillo de los Infante Wind Speed [80 m],Armadillo de los Infante Wind Direction [80 m]
20200505T0000,12.313894,127.874985
20200505T0100,10.009036,127.69424
20200505T0200,8.707237,119.74488
20200505T0300,8.373386,115.46334
20200505T0400,7.24486,116.56505
20200505T0500,6.4096174,128.15723
20200505T0600,5.904439,142.4314
20200505T0700,4.1046314,164.74487
20200505T0800,3.319036,192.52881
20200505T0900,1.609969,243.43495
20200505T1000,0.8049845,333.43497
20200505T1100,3.319036,49.398697
20200505T1200,5.154415,65.224846
20200505T1300,6.28713,66.37062
20200505T1400,6.8777895,47.121094
20200505T1500,7.2,53.130096
20200505T1600,7.172949,72.47443
20200505T1700,8.647496,92.38594
20200505T1800,10.483357,105.9454
20200505T1900,13.009903,104.42077
20200505T2000,29.940662,108.217094
20200505T2100,29.827904,119.6591
20200505T2200,21.413193,116.995834
20200505T2300,23.188583,117.75854
20200506T0000,22.314192,100.22216
20200506T0100,17.227419,100.8403
20200506T0200,8.0899935,122.27564
20200506T0300,3.8268526,131.18591
20200506T0400,4.379589,99.46232
20200506T0500,4.6938252,94.398705
20200506T0600,3.2399998,89.99999
20200506T0700,2.16,89.99999
20200506T0800,4.1046314,105.25512
20200506T0900,5.771239,93.576324
20200506T1000,10.105681,85.91438
20200506T1100,18.03237,86.56637
20200506T1200,24.490587,88.315315
20200506T1300,28.802248,89.28384
20200506T1400,31.68,89.99999
20200506T1500,34.2,89.99999
20200506T1600,34.57687,91.7899
20200506T1700,33.672993,96.13725
20200506T1800,33.50128,98.652534
20200506T1900,34.877293,101.30993
20200506T2000,33.70377,103.59094
20200506T2100,30.396025,108.64953
20200506T2200,19.995398,113.33404
20200506T2300,16.62249,107.650116
20200507T0000,13.556282,100.71312
20200507T0100,11.159999,89.99999
20200507T0200,9.449572,72.255325
20200507T0300,8.217153,61.18921
20200507T0400,6.193674,54.46232
20200507T0500,5.315336,61.699234
20200507T0600,4.802999,77.00538
20200507T0700,4.6938252,85.60129
20200507T0800,0.8049845,206.56505
20200507T0900,2.6208394,105.9454
20200507T1000,7.342588,101.30993
20200507T1100,12.9249525,102.87499
20200507T1200,18.511143,103.49573
20200507T1300,22.805367,101.84207
20200507T1400,25.346148,101.46953
20200507T1500,27.607563,102.04257
20200507T1600,28.73242,105.25512
