"","timestamp","Playa.Novillero.Wind.Speed..80.m.","Playa.Novillero.Wind.Direction..80.m."
"105",2020-04-18 08:00:00,4.0249224,63.43495
"106",2020-04-18 09:00:00,0,180
"107",2020-04-18 10:00:00,4.0249224,243.43495
"108",2020-04-18 11:00:00,6.151683,249.44395
"109",2020-04-18 12:00:00,9.360001,247.38014
"110",2020-04-18 13:00:00,10.30883,245.22485
"111",2020-04-18 14:00:00,14.007655,244.09349
"112",2020-04-18 15:00:00,14.512064,240.25513
"113",2020-04-18 16:00:00,14.693999,239.03625
"114",2020-04-18 17:00:00,11.183201,236.82149
"115",2020-04-18 18:00:00,11.792404,238.73627
"116",2020-04-18 19:00:00,6.193674,234.46233
"117",2020-04-18 20:00:00,5.8603754,227.48956
"118",2020-04-18 21:00:00,3.6,216.8699
"119",2020-04-18 22:00:00,2.8799999,180
"120",2020-04-18 23:00:00,2.3051248,141.34018
"121",2020-04-19 00:00:00,2.4149535,116.56505
"122",2020-04-19 01:00:00,3.671294,101.30993
"123",2020-04-19 02:00:00,5.0528407,85.91438
"124",2020-04-19 03:00:00,4.896529,72.89727
"125",2020-04-19 04:00:00,5.495161,58.392494
"126",2020-04-19 05:00:00,5.692099,55.304832
"127",2020-04-19 06:00:00,6.193674,54.46232
"128",2020-04-19 07:00:00,8.089993,69.14554
"129",2020-04-19 08:00:00,3.7064266,60.945396
"130",2020-04-19 09:00:00,0,180
"131",2020-04-19 10:00:00,3.8773184,248.1986
"132",2020-04-19 11:00:00,5.5887027,255.06857
"133",2020-04-19 12:00:00,8.427383,250.0169
"134",2020-04-19 13:00:00,9.83268,246.2505
"135",2020-04-19 14:00:00,13.684735,243.43495
"136",2020-04-19 15:00:00,14.512064,240.25513
"137",2020-04-19 16:00:00,15.990646,238.81503
"138",2020-04-19 17:00:00,12.682018,235.40771
"139",2020-04-19 18:00:00,12.594856,239.03625
"140",2020-04-19 19:00:00,6.4096174,231.84277
"141",2020-04-19 20:00:00,6.638072,229.39871
"142",2020-04-19 21:00:00,3.563818,225
"143",2020-04-19 22:00:00,0.35999998,180
"144",2020-04-19 23:00:00,3.9763298,84.805565
"145",2020-04-20 00:00:00,5.4119864,86.18592
"146",2020-04-20 01:00:00,5.4477882,82.40536
"147",2020-04-20 02:00:00,5.2416787,74.054596
"148",2020-04-20 03:00:00,4.829907,63.43495
"149",2020-04-20 04:00:00,5.3517847,42.27368
"150",2020-04-20 05:00:00,5.904439,37.568573
"151",2020-04-20 06:00:00,6.1305785,40.236343
"152",2020-04-20 07:00:00,9.504273,65.37643
"153",2020-04-20 08:00:00,5.5887027,75.06858
"154",2020-04-20 09:00:00,1.484318,165.96376
"155",2020-04-20 10:00:00,4.6938257,237.52881
"156",2020-04-20 11:00:00,5.815978,248.1986
"157",2020-04-20 12:00:00,9.360001,247.38014
"158",2020-04-20 13:00:00,10.636766,246.0375
