location,Álvaro Obregón,Álvaro Obregón
lat,18.27971,18.27971
lon,-88.62193,-88.62193
asl,32.946,32.946
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Álvaro Obregón Wind Speed [80 m],Álvaro Obregón Wind Direction [80 m]
20200505T0000,14.471821,84.289406
20200505T0100,12.261158,86.63353
20200505T0200,12.959999,89.99999
20200505T0300,13.339445,93.094055
20200505T0400,13.493999,99.21102
20200505T0500,11.966953,96.911224
20200505T0600,10.805999,91.90914
20200505T0700,10.853866,84.289406
20200505T0800,14.04,89.99999
20200505T0900,19.201874,96.45882
20200505T1000,20.696085,103.06931
20200505T1100,22.35481,104.93142
20200505T1200,23.587555,105.9454
20200505T1300,24.94413,110.26569
20200505T1400,24.490585,114.30454
20200505T1500,24.821732,109.48613
20200505T1600,24.033876,106.534836
20200505T1700,23.510508,101.48199
20200505T1800,23.441502,100.61965
20200505T1900,21.749481,102.42594
20200505T2000,21.434364,97.721825
20200505T2100,18.089775,95.71059
20200505T2200,15.517629,86.00909
20200505T2300,13.698934,86.98721
20200506T0000,12.599999,89.99999
20200506T0100,11.159999,89.99999
20200506T0200,11.183201,86.30861
20200506T0300,11.966953,83.08877
20200506T0400,12.261158,86.63353
20200506T0500,11.525623,88.21008
20200506T0600,10.853866,84.289406
20200506T0700,10.823973,86.18592
20200506T0800,11.27553,73.30075
20200506T0900,16.215992,87.45519
20200506T1000,17.294992,92.38594
20200506T1100,18.374111,92.245735
20200506T1200,19.45333,92.12109
20200506T1300,19.852295,94.15964
20200506T1400,18.161278,103.76078
20200506T1500,18.228943,99.09027
20200506T1600,18.175545,97.96961
20200506T1700,13.797912,97.49586
20200506T1800,14.332341,101.59217
20200506T1900,14.081478,85.60129
20200506T2000,22.930048,112.13549
20200506T2100,20.5484,86.98721
20200506T2200,18.043148,61.38954
20200506T2300,18.671474,56.00354
20200507T0000,18.668005,50.47737
20200507T0100,16.375053,56.659294
20200507T0200,15.034041,73.30075
20200507T0300,14.408997,77.00538
20200507T0400,13.358861,75.96376
20200507T0500,15.111424,77.61923
20200507T0600,12.768586,68.49856
20200507T0700,11.304229,52.76516
20200507T0800,13.479583,34.114456
20200507T0900,14.291592,40.914368
20200507T1000,19.523155,67.2176
20200507T1100,19.721298,68.58703
20200507T1200,21.575987,64.29004
20200507T1300,23.068108,67.036224
20200507T1400,24.627787,74.74488
20200507T1500,24.280659,74.52137
20200507T1600,22.89611,73.559616
20200507T1700,21.175835,72.18111
20200507T1800,21.175835,72.18111
20200507T1900,21.194187,69.102234
20200507T2000,21.09305,62.56028
20200507T2100,21.659918,74.577835
20200507T2200,20.431387,75.718895
20200507T2300,19.242327,72.58202
20200508T0000,16.73516,71.175285
20200508T0100,16.279802,71.965706
20200508T0200,16.62249,72.34988
20200508T0300,16.055353,70.346176
20200508T0400,14.48972,63.43495
20200508T0500,13.684735,54.637527
20200508T0600,13.18308,55.007973
20200508T0700,12.181624,55.840294
20200508T0800,12.7279215,44.999985
20200508T0900,18.782204,77.828545
20200508T1000,21.26744,87.08916
20200508T1100,21.96295,89.06081
20200508T1200,20.16,89.99999
20200508T1300,20.188908,93.06648
20200508T1400,20.172853,92.0454
20200508T1500,19.829433,93.12212
20200508T1600,20.240196,95.10216
20200508T1700,19.770523,100.49147
20200508T1800,19.13426,101.94417
20200508T1900,18.861387,103.240524
20200508T2000,17.873556,99.2726
20200508T2100,16.808569,99.86581
20200508T2200,14.417988,92.862404
20200508T2300,12.599999,89.99999
20200509T0000,10.440001,89.99999
20200509T0100,10.446206,88.02507
20200509T0200,11.542478,86.42367
20200509T0300,13.138765,80.537674
20200509T0400,14.84318,75.96376
20200509T0500,15.978486,75.650665
20200509T0600,17.811815,75.96376
20200509T0700,17.373497,84.05313
20200509T0800,19.08,89.99999
20200509T0900,20.478907,100.124664
20200509T1000,19.35314,99.637535
20200509T1100,17.462784,98.29714
20200509T1200,17.373497,95.94686
20200509T1300,17.313717,93.576324
20200509T1400,18.057508,94.57392
20200509T1500,18.94024,98.74616
20200509T1600,18.861387,103.240524
20200509T1700,18.0,106.2602
20200509T1800,13.358861,104.03624
20200509T1900,11.27553,106.69924
20200509T2000,20.65848,112.54305
20200509T2100,21.868332,110.22485
20200509T2200,15.575981,123.69006
