location,Álvaro Obregón,Álvaro Obregón
20200509T2300,17.713316,127.56859
20200510T0000,11.923557,118.88658
20200510T0100,8.089993,110.854454
20200510T0200,10.009036,127.69424
20200510T0300,11.480557,131.18591
20200510T0400,7.653705,131.18591
20200510T0500,6.12,151.9275
20200510T0600,4.452954,165.96376
20200510T0700,1.8,180.0
20200510T0800,6.9247384,297.89728
20200510T0900,3.319036,282.5288
20200510T1000,3.671294,11.309921
20200510T1100,4.896529,107.10272
20200510T1200,6.87779,96.009
20200510T1300,7.2,89.99999
20200510T1400,5.506941,101.30993
20200510T1500,6.9899354,101.88866
20200510T1600,7.9526596,95.19443
20200510T1700,9.0,89.99999
20200510T1800,9.726665,87.8789
20200510T1900,9.0,73.73979
20200510T2000,17.208603,322.65067
20200510T2100,12.7279215,331.26022
20200510T2200,14.007655,334.0935
20200510T2300,14.386494,328.29858
20200511T0000,13.783817,319.2364
20200511T0100,15.021105,314.029
20200511T0200,15.782622,315.0
20200511T0300,16.08761,319.53778
20200511T0400,15.484185,324.46234
20200511T0500,15.496736,329.26453
20200511T0600,15.137133,334.65384
20200511T0700,13.53236,331.38956
20200511T0800,9.220499,321.3402
20200511T0900,9.511088,330.5241
20200511T1000,10.805998,330.01837
20200511T1100,12.594856,329.03625
20200511T1200,12.7279215,331.26022
20200511T1300,14.182355,336.0375
20200511T1400,14.145756,345.25644
20200511T1500,16.215992,357.4552
20200511T1600,19.201874,6.4588013
20200511T1700,20.275385,16.504364
20200511T1800,18.678415,27.552795
20200511T1900,19.406637,40.485992
20200511T2000,20.188908,58.861015
20200511T2100,20.380579,72.525215
20200511T2200,20.326454,67.067894
20200511T2300,19.083395,54.21102
20200512T0000,17.072504,42.436203
20200512T0100,16.78156,35.39479
20200512T0200,15.315873,29.577835
20200512T0300,14.658676,24.676865
20200512T0400,12.979984,19.440033
20200512T0500,12.496719,11.633621
20200512T0600,13.138765,9.462311
20200512T0700,12.324414,6.7098236
20200512T0800,12.7279215,8.130096
20200512T0900,12.015589,8.615646
20200512T1000,11.043261,19.025604
20200512T1100,10.44,46.397186
20200512T1200,10.137692,73.495636
20200512T1300,12.964998,88.40886
20200512T1400,14.77755,92.7927
20200512T1500,15.4800005,89.99999
20200512T1600,15.876775,86.0995
20200512T1700,16.595179,86.26859
20200512T1800,17.643673,88.83086
20200512T1900,18.359999,89.99999
20200512T2000,17.654688,92.33731
20200512T2100,15.941944,96.48307
20200512T2200,14.081478,94.398705
20200512T2300,12.599999,89.99999
