"","timestamp","Armadillo.de.los.Infante.Wind.Speed..80.m.","Armadillo.de.los.Infante.Wind.Direction..80.m."
"106",2020-04-18 09:00:00,1.0182338,135
"107",2020-04-18 10:00:00,2.6208394,105.9454
"108",2020-04-18 11:00:00,5.6920996,108.434944
"109",2020-04-18 12:00:00,6.0347,107.35402
"110",2020-04-18 13:00:00,5.5887027,104.93142
"111",2020-04-18 14:00:00,5.315336,118.30075
"112",2020-04-18 15:00:00,6.193674,125.537674
"113",2020-04-18 16:00:00,6.638072,139.3987
"114",2020-04-18 17:00:00,7.928177,140.52754
"115",2020-04-18 18:00:00,12.287555,121.82744
"116",2020-04-18 19:00:00,19.523155,112.782394
"117",2020-04-18 20:00:00,13.979872,124.508514
"118",2020-04-18 21:00:00,16.610792,119.898895
"119",2020-04-18 22:00:00,17.399586,114.44395
"120",2020-04-18 23:00:00,15.778518,117.14967
"121",2020-04-19 00:00:00,13.584932,122.00538
"122",2020-04-19 01:00:00,11.480557,131.18591
"123",2020-04-19 02:00:00,7.9036193,149.93141
"124",2020-04-19 03:00:00,4.2136917,199.98311
"125",2020-04-19 04:00:00,5.4119864,266.1859
"126",2020-04-19 05:00:00,8.707238,277.125
"127",2020-04-19 06:00:00,10.239453,280.1247
"128",2020-04-19 07:00:00,11.792404,282.33908
"129",2020-04-19 08:00:00,10.538843,277.85333
"130",2020-04-19 09:00:00,8.905908,284.03625
"131",2020-04-19 10:00:00,11.659777,278.88065
"132",2020-04-19 11:00:00,15.4800005,270
"133",2020-04-19 12:00:00,19.245697,262.4762
"134",2020-04-19 13:00:00,21.046917,257.15228
"135",2020-04-19 14:00:00,21.479666,256.42957
"136",2020-04-19 15:00:00,20.774214,261.02737
"137",2020-04-19 16:00:00,20.674158,262.99872
"138",2020-04-19 17:00:00,19.493261,265.7636
"139",2020-04-19 18:00:00,17.643673,268.83087
"140",2020-04-19 19:00:00,14.4,270
"141",2020-04-19 20:00:00,11.966953,263.08878
"142",2020-04-19 21:00:00,7.653705,228.81409
"143",2020-04-19 22:00:00,6.9899354,168.11134
"144",2020-04-19 23:00:00,11.246759,140.19443
"145",2020-04-20 00:00:00,13.783817,130.76361
"146",2020-04-20 01:00:00,13.513193,131.7603
