location,Villa Tecolutilla,Villa Tecolutilla
lat,18.32237,18.32237
lon,-93.32785,-93.32785
asl,7.067,7.067
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Villa Tecolutilla Wind Speed [80 m],Villa Tecolutilla Wind Direction [80 m]
20200420T0000,27.504093,217.01988
20200420T0100,28.312117,221.39154
20200420T0200,30.0767,222.08917
20200420T0300,32.682762,220.53284
20200420T0400,33.3559,214.8907
20200420T0500,33.221584,209.8989
20200420T0600,31.716797,206.27422
20200420T0700,32.44996,199.44003
20200420T0800,27.698952,188.97263
20200420T0900,24.798225,170.81116
20200420T1000,19.130875,160.20113
20200420T1100,14.512064,150.25511
20200420T1200,8.913181,136.63657
20200420T1300,13.37825,66.194046
20200420T1400,26.712873,52.6668
20200420T1500,27.661497,51.34018
20200420T1600,27.0024,42.838913
20200420T1700,28.394392,39.340515
20200420T1800,24.798225,39.699066
20200420T1900,22.915916,43.726974
20200420T2000,20.972897,50.572174
20200420T2100,16.263872,62.30053
20200420T2200,11.928989,84.805565
20200420T2300,11.27553,106.69924
20200421T0000,14.904173,127.14668
20200421T0100,17.709658,153.43495
20200421T0200,20.265795,192.30801
20200421T0300,22.473343,215.21759
20200421T0400,22.768396,235.30484
20200421T0500,21.518847,252.47443
20200421T0600,18.161278,256.23923
20200421T0700,12.758432,253.61046
20200421T0800,1.8,180.0
20200421T0900,3.2399998,180.0
20200421T1000,2.0991426,149.03624
20200421T1100,2.8116899,39.805573
20200421T1200,9.9571085,12.528793
20200421T1300,20.957443,355.07288
20200421T1400,23.857979,354.8056
20200421T1500,25.567604,9.72757
20200421T1600,25.922499,9.59314
20200421T1700,28.639803,14.560272
20200421T1800,28.137632,16.34816
20200421T1900,28.48326,20.725555
20200421T2000,25.420181,12.2647705
20200421T2100,24.826952,16.858398
20200421T2200,24.149532,26.565033
20200421T2300,24.967497,42.66269
20200422T0000,23.510508,64.61209
20200422T0100,23.219301,82.874985
20200422T0200,14.512064,113.385216
20200422T0300,9.826088,171.57303
20200422T0400,7.8625183,195.9454
20200422T0500,5.2416787,195.9454
20200422T0600,3.6179552,185.71059
20200422T0700,4.896529,162.89728
20200422T0800,10.636766,156.0375
20200422T0900,15.617529,154.0256
20200422T1000,13.202726,154.13364
20200422T1100,9.0,143.1301
20200422T1200,6.0347,107.35402
20200422T1300,10.948973,46.3322
20200422T1400,18.193361,27.072067
20200422T1500,23.933907,21.161255
20200422T1600,24.066206,21.960556
20200422T1700,27.231804,24.193207
20200422T1800,26.302181,30.425766
20200422T1900,25.567604,32.347427
20200422T2000,26.518099,41.69812
20200422T2100,27.871534,54.46232
20200422T2200,26.729847,64.47029
20200422T2300,23.933907,83.08877
20200423T0000,15.315873,150.42216
20200423T0100,20.12461,190.30484
20200423T0200,19.721298,201.41296
20200423T0300,19.296133,194.03624
20200423T0400,18.511143,193.49573
20200423T0500,22.61419,193.81503
20200423T0600,22.392462,184.61066
20200423T0700,21.38897,173.23383
20200423T0800,13.450708,164.47589
20200423T0900,19.694992,161.89624
20200423T1000,29.16889,178.58557
20200423T1100,40.89606,189.62816
20200423T1200,45.0,196.26021
20200423T1300,44.326805,200.93729
20200423T1400,43.151974,205.70996
20200423T1500,43.476612,207.62596
20200423T1600,42.694542,208.72614
20200423T1700,41.305977,210.36427
20200423T1800,40.25888,211.84247
20200423T1900,40.46919,215.95242
20200423T2000,20.082708,255.46555
20200423T2100,23.023119,260.09583
20200423T2200,28.04305,240.80252
20200423T2300,33.58628,239.03624
20200424T0000,31.018547,248.1986
20200424T0100,31.771912,250.12782
20200424T0200,31.193535,251.14685
20200424T0300,29.957972,249.60513
20200424T0400,27.783045,238.7816
20200424T0500,31.259941,231.5463
20200424T0600,33.88019,227.15297
20200424T0700,33.933697,221.12874
20200424T0800,15.978484,247.47943
20200424T0900,18.678415,242.44719
20200424T1000,20.746122,231.3402
20200424T1100,18.391737,229.76364
20200424T1200,13.891522,238.7816
20200424T1300,17.786331,305.94214
20200424T1400,30.248568,321.76617
20200424T1500,31.178993,328.69586
20200424T1600,32.209442,334.86707
20200424T1700,31.97319,352.23483
20200424T1800,27.729347,358.51215
20200424T1900,25.006397,6.613449
20200424T2000,23.795427,10.4599
20200424T2100,20.291357,25.201126
20200424T2200,14.4,36.86989
20200424T2300,5.495161,31.607498
20200425T0000,3.4152596,288.43497
20200425T0100,7.072878,255.25644
20200425T0200,7.491114,234.78241
20200425T0300,6.989936,214.50853
20200425T0400,5.991594,212.73523
20200425T0500,4.8433046,221.98721
20200425T0600,5.3999996,216.8699
20200425T0700,5.95906,205.01689
20200425T0800,5.95906,205.01689
20200425T0900,7.208994,182.86241
20200425T1000,7.92,180.0
20200425T1100,3.7585104,163.30075
20200425T1200,6.638072,40.601288
20200425T1300,23.749088,14.03624
20200425T1400,27.067116,13.851395
20200425T1500,32.79361,17.241455
20200425T1600,32.69664,20.629868
20200425T1700,34.145008,24.943893
20200425T1800,32.909985,30.211319
20200425T1900,31.353085,34.237457
20200425T2000,31.222609,20.942642
20200425T2100,24.482647,19.767166
20200425T2200,14.277983,33.690063
20200425T2300,8.647496,92.38594
20200426T0000,11.159999,89.99999
20200426T0100,11.212135,84.47246
20200426T0200,8.905908,75.96376
20200426T0300,5.1165614,39.2894
20200426T0400,8.707237,330.25513
20200426T0500,17.309975,315.0
20200426T0600,19.602652,315.74408
20200426T0700,28.257132,315.51617
20200426T0800,19.022177,330.5241
20200426T0900,16.595179,3.7313843
20200426T1000,16.78156,22.714401
20200426T1100,11.165805,1.8475952
20200426T1200,13.849477,332.10272
20200426T1300,28.006056,316.04163
20200426T1400,27.504093,322.98013
20200426T1500,29.76484,327.84772
20200426T1600,31.404713,331.96616
20200426T1700,30.274265,334.65384
20200426T1800,25.925,334.50244
