location,El Nuevo Mercurio,El Nuevo Mercurio
lat,24.33321,24.33321
lon,-102.18750,-102.18750
asl,1852.524,1852.524
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Nuevo Mercurio Wind Speed [80 m],El Nuevo Mercurio Wind Direction [80 m]
20200505T0000,14.145756,284.74356
20200505T0100,11.212135,275.52753
20200505T0200,8.647496,272.38596
20200505T0300,7.6367526,278.1301
20200505T0400,7.172949,287.52557
20200505T0500,7.0911775,293.9625
20200505T0600,6.6087217,299.35776
20200505T0700,6.489992,146.30994
20200505T0800,4.3498964,155.55605
20200505T0900,1.9386592,158.1986
20200505T1000,1.9386592,338.1986
20200505T1100,6.87779,353.991
20200505T1200,15.141414,18.00415
20200505T1300,19.523155,22.782394
20200505T1400,20.326454,22.932098
20200505T1500,21.273533,23.962479
20200505T1600,21.2522,26.130997
20200505T1700,21.924562,29.51149
20200505T1800,22.66857,32.680542
20200505T1900,24.408424,37.2079
20200505T2000,19.469976,33.690063
20200505T2100,18.947083,38.82982
20200505T2200,16.92383,51.91121
20200505T2300,16.23596,86.18592
20200506T0000,18.94024,98.74616
20200506T0100,19.93048,106.79836
20200506T0200,19.191748,113.19859
20200506T0300,16.434305,118.81079
20200506T0400,13.0447235,117.97947
20200506T0500,9.387651,122.47119
20200506T0600,9.178235,138.17982
20200506T0700,8.404285,136.7357
20200506T0800,7.5170207,196.69925
20200506T0900,3.396233,212.00539
20200506T1000,0.5091169,315.0
20200506T1100,4.452954,14.03624
20200506T1200,7.9036193,30.068573
20200506T1300,9.726664,51.009003
20200506T1400,10.636766,66.037506
20200506T1500,10.931203,72.75854
20200506T1600,11.525623,75.52971
20200506T1700,11.620809,73.8108
20200506T1800,12.661564,75.17352
20200506T1900,14.205182,81.25384
20200506T2000,23.210928,113.78202
20200506T2100,26.564486,116.56505
20200506T2200,30.141266,119.32048
20200506T2300,32.750107,123.340706
