location,El Nuevo Mercurio,El Nuevo Mercurio
20200507T0000,30.96837,125.537674
20200507T0100,26.932714,127.942154
20200507T0200,20.929594,130.81508
20200507T0300,17.31746,136.6847
20200507T0400,14.336861,141.11551
20200507T0500,13.276144,139.3987
20200507T0600,11.966954,136.21887
20200507T0700,11.457958,133.72697
20200507T0800,10.805998,150.01836
20200507T0900,10.495713,149.03624
20200507T1000,8.4963045,143.61565
20200507T1100,7.6367526,135.0
20200507T1200,7.2,126.869896
20200507T1300,7.729527,117.75854
20200507T1400,9.565437,109.798874
20200507T1500,10.829958,111.44774
20200507T1600,11.440979,114.14554
20200507T1700,11.923557,118.88658
20200507T1800,12.181624,124.1597
20200507T1900,12.768586,130.42607
20200507T2000,11.480557,138.81407
20200507T2100,14.84318,140.90614
20200507T2200,18.089775,148.8407
20200507T2300,20.268991,160.27773
20200508T0000,23.491207,164.8989
20200508T0100,24.288662,168.02386
20200508T0200,21.068459,163.1132
20200508T0300,20.316889,150.25513
20200508T0400,20.018072,142.30576
20200508T0500,19.373219,138.01279
20200508T0600,17.826363,136.63657
20200508T0700,16.595179,139.39871
20200508T0800,2.5959969,213.69006
20200508T0900,3.6,216.8699
20200508T1000,5.00128,239.74356
20200508T1100,6.12,270.0
20200508T1200,10.296251,306.46924
20200508T1300,14.565548,309.98688
20200508T1400,13.104198,307.1847
20200508T1500,12.496718,318.50354
20200508T1600,13.891522,328.78162
20200508T1700,14.986553,335.89777
20200508T1800,15.111424,347.61926
20200508T1900,15.84409,358.69806
20200508T2000,8.942214,40.100906
20200508T2100,10.739832,39.55966
20200508T2200,12.181624,55.840294
20200508T2300,11.212135,84.47246
20200509T0000,9.028754,94.57392
20200509T0100,9.255571,103.49573
20200509T0200,8.654986,106.92751
20200509T0300,6.2145634,100.00798
20200509T0400,3.319036,49.398697
20200509T0500,6.162207,6.7098236
20200509T0600,6.519877,6.340164
20200509T0700,5.154415,24.775131
20200509T0800,1.9386592,338.1986
20200509T0900,1.8,180.0
20200509T1000,2.8799999,180.0
20200509T1100,2.9024127,187.12502
20200509T1200,2.3051248,218.65982
20200509T1300,2.8799999,270.0
20200509T1400,3.8939953,326.30994
20200509T1500,4.73506,351.25385
20200509T1600,2.8116899,309.80557
20200509T1700,4.198285,300.96378
20200509T1800,7.42159,309.09387
20200509T1900,7.653705,311.1859
20200509T2000,19.66536,336.25052
20200509T2100,14.417988,357.13757
20200509T2200,9.904906,19.093475
20200509T2300,8.435069,50.194427
20200510T0000,7.42159,67.166336
20200510T0100,6.2145634,79.99202
20200510T0200,6.12,89.99999
20200510T0300,6.489992,93.179825
20200510T0400,7.42159,104.03624
20200510T0500,8.225035,113.19859
20200510T0600,9.290511,125.537674
20200510T0700,10.182337,135.0
20200510T0800,8.913181,136.63657
20200510T0900,8.707237,150.25511
20200510T1000,7.10031,149.53445
20200510T1100,5.4833565,156.8014
20200510T1200,2.52,180.0
20200510T1300,0.35999998,270.0
20200510T1400,2.0364676,315.0
20200510T1500,1.8,323.13013
20200510T1600,0.5091169,315.0
20200510T1700,0.35999998,89.99999
20200510T1800,1.609969,153.43495
20200510T1900,3.6,143.1301
20200510T2000,11.841756,109.53665
20200510T2100,21.096123,115.25316
20200510T2200,28.772987,121.70142
20200510T2300,34.353127,128.19095
20200511T0000,31.569351,134.07596
20200511T0100,28.775238,136.52077
20200511T0200,24.195107,133.19125
20200511T0300,20.140705,118.85566
20200511T0400,19.05281,112.20347
20200511T0500,18.837322,116.075356
20200511T0600,18.39878,120.57922
20200511T0700,17.713316,127.56859
20200511T0800,17.873556,145.66978
20200511T0900,18.998316,152.9494
20200511T1000,18.214718,161.56505
20200511T1100,18.161278,166.23921
20200511T1200,18.228943,170.90973
20200511T1300,18.014393,177.7094
20200511T1400,18.94024,188.74615
20200511T1500,20.523157,201.61478
20200511T1600,21.924562,209.5115
20200511T1700,22.97522,215.43332
20200511T1800,24.72495,222.04922
20200511T1900,25.476198,227.29062
20200511T2000,23.424908,226.24536
20200511T2100,21.566973,213.4248
20200511T2200,21.2522,190.73889
20200511T2300,23.177402,173.75809
20200512T0000,25.417631,164.389
20200512T0100,26.758923,162.78392
20200512T0200,25.842384,161.31265
20200512T0300,24.20314,157.24902
20200512T0400,22.539564,153.43495
20200512T0500,21.924562,150.4885
20200512T0600,19.770523,146.88866
20200512T0700,17.713316,142.43141
20200512T0800,15.379206,147.42593
20200512T0900,9.511088,150.52411
20200512T1000,6.5693827,170.53767
20200512T1100,4.8433046,228.01279
20200512T1200,7.92,270.0
20200512T1300,9.779817,276.34018
20200512T1400,10.182337,278.1301
20200512T1500,10.594036,279.7824
20200512T1600,10.739833,283.57043
20200512T1700,11.503113,290.1363
20200512T1800,11.440979,294.14554
20200512T1900,11.113451,294.90475
20200512T2000,10.805998,299.98163
20200512T2100,10.233123,320.7106
20200512T2200,9.0,343.7398
20200512T2300,7.2,360.0
