"","timestamp","Samahil.Wind.Speed..80.m.","Samahil.Wind.Direction..80.m."
"107",2020-04-18 10:00:00,17.935081,141.5198
"108",2020-04-18 11:00:00,17.610588,139.14462
"109",2020-04-18 12:00:00,16.29174,135
"110",2020-04-18 13:00:00,16.055355,132.27368
"111",2020-04-18 14:00:00,15.03835,132.08916
"112",2020-04-18 15:00:00,14.529915,131.98721
"113",2020-04-18 16:00:00,13.513193,131.7603
"114",2020-04-18 17:00:00,12.287555,121.82744
"115",2020-04-18 18:00:00,9.72,89.99999
"116",2020-04-18 19:00:00,12.475961,43.830856
"117",2020-04-18 20:00:00,14.24163,20.725555
"118",2020-04-18 21:00:00,15.03835,78.95905
"119",2020-04-18 22:00:00,25.63847,128.15723
"120",2020-04-18 23:00:00,26.66188,124.54836
"121",2020-04-19 00:00:00,26.044699,130.51538
"122",2020-04-19 01:00:00,26.009844,131.63353
"123",2020-04-19 02:00:00,24.195107,133.19125
"124",2020-04-19 03:00:00,22.915916,133.72697
"125",2020-04-19 04:00:00,21.129883,134.30972
"126",2020-04-19 05:00:00,20.111729,135.72522
"127",2020-04-19 06:00:00,18.837324,135
"128",2020-04-19 07:00:00,18.837324,135
"129",2020-04-19 08:00:00,20.592503,143.53076
"130",2020-04-19 09:00:00,22.89611,143.31027
"131",2020-04-19 10:00:00,23.565569,145.58163
"132",2020-04-19 11:00:00,24.162947,146.54669
"133",2020-04-19 12:00:00,22.86496,146.56013
"134",2020-04-19 13:00:00,22.104116,149.67639
"135",2020-04-19 14:00:00,20.929594,153.43495
"136",2020-04-19 15:00:00,20.140705,155.72556
"137",2020-04-19 16:00:00,18.86139,156.37062
"138",2020-04-19 17:00:00,17.87718,154.98311
"139",2020-04-19 18:00:00,15.459054,152.24146
"140",2020-04-19 19:00:00,10.805998,150.01836
"141",2020-04-19 20:00:00,13.896187,343.44293
"142",2020-04-19 21:00:00,7.9932976,7.765167
"143",2020-04-19 22:00:00,8.534353,62.354027
"144",2020-04-19 23:00:00,16.870138,140.19443
"145",2020-04-20 00:00:00,19.453327,141.009
"146",2020-04-20 01:00:00,19.134262,138.81407
"147",2020-04-20 02:00:00,18.723461,142.0284
"148",2020-04-20 03:00:00,18.79255,143.56914
"149",2020-04-20 04:00:00,17.713316,142.43141
"150",2020-04-20 05:00:00,17.610588,139.14462
"151",2020-04-20 06:00:00,17.566378,135.83032
"152",2020-04-20 07:00:00,17.826363,133.36342
"153",2020-04-20 08:00:00,14.4,143.1301
"154",2020-04-20 09:00:00,15.876775,147.0306
"155",2020-04-20 10:00:00,12.387348,144.46231
"156",2020-04-20 11:00:00,9,143.1301
"157",2020-04-20 12:00:00,6.6087217,150.64224
"158",2020-04-20 13:00:00,1.2979984,146.30994
"159",2020-04-20 14:00:00,2.8799999,360
"160",2020-04-20 15:00:00,10.948973,350.5377
"161",2020-04-20 16:00:00,21.313093,344.3205
"162",2020-04-20 17:00:00,21.129883,346.2005
"163",2020-04-20 18:00:00,19.602652,352.61398
"164",2020-04-20 19:00:00,18.72346,1.1016998
"165",2020-04-20 20:00:00,19.416653,10.684891
"166",2020-04-20 21:00:00,18.11841,40.971725
"167",2020-04-20 22:00:00,16.923828,60.708633
"168",2020-04-20 23:00:00,15.175612,67.693794
"169",2020-04-21 00:00:00,12.245293,65.69545
"170",2020-04-21 01:00:00,11.753877,62.65013
"171",2020-04-21 02:00:00,11.384199,71.56504
"172",2020-04-21 03:00:00,12.015589,81.38435
"173",2020-04-21 04:00:00,12.245294,91.68468
"174",2020-04-21 05:00:00,12.661564,104.82648
"175",2020-04-21 06:00:00,14.689588,126.027374
"176",2020-04-21 07:00:00,16.199999,126.869896
"177",2020-04-21 08:00:00,16.548256,134.11859
"178",2020-04-21 09:00:00,16.563911,137.64255
"179",2020-04-21 10:00:00,14.291592,139.08562
"180",2020-04-21 11:00:00,10.948973,136.33221
"181",2020-04-21 12:00:00,6.696387,126.25384
"182",2020-04-21 13:00:00,5.8048253,97.125015
"183",2020-04-21 14:00:00,4.6938257,57.5288
"184",2020-04-21 15:00:00,11.252519,7.352371
"185",2020-04-21 16:00:00,20.545246,11.113037
"186",2020-04-21 17:00:00,22.89611,16.440369
"187",2020-04-21 18:00:00,21.794127,22.32866
"188",2020-04-21 19:00:00,21.897945,27.407562
"189",2020-04-21 20:00:00,21.26744,33.959045
"190",2020-04-21 21:00:00,20.65848,41.467697
"191",2020-04-21 22:00:00,18.626305,48.918243
"192",2020-04-21 23:00:00,16.92383,66.161255
"193",2020-04-20 00:00:00,20.371038,136.4321
"194",2020-04-20 01:00:00,20.188908,140.06361
"195",2020-04-20 02:00:00,19.373219,138.01279
"196",2020-04-20 03:00:00,20.371038,136.4321
"197",2020-04-20 04:00:00,19.602652,134.25594
"198",2020-04-20 05:00:00,20.421871,130.71085
"199",2020-04-20 06:00:00,20.12461,132.82526
"201",2020-04-20 08:00:00,18.11841,139.02826
"202",2020-04-20 09:00:00,15.575981,146.30994
"203",2020-04-20 10:00:00,11.983188,147.26477
"204",2020-04-20 11:00:00,9.085988,146.30994
"205",2020-04-20 12:00:00,5.4833565,156.8014
"206",2020-04-20 13:00:00,2.1897945,260.5377
"207",2020-04-20 14:00:00,3.6,323.13013
"208",2020-04-20 15:00:00,8.766573,340.82098
"209",2020-04-20 16:00:00,16.965895,342.7185
"210",2020-04-20 17:00:00,20.833395,341.87814
"211",2020-04-20 18:00:00,17.462782,345.6773
"212",2020-04-20 19:00:00,17.643673,358.83087
"213",2020-04-20 20:00:00,16.454008,10.080597
"214",2020-04-20 21:00:00,15.463246,24.775131
"215",2020-04-20 22:00:00,16.548256,45.88138
"216",2020-04-20 23:00:00,15.7908325,65.772255
"217",2020-04-21 00:00:00,13.441071,69.62356
"218",2020-04-21 01:00:00,12.768586,68.49856
"219",2020-04-21 02:00:00,12.0694,72.64597
"221",2020-04-21 04:00:00,12.24,89.99999
"222",2020-04-21 05:00:00,13.009903,104.42077
"223",2020-04-21 06:00:00,14.386494,121.70142
"225",2020-04-21 08:00:00,13.324863,128.41805
"226",2020-04-21 09:00:00,13.783817,130.76361
"227",2020-04-21 10:00:00,13.104198,127.1847
"228",2020-04-21 11:00:00,11.4862,122.19573
"229",2020-04-21 12:00:00,10.163227,112.9321
"230",2020-04-21 13:00:00,8.4042845,99.86581
"231",2020-04-21 14:00:00,6.924738,81.02737
"232",2020-04-21 15:00:00,8.4963045,36.38434
"233",2020-04-21 16:00:00,16.520823,11.309921
"234",2020-04-21 17:00:00,23.587555,15.945404
"235",2020-04-21 18:00:00,22.7057,25.34616
"236",2020-04-21 19:00:00,21.924562,29.51149
"237",2020-04-21 20:00:00,22.89611,36.689713
"238",2020-04-21 21:00:00,20.65848,48.532303
"239",2020-04-21 22:00:00,17.727943,60.832375
"240",2020-04-21 23:00:00,16.808569,80.134186
"241",2020-04-22 00:00:00,17.462782,104.322716
"242",2020-04-22 01:00:00,21.900904,115.301384
"243",2020-04-22 02:00:00,20.608229,117.012665
"244",2020-04-22 03:00:00,20.288164,117.474434
"245",2020-04-22 04:00:00,19.513195,119.87599
"246",2020-04-22 05:00:00,19.201874,120.41107
"247",2020-04-22 06:00:00,18.218275,119.60445
"248",2020-04-22 07:00:00,18.218275,119.60445
"249",2020-04-22 08:00:00,15.629971,118.92642
"250",2020-04-22 09:00:00,18.079027,125.27242
"251",2020-04-22 10:00:00,21.252197,128.81139
"252",2020-04-22 11:00:00,21.437386,130.91438
"253",2020-04-22 12:00:00,20.421871,130.71085
"254",2020-04-22 13:00:00,19.681828,129.80557
"255",2020-04-22 14:00:00,20.188908,129.93637
"256",2020-04-22 15:00:00,19.95972,129.14398
"257",2020-04-22 16:00:00,20.696087,130.06079
"258",2020-04-22 17:00:00,20.696087,130.06079
"259",2020-04-22 18:00:00,22.45315,131.0995
"260",2020-04-22 19:00:00,25.264202,130.9555
"261",2020-04-22 20:00:00,27.661497,128.6598
"262",2020-04-22 21:00:00,31.32207,127.52844
"263",2020-04-22 22:00:00,31.542658,128.04704
"264",2020-04-22 23:00:00,30.61482,131.18591
"265",2020-04-23 00:00:00,28.019936,132.91743
"266",2020-04-23 01:00:00,26.230639,133.33167
"267",2020-04-23 02:00:00,24.951921,133.83086
"268",2020-04-23 03:00:00,24.693481,134.40935
"269",2020-04-23 04:00:00,24.703974,136.77147
"270",2020-04-23 05:00:00,23.933908,136.21887
"271",2020-04-23 06:00:00,23.928492,135
"272",2020-04-23 07:00:00,25.212852,136.7357
"273",2020-04-23 08:00:00,26.649727,141.58194
"274",2020-04-23 09:00:00,27.579382,144.02762
"275",2020-04-23 10:00:00,26.064596,147.40741
"276",2020-04-23 11:00:00,25.006397,149.74356
"277",2020-04-23 12:00:00,23.532547,150.68999
"278",2020-04-23 13:00:00,22.057161,153.85315
"279",2020-04-23 14:00:00,19.855558,157.61987
"280",2020-04-23 15:00:00,17.31746,159.30455
"281",2020-04-23 16:00:00,14.494192,165.6186
"282",2020-04-23 17:00:00,11.177405,165.06857
"283",2020-04-23 18:00:00,7.628263,160.70996
"284",2020-04-23 19:00:00,5.3517847,137.72632
"285",2020-04-23 20:00:00,11.480557,48.81407
"286",2020-04-23 21:00:00,12.605142,88.36342
"287",2020-04-23 22:00:00,17.22742,116.02959
"288",2020-04-23 23:00:00,25.537172,130.42607
"289",2020-04-24 00:00:00,24.248611,130.78583
"290",2020-04-24 01:00:00,23.424908,133.75464
"291",2020-04-24 02:00:00,23.708124,138.07745
"292",2020-04-24 03:00:00,23.770906,144.86581
"293",2020-04-24 04:00:00,22.59699,149.34933
"294",2020-04-24 05:00:00,21.42227,155.15761
"295",2020-04-24 06:00:00,19.469975,160.55997
"296",2020-04-24 07:00:00,15.893093,166.90811
"297",2020-04-24 08:00:00,18.532133,172.18471
"298",2020-04-24 09:00:00,19.48661,168.27489
"299",2020-04-24 10:00:00,18.289274,169.79602
"300",2020-04-24 11:00:00,18.416384,184.4846
"301",2020-04-24 12:00:00,18.043148,208.61046
"302",2020-04-24 13:00:00,20.620804,225.70732
"303",2020-04-24 14:00:00,23.979893,234.16235
"304",2020-04-24 15:00:00,26.42753,232.19348
"305",2020-04-24 16:00:00,24.569836,230.94687
"306",2020-04-24 17:00:00,22.90743,239.80838
"307",2020-04-24 18:00:00,18.681883,244.91641
"308",2020-04-24 19:00:00,13.5515,253.00919
"309",2020-04-24 20:00:00,13.5515,286.99084
"310",2020-04-24 21:00:00,6.638072,12.528809
"311",2020-04-24 22:00:00,8.209263,52.125
"312",2020-04-24 23:00:00,10.144082,62.52556
"313",2020-04-25 00:00:00,12.287555,84.95755
"314",2020-04-25 01:00:00,12.783802,99.72758
"315",2020-04-25 02:00:00,11.841756,109.53665
"316",2020-04-25 03:00:00,12.24,118.07248
"317",2020-04-25 04:00:00,15.124284,128.23383
"318",2020-04-25 05:00:00,17.566378,134.16968
"319",2020-04-25 06:00:00,17.81909,135
"320",2020-04-25 07:00:00,15.281989,133.09085
"321",2020-04-25 08:00:00,14.113652,142.25319
"322",2020-04-25 09:00:00,9.659814,153.43495
"323",2020-04-25 10:00:00,8.825508,168.2317
"324",2020-04-25 11:00:00,6.162207,173.29016
"325",2020-04-25 12:00:00,3.2399998,180
"326",2020-04-25 13:00:00,0.35999998,360
"327",2020-04-25 14:00:00,5.4477882,352.40536
"328",2020-04-25 15:00:00,15.629972,352.05652
"329",2020-04-25 16:00:00,17.294992,357.61407
"330",2020-04-25 17:00:00,16.981165,4.864502
"331",2020-04-25 18:00:00,16.854767,19.983109
"332",2020-04-25 19:00:00,15.94601,28.30075
"333",2020-04-25 20:00:00,16.831684,48.46823
"334",2020-04-25 21:00:00,19.245697,82.47618
"335",2020-04-25 22:00:00,14.77755,92.7927
"336",2020-04-25 23:00:00,15.2947035,116.56505
"337",2020-04-26 00:00:00,15.94601,118.30075
"338",2020-04-26 01:00:00,16.923828,119.29136
"339",2020-04-26 02:00:00,17.673029,123.36636
"340",2020-04-26 03:00:00,19.513195,127.50414
"341",2020-04-26 04:00:00,19.513195,127.50414
"342",2020-04-26 05:00:00,17.713316,127.56859
"343",2020-04-26 06:00:00,14.689588,126.027374
"344",2020-04-26 07:00:00,13.089354,121.50426
"345",2020-04-26 08:00:00,10.587918,125.31121
"346",2020-04-26 09:00:00,10.685391,147.38075
"347",2020-04-26 10:00:00,6.9527545,158.7495
"348",2020-04-26 11:00:00,3.8773184,158.1986
"349",2020-04-26 12:00:00,4.072935,135
"350",2020-04-26 13:00:00,5.4833565,113.19859
"351",2020-04-26 14:00:00,5.0528407,85.91438
"352",2020-04-26 15:00:00,11.720751,10.619659
"353",2020-04-26 16:00:00,21.129885,8.820374
"354",2020-04-26 17:00:00,21.629978,18.434952
"355",2020-04-26 18:00:00,20.61766,24.775131
"356",2020-04-26 19:00:00,20.497883,30.618591
"357",2020-04-26 20:00:00,17.673029,33.36635
"358",2020-04-26 21:00:00,16.418526,37.87497
"359",2020-04-26 22:00:00,15.782622,44.999985
"360",2020-04-26 23:00:00,13.684735,54.637527
"361",2020-04-27 00:00:00,11.503113,69.86369
"362",2020-04-27 01:00:00,12.245294,91.68468
"363",2020-04-27 02:00:00,15.2947035,116.56505
"364",2020-04-27 03:00:00,17.377226,129.95755
"365",2020-04-27 04:00:00,16.363178,129.64417
"366",2020-04-27 05:00:00,15.124284,128.23383
"367",2020-04-27 06:00:00,14.386494,121.70142
"368",2020-04-27 07:00:00,13.979872,124.508514
"369",2020-04-27 08:00:00,14.021525,131.87787
"370",2020-04-27 09:00:00,12.538134,129.17365
"371",2020-04-27 10:00:00,12.768586,130.42607
"372",2020-04-27 11:00:00,12.387348,125.537674
"373",2020-04-27 12:00:00,9.983106,115.64101
"374",2020-04-27 13:00:00,9.605998,102.99461
"375",2020-04-27 14:00:00,10.440001,89.99999
"376",2020-04-27 15:00:00,12.594856,59.036255
"377",2020-04-27 16:00:00,18.59845,42.646698
"378",2020-04-27 17:00:00,22.148046,44.34146
"379",2020-04-27 18:00:00,20.188908,50.063614
"380",2020-04-27 19:00:00,19.107151,47.290604
"381",2020-04-27 20:00:00,18.075441,45.806915
"382",2020-04-27 21:00:00,16.992609,53.61563
"383",2020-04-27 22:00:00,14.973577,62.818893
"384",2020-04-27 23:00:00,14.799459,71.565056
"385",2020-04-26 00:00:00,12.758432,73.61045
"386",2020-04-26 01:00:00,13.084402,97.90716
"387",2020-04-26 02:00:00,17.0763,124.69515
"388",2020-04-26 03:00:00,18.875126,124.9025
"389",2020-04-26 04:00:00,17.713316,127.56859
"390",2020-04-26 05:00:00,16.135872,128.6598
"391",2020-04-26 06:00:00,14.565548,129.98688
"393",2020-04-26 08:00:00,12.181624,124.1597
"394",2020-04-26 09:00:00,11.212135,132.39743
"395",2020-04-26 10:00:00,8.209263,142.12502
"396",2020-04-26 11:00:00,2.3051248,128.6598
"397",2020-04-26 12:00:00,2.8116899,39.805573
"398",2020-04-26 13:00:00,3.4152596,18.434952
"399",2020-04-26 14:00:00,6.379216,16.389526
"400",2020-04-26 15:00:00,12.371645,8.365875
"401",2020-04-26 16:00:00,17.651016,11.76828
"402",2020-04-26 17:00:00,19.809813,19.093475
"403",2020-04-26 18:00:00,17.906157,30.173508
"404",2020-04-26 19:00:00,17.974781,32.735214
"417",2020-04-27 08:00:00,12.496718,138.50352
"418",2020-04-27 09:00:00,13.246826,137.2026
"419",2020-04-27 10:00:00,11.090103,125.75388
"420",2020-04-27 11:00:00,9.904906,109.09349
"421",2020-04-27 12:00:00,8.28,89.99999
"422",2020-04-27 13:00:00,10.239453,79.87532
"423",2020-04-27 14:00:00,12.0694,72.64597
"424",2020-04-27 15:00:00,15.9134655,52.352364
"425",2020-04-27 16:00:00,19.914215,40.601288
"426",2020-04-27 17:00:00,22.26477,39.09384
"427",2020-04-27 18:00:00,21.129883,45.690277
"428",2020-04-27 19:00:00,20.633371,47.121094
"429",2020-04-27 20:00:00,21.889065,53.695488
"430",2020-04-27 21:00:00,21.749483,61.31385
"431",2020-04-27 22:00:00,18.899143,72.255325
"432",2020-04-27 23:00:00,18.709612,78.90628
"433",2020-04-28 00:00:00,18.391735,86.63353
"434",2020-04-28 01:00:00,18.03237,93.433624
"435",2020-04-28 02:00:00,17.106628,98.471146
"436",2020-04-28 03:00:00,16.520823,101.30993
"437",2020-04-28 04:00:00,15.281989,105.01836
"438",2020-04-28 05:00:00,13.797913,105.12401
"439",2020-04-28 06:00:00,13.450708,105.5241
"440",2020-04-28 07:00:00,13.5515,106.99082
"441",2020-04-28 08:00:00,12.904882,112.98871
