location,El Espinal,El Espinal
lat,23.99988,23.99988
lon,-106.87500,-106.87500
asl,91.411,91.411
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Espinal Wind Speed [80 m],El Espinal Wind Direction [80 m]
20200505T0000,6.87779,173.991
20200505T0100,9.346143,164.35776
20200505T0200,8.427383,160.01689
20200505T0300,6.489992,160.55997
20200505T0400,5.2416787,164.0546
20200505T0500,4.0249224,169.69516
20200505T0600,5.991594,122.73523
20200505T0700,5.495161,121.6075
20200505T0800,5.1919937,123.69006
20200505T0900,4.6938252,184.39871
20200505T1000,7.7879906,213.69006
20200505T1100,9.449572,220.36453
20200505T1200,11.525623,218.65982
20200505T1300,11.4862,212.19574
20200505T1400,12.24,208.0725
20200505T1500,10.805998,209.98164
20200505T1600,11.212135,227.60257
20200505T1700,9.885262,236.88866
20200505T1800,10.787993,244.29004
20200505T1900,5.5887027,255.06857
20200505T2000,6.1094027,225.0
20200505T2100,5.495161,211.6075
20200505T2200,4.0249224,206.56505
20200505T2300,2.5959969,213.69006
20200506T0000,1.609969,206.56505
20200506T0100,0.8049845,206.56505
20200506T0200,0.71999997,180.0
20200506T0300,1.484318,165.96376
20200506T0400,2.6208394,164.0546
20200506T0500,3.8773184,158.1986
20200506T0600,5.634891,153.43495
20200506T0700,6.519877,96.34019
20200506T0800,0.71999997,89.99999
20200506T0900,4.0249224,243.43495
20200506T1000,8.225035,246.8014
20200506T1100,9.504273,245.37643
20200506T1200,11.119281,240.9454
20200506T1300,11.119281,240.9454
20200506T1400,13.684735,243.43495
20200506T1500,12.181625,251.0296
20200506T1600,12.57426,246.37064
20200506T1700,11.923557,241.11342
20200506T1800,12.181624,235.8403
20200506T1900,4.32,270.0
20200506T2000,4.2136917,250.0169
20200506T2100,3.8773184,248.1986
20200506T2200,2.6208394,195.9454
20200506T2300,4.1046314,164.74487
20200507T0000,6.489992,160.55997
20200507T0100,7.172949,162.47443
20200507T0200,6.9899354,168.11134
20200507T0300,6.725354,164.47589
20200507T0400,5.4833565,156.8014
20200507T0500,3.8939953,146.30994
20200507T0600,3.096837,125.537674
20200507T0700,7.289445,57.094757
20200507T0800,2.16,360.0
20200507T0900,3.0758414,290.55603
20200507T1000,5.3999996,270.0
20200507T1100,5.937272,255.96376
20200507T1200,8.534353,242.35403
20200507T1300,8.707237,240.25513
20200507T1400,11.119281,240.9454
20200507T1500,11.923557,241.11342
20200507T1600,12.7279215,241.26021
20200507T1700,9.504273,245.37643
20200507T1800,9.339208,242.44719
20200507T1900,6.489992,236.30994
20200507T2000,8.089993,249.14554
20200507T2100,6.151683,249.44395
20200507T2200,4.8965297,216.02737
20200507T2300,6.130579,176.63354
20200508T0000,8.427383,160.01689
20200508T0100,7.8954163,155.77225
20200508T0200,7.754637,158.1986
20200508T0300,6.6185193,157.61987
20200508T0400,6.151683,159.44395
20200508T0500,4.829907,153.43495
20200508T0600,3.6,143.1301
20200508T0700,5.506941,101.30993
20200508T0800,1.08,89.99999
20200508T0900,2.5959969,213.69006
20200508T1000,6.3690495,227.29062
20200508T1100,7.42159,230.90614
20200508T1200,9.726664,231.009
20200508T1300,10.086427,235.1755
20200508T1400,12.287555,238.17256
20200508T1500,11.681987,236.30994
20200508T1600,11.753877,242.65013
20200508T1700,8.225035,246.8014
20200508T1800,9.449572,252.25534
20200508T1900,6.6087217,240.64226
20200508T2000,5.904439,232.43141
20200508T2100,3.096837,215.53769
20200508T2200,1.609969,153.43495
20200508T2300,3.2399998,89.99999
20200509T0000,3.9763298,84.805565
20200509T0100,3.6179552,84.289406
20200509T0200,3.6,89.99999
20200509T0300,3.2599385,96.34019
20200509T0400,3.671294,101.30993
20200509T0500,3.671294,101.30993
20200509T0600,4.0249224,100.30484
20200509T0700,6.830519,71.56504
20200509T0800,3.0758414,69.443954
20200509T0900,1.609969,243.43495
20200509T1000,5.904439,232.43141
20200509T1100,8.4963045,233.61565
20200509T1200,10.883676,235.7843
20200509T1300,10.883676,235.7843
20200509T1400,11.885453,234.86581
20200509T1500,11.885453,234.86581
20200509T1600,12.413477,240.46121
20200509T1700,11.631956,248.1986
20200509T1800,10.24578,251.56506
20200509T1900,6.3690495,227.29062
20200509T2000,4.3349743,228.36647
20200509T2100,1.609969,206.56505
20200509T2200,1.8,89.99999
20200509T2300,4.73506,81.25384
20200510T0000,5.506941,78.69006
20200510T0100,5.1544156,77.905235
20200510T0200,5.8048253,82.874985
20200510T0300,5.7599998,89.99999
20200510T0400,6.130579,93.366455
20200510T0500,5.8603754,100.61965
20200510T0600,6.2145634,100.00798
20200510T0700,8.311245,72.34988
20200510T0800,5.3517847,70.346176
20200510T0900,1.08,180.0
20200510T1000,5.1919937,213.69006
20200510T1100,7.491114,215.21759
20200510T1200,9.449572,220.36453
20200510T1300,9.673221,225.0
20200510T1400,12.313894,232.12502
20200510T1500,11.983188,237.26477
20200510T1600,13.0447235,242.02054
20200510T1700,12.43434,247.89056
20200510T1800,10.137692,253.49564
20200510T1900,6.3690495,227.29062
20200510T2000,4.8965297,233.97263
20200510T2100,1.4399999,270.0
20200510T2200,3.096837,35.53766
20200510T2300,4.39436,55.007973
20200511T0000,4.896529,72.89727
20200511T0100,5.1544156,77.905235
20200511T0200,5.4119864,86.18592
20200511T0300,5.3999996,89.99999
20200511T0400,5.771239,93.576324
20200511T0500,5.8048253,97.125015
20200511T0600,5.8603754,100.61965
20200511T0700,8.669949,85.23635
20200511T0800,4.3349743,85.23635
20200511T0900,2.52,180.0
20200511T1000,7.289444,200.22485
20200511T1100,9.83268,203.7495
20200511T1200,12.10157,210.37914
20200511T1300,13.281023,212.82855
20200511T1400,16.075521,214.04594
20200511T1500,15.696165,216.60707
20200511T1600,16.548256,224.11859
20200511T1700,15.349684,230.7106
20200511T1800,11.681987,236.30994
20200511T1900,10.630672,241.69925
20200511T2000,11.113451,245.09525
20200511T2100,8.225035,246.8014
20200511T2200,5.0911684,261.8699
20200511T2300,2.3051248,308.65982
20200512T0000,2.6208394,15.945404
20200512T0100,3.096837,35.53766
20200512T0200,3.8939953,33.690063
20200512T0300,4.198285,30.963745
20200512T0400,4.6938257,32.47119
20200512T0500,4.8433046,41.987198
20200512T0600,4.8965297,53.97262
20200512T0700,4.829907,63.43495
20200512T0800,4.896529,72.89727
20200512T0900,1.484318,194.03624
20200512T1000,5.8603754,227.48956
20200512T1100,7.653705,228.81409
20200512T1200,9.449572,229.63547
20200512T1300,9.793059,233.97263
20200512T1400,11.923557,241.11342
20200512T1500,12.397806,244.17902
20200512T1600,13.441071,249.62357
20200512T1700,10.483357,254.0546
20200512T1800,10.239453,259.87534
20200512T1900,9.0645685,263.15723
20200512T2000,8.4042845,260.1342
20200512T2100,7.6367526,261.8699
20200512T2200,5.771239,266.42368
20200512T2300,3.2399998,270.0
